time,subject,fuzzer,run,state_type,state
1772330565,kamailio,aflnet,1,nodes,4
1772330565,kamailio,aflnet,1,edges,4
1772330575,kamailio,aflnet,1,nodes,4
1772330575,kamailio,aflnet,1,edges,4
1772330580,kamailio,aflnet,1,nodes,4
1772330580,kamailio,aflnet,1,edges,4
1772330585,kamailio,aflnet,1,nodes,4
1772330585,kamailio,aflnet,1,edges,4
1772330595,kamailio,aflnet,1,nodes,4
1772330595,kamailio,aflnet,1,edges,4
1772330601,kamailio,aflnet,1,nodes,4
1772330601,kamailio,aflnet,1,edges,4
1772330606,kamailio,aflnet,1,nodes,4
1772330606,kamailio,aflnet,1,edges,4
1772330611,kamailio,aflnet,1,nodes,4
1772330611,kamailio,aflnet,1,edges,4
1772330616,kamailio,aflnet,1,nodes,4
1772330616,kamailio,aflnet,1,edges,4
1772330621,kamailio,aflnet,1,nodes,4
1772330621,kamailio,aflnet,1,edges,4
1772330626,kamailio,aflnet,1,nodes,4
1772330626,kamailio,aflnet,1,edges,4
1772330631,kamailio,aflnet,1,nodes,4
1772330631,kamailio,aflnet,1,edges,4
1772330636,kamailio,aflnet,1,nodes,4
1772330636,kamailio,aflnet,1,edges,4
1772330641,kamailio,aflnet,1,nodes,4
1772330641,kamailio,aflnet,1,edges,4
1772330646,kamailio,aflnet,1,nodes,4
1772330646,kamailio,aflnet,1,edges,4
1772330651,kamailio,aflnet,1,nodes,5
1772330651,kamailio,aflnet,1,edges,6
1772330656,kamailio,aflnet,1,nodes,5
1772330656,kamailio,aflnet,1,edges,6
1772330661,kamailio,aflnet,1,nodes,6
1772330661,kamailio,aflnet,1,edges,8
1772330666,kamailio,aflnet,1,nodes,6
1772330666,kamailio,aflnet,1,edges,8
1772330672,kamailio,aflnet,1,nodes,6
1772330672,kamailio,aflnet,1,edges,8
1772330677,kamailio,aflnet,1,nodes,6
1772330677,kamailio,aflnet,1,edges,8
1772330682,kamailio,aflnet,1,nodes,6
1772330682,kamailio,aflnet,1,edges,8
1772330687,kamailio,aflnet,1,nodes,6
1772330687,kamailio,aflnet,1,edges,8
1772330692,kamailio,aflnet,1,nodes,6
1772330692,kamailio,aflnet,1,edges,8
1772330697,kamailio,aflnet,1,nodes,7
1772330697,kamailio,aflnet,1,edges,10
1772330702,kamailio,aflnet,1,nodes,7
1772330702,kamailio,aflnet,1,edges,10
1772330707,kamailio,aflnet,1,nodes,7
1772330707,kamailio,aflnet,1,edges,10
1772330712,kamailio,aflnet,1,nodes,7
1772330712,kamailio,aflnet,1,edges,10
1772330717,kamailio,aflnet,1,nodes,7
1772330717,kamailio,aflnet,1,edges,10
1772330723,kamailio,aflnet,1,nodes,7
1772330723,kamailio,aflnet,1,edges,10
1772330728,kamailio,aflnet,1,nodes,7
1772330728,kamailio,aflnet,1,edges,10
1772330733,kamailio,aflnet,1,nodes,7
1772330733,kamailio,aflnet,1,edges,10
1772330738,kamailio,aflnet,1,nodes,7
1772330738,kamailio,aflnet,1,edges,10
1772330743,kamailio,aflnet,1,nodes,7
1772330743,kamailio,aflnet,1,edges,10
1772330748,kamailio,aflnet,1,nodes,7
1772330748,kamailio,aflnet,1,edges,10
1772330753,kamailio,aflnet,1,nodes,7
1772330753,kamailio,aflnet,1,edges,10
1772330758,kamailio,aflnet,1,nodes,7
1772330758,kamailio,aflnet,1,edges,10
1772330764,kamailio,aflnet,1,nodes,7
1772330764,kamailio,aflnet,1,edges,10
1772330769,kamailio,aflnet,1,nodes,7
1772330769,kamailio,aflnet,1,edges,10
1772330774,kamailio,aflnet,1,nodes,7
1772330774,kamailio,aflnet,1,edges,10
1772330779,kamailio,aflnet,1,nodes,7
1772330779,kamailio,aflnet,1,edges,10
1772330784,kamailio,aflnet,1,nodes,7
1772330784,kamailio,aflnet,1,edges,10
1772330789,kamailio,aflnet,1,nodes,7
1772330789,kamailio,aflnet,1,edges,10
1772330794,kamailio,aflnet,1,nodes,8
1772330794,kamailio,aflnet,1,edges,13
1772330800,kamailio,aflnet,1,nodes,8
1772330800,kamailio,aflnet,1,edges,13
1772330810,kamailio,aflnet,1,nodes,8
1772330810,kamailio,aflnet,1,edges,13
1772330821,kamailio,aflnet,1,nodes,8
1772330821,kamailio,aflnet,1,edges,13
1772330826,kamailio,aflnet,1,nodes,8
1772330826,kamailio,aflnet,1,edges,13
1772330831,kamailio,aflnet,1,nodes,8
1772330831,kamailio,aflnet,1,edges,13
1772330836,kamailio,aflnet,1,nodes,8
1772330836,kamailio,aflnet,1,edges,13
1772330841,kamailio,aflnet,1,nodes,8
1772330841,kamailio,aflnet,1,edges,13
1772330846,kamailio,aflnet,1,nodes,8
1772330846,kamailio,aflnet,1,edges,13
1772330851,kamailio,aflnet,1,nodes,8
1772330851,kamailio,aflnet,1,edges,13
1772330867,kamailio,aflnet,1,nodes,8
1772330867,kamailio,aflnet,1,edges,13
1772330872,kamailio,aflnet,1,nodes,8
1772330872,kamailio,aflnet,1,edges,13
1772330877,kamailio,aflnet,1,nodes,8
1772330877,kamailio,aflnet,1,edges,13
1772330882,kamailio,aflnet,1,nodes,8
1772330882,kamailio,aflnet,1,edges,13
1772330887,kamailio,aflnet,1,nodes,8
1772330887,kamailio,aflnet,1,edges,13
1772330892,kamailio,aflnet,1,nodes,8
1772330892,kamailio,aflnet,1,edges,13
1772330903,kamailio,aflnet,1,nodes,8
1772330903,kamailio,aflnet,1,edges,13
1772330908,kamailio,aflnet,1,nodes,8
1772330908,kamailio,aflnet,1,edges,13
1772330918,kamailio,aflnet,1,nodes,8
1772330918,kamailio,aflnet,1,edges,13
1772330923,kamailio,aflnet,1,nodes,8
1772330923,kamailio,aflnet,1,edges,13
1772330928,kamailio,aflnet,1,nodes,8
1772330928,kamailio,aflnet,1,edges,13
1772330938,kamailio,aflnet,1,nodes,8
1772330938,kamailio,aflnet,1,edges,13
1772330943,kamailio,aflnet,1,nodes,8
1772330943,kamailio,aflnet,1,edges,13
1772330948,kamailio,aflnet,1,nodes,8
1772330948,kamailio,aflnet,1,edges,13
1772330953,kamailio,aflnet,1,nodes,8
1772330953,kamailio,aflnet,1,edges,13
1772330958,kamailio,aflnet,1,nodes,8
1772330958,kamailio,aflnet,1,edges,13
1772330963,kamailio,aflnet,1,nodes,8
1772330963,kamailio,aflnet,1,edges,13
1772330968,kamailio,aflnet,1,nodes,8
1772330968,kamailio,aflnet,1,edges,13
1772330974,kamailio,aflnet,1,nodes,8
1772330974,kamailio,aflnet,1,edges,13
1772330979,kamailio,aflnet,1,nodes,8
1772330979,kamailio,aflnet,1,edges,13
1772330984,kamailio,aflnet,1,nodes,8
1772330984,kamailio,aflnet,1,edges,13
1772330989,kamailio,aflnet,1,nodes,8
1772330989,kamailio,aflnet,1,edges,13
1772330994,kamailio,aflnet,1,nodes,8
1772330994,kamailio,aflnet,1,edges,13
1772330999,kamailio,aflnet,1,nodes,8
1772330999,kamailio,aflnet,1,edges,13
1772331004,kamailio,aflnet,1,nodes,8
1772331004,kamailio,aflnet,1,edges,13
1772331010,kamailio,aflnet,1,nodes,8
1772331010,kamailio,aflnet,1,edges,13
1772331015,kamailio,aflnet,1,nodes,8
1772331015,kamailio,aflnet,1,edges,13
1772331020,kamailio,aflnet,1,nodes,8
1772331020,kamailio,aflnet,1,edges,13
1772331025,kamailio,aflnet,1,nodes,8
1772331025,kamailio,aflnet,1,edges,13
1772331030,kamailio,aflnet,1,nodes,8
1772331030,kamailio,aflnet,1,edges,14
1772331035,kamailio,aflnet,1,nodes,8
1772331035,kamailio,aflnet,1,edges,15
1772331040,kamailio,aflnet,1,nodes,8
1772331040,kamailio,aflnet,1,edges,15
1772331045,kamailio,aflnet,1,nodes,8
1772331045,kamailio,aflnet,1,edges,15
1772331051,kamailio,aflnet,1,nodes,8
1772331051,kamailio,aflnet,1,edges,15
1772331056,kamailio,aflnet,1,nodes,8
1772331056,kamailio,aflnet,1,edges,15
1772331061,kamailio,aflnet,1,nodes,8
1772331061,kamailio,aflnet,1,edges,15
1772331066,kamailio,aflnet,1,nodes,8
1772331066,kamailio,aflnet,1,edges,16
1772331072,kamailio,aflnet,1,nodes,8
1772331072,kamailio,aflnet,1,edges,16
1772331077,kamailio,aflnet,1,nodes,8
1772331077,kamailio,aflnet,1,edges,16
1772331082,kamailio,aflnet,1,nodes,8
1772331082,kamailio,aflnet,1,edges,16
1772331087,kamailio,aflnet,1,nodes,8
1772331087,kamailio,aflnet,1,edges,16
1772331092,kamailio,aflnet,1,nodes,8
1772331092,kamailio,aflnet,1,edges,17
1772331097,kamailio,aflnet,1,nodes,8
1772331097,kamailio,aflnet,1,edges,17
1772331102,kamailio,aflnet,1,nodes,8
1772331102,kamailio,aflnet,1,edges,17
1772331107,kamailio,aflnet,1,nodes,8
1772331107,kamailio,aflnet,1,edges,18
1772331113,kamailio,aflnet,1,nodes,8
1772331113,kamailio,aflnet,1,edges,18
1772331118,kamailio,aflnet,1,nodes,8
1772331118,kamailio,aflnet,1,edges,19
1772331123,kamailio,aflnet,1,nodes,8
1772331123,kamailio,aflnet,1,edges,19
1772331128,kamailio,aflnet,1,nodes,9
1772331128,kamailio,aflnet,1,edges,23
1772331133,kamailio,aflnet,1,nodes,9
1772331133,kamailio,aflnet,1,edges,23
1772331139,kamailio,aflnet,1,nodes,9
1772331139,kamailio,aflnet,1,edges,23
1772331144,kamailio,aflnet,1,nodes,10
1772331144,kamailio,aflnet,1,edges,26
1772331154,kamailio,aflnet,1,nodes,10
1772331154,kamailio,aflnet,1,edges,26
1772331159,kamailio,aflnet,1,nodes,10
1772331159,kamailio,aflnet,1,edges,26
1772331164,kamailio,aflnet,1,nodes,10
1772331164,kamailio,aflnet,1,edges,26
1772331169,kamailio,aflnet,1,nodes,10
1772331169,kamailio,aflnet,1,edges,26
1772331175,kamailio,aflnet,1,nodes,10
1772331175,kamailio,aflnet,1,edges,26
1772331180,kamailio,aflnet,1,nodes,10
1772331180,kamailio,aflnet,1,edges,26
1772331190,kamailio,aflnet,1,nodes,10
1772331190,kamailio,aflnet,1,edges,26
1772331195,kamailio,aflnet,1,nodes,10
1772331195,kamailio,aflnet,1,edges,26
1772331201,kamailio,aflnet,1,nodes,10
1772331201,kamailio,aflnet,1,edges,26
1772331211,kamailio,aflnet,1,nodes,10
1772331211,kamailio,aflnet,1,edges,26
1772331216,kamailio,aflnet,1,nodes,10
1772331216,kamailio,aflnet,1,edges,26
1772331221,kamailio,aflnet,1,nodes,10
1772331221,kamailio,aflnet,1,edges,26
1772331226,kamailio,aflnet,1,nodes,10
1772331226,kamailio,aflnet,1,edges,26
1772331231,kamailio,aflnet,1,nodes,10
1772331231,kamailio,aflnet,1,edges,26
1772331237,kamailio,aflnet,1,nodes,10
1772331237,kamailio,aflnet,1,edges,26
1772331242,kamailio,aflnet,1,nodes,10
1772331242,kamailio,aflnet,1,edges,27
1772331247,kamailio,aflnet,1,nodes,10
1772331247,kamailio,aflnet,1,edges,27
1772331252,kamailio,aflnet,1,nodes,10
1772331252,kamailio,aflnet,1,edges,28
1772331257,kamailio,aflnet,1,nodes,10
1772331257,kamailio,aflnet,1,edges,28
1772331263,kamailio,aflnet,1,nodes,10
1772331263,kamailio,aflnet,1,edges,28
1772331268,kamailio,aflnet,1,nodes,10
1772331268,kamailio,aflnet,1,edges,28
1772331273,kamailio,aflnet,1,nodes,10
1772331273,kamailio,aflnet,1,edges,28
1772331278,kamailio,aflnet,1,nodes,10
1772331278,kamailio,aflnet,1,edges,28
1772331283,kamailio,aflnet,1,nodes,10
1772331283,kamailio,aflnet,1,edges,28
1772331288,kamailio,aflnet,1,nodes,10
1772331288,kamailio,aflnet,1,edges,28
1772331294,kamailio,aflnet,1,nodes,10
1772331294,kamailio,aflnet,1,edges,28
1772331299,kamailio,aflnet,1,nodes,10
1772331299,kamailio,aflnet,1,edges,29
1772331304,kamailio,aflnet,1,nodes,10
1772331304,kamailio,aflnet,1,edges,29
1772331309,kamailio,aflnet,1,nodes,10
1772331309,kamailio,aflnet,1,edges,29
1772331315,kamailio,aflnet,1,nodes,10
1772331315,kamailio,aflnet,1,edges,29
1772331320,kamailio,aflnet,1,nodes,10
1772331320,kamailio,aflnet,1,edges,29
1772331325,kamailio,aflnet,1,nodes,10
1772331325,kamailio,aflnet,1,edges,29
1772331330,kamailio,aflnet,1,nodes,10
1772331330,kamailio,aflnet,1,edges,29
1772331336,kamailio,aflnet,1,nodes,10
1772331336,kamailio,aflnet,1,edges,29
1772331341,kamailio,aflnet,1,nodes,10
1772331341,kamailio,aflnet,1,edges,29
1772331346,kamailio,aflnet,1,nodes,10
1772331346,kamailio,aflnet,1,edges,29
1772331351,kamailio,aflnet,1,nodes,10
1772331351,kamailio,aflnet,1,edges,29
1772331356,kamailio,aflnet,1,nodes,10
1772331356,kamailio,aflnet,1,edges,29
1772331362,kamailio,aflnet,1,nodes,10
1772331362,kamailio,aflnet,1,edges,32
1772331367,kamailio,aflnet,1,nodes,10
1772331367,kamailio,aflnet,1,edges,32
1772331372,kamailio,aflnet,1,nodes,10
1772331372,kamailio,aflnet,1,edges,32
1772331377,kamailio,aflnet,1,nodes,10
1772331377,kamailio,aflnet,1,edges,32
1772331382,kamailio,aflnet,1,nodes,10
1772331382,kamailio,aflnet,1,edges,32
1772331387,kamailio,aflnet,1,nodes,10
1772331387,kamailio,aflnet,1,edges,32
1772331393,kamailio,aflnet,1,nodes,10
1772331393,kamailio,aflnet,1,edges,32
1772331398,kamailio,aflnet,1,nodes,10
1772331398,kamailio,aflnet,1,edges,34
1772331403,kamailio,aflnet,1,nodes,10
1772331403,kamailio,aflnet,1,edges,34
1772331408,kamailio,aflnet,1,nodes,10
