subject,fuzzer,data_type,time,data
kamailio,aflnet,nodes,0,0.0
kamailio,aflnet,nodes,1,5.0
kamailio,aflnet,nodes,61,11.0
kamailio,aflnet,edges,0,0.0
kamailio,aflnet,edges,1,6.0
kamailio,aflnet,edges,61,56.0
kamailio,chatafl,nodes,0,0.0
kamailio,chatafl,nodes,1,5.0
kamailio,chatafl,nodes,61,11.0
kamailio,chatafl,edges,0,0.0
kamailio,chatafl,edges,1,10.0
kamailio,chatafl,edges,61,49.0
kamailio,chatafl_opt,nodes,0,0.0
kamailio,chatafl_opt,nodes,1,7.0
kamailio,chatafl_opt,nodes,61,13.0
kamailio,chatafl_opt,edges,0,0.0
kamailio,chatafl_opt,edges,1,21.0
kamailio,chatafl_opt,edges,61,61.0
