subject,fuzzer,data_type,time,data
kamailio,aflnet,nodes,0,0.0
kamailio,aflnet,nodes,1,4.6
kamailio,aflnet,nodes,61,11.6
kamailio,aflnet,nodes,121,12.3
kamailio,aflnet,nodes,181,12.6
kamailio,aflnet,nodes,241,12.7
kamailio,aflnet,nodes,301,12.8
kamailio,aflnet,nodes,361,13.0
kamailio,aflnet,nodes,421,13.2
kamailio,aflnet,nodes,481,13.2
kamailio,aflnet,nodes,541,13.5
kamailio,aflnet,nodes,601,13.6
kamailio,aflnet,nodes,661,13.6
kamailio,aflnet,nodes,721,13.7
kamailio,aflnet,nodes,781,13.7
kamailio,aflnet,nodes,841,13.8
kamailio,aflnet,nodes,901,13.8
kamailio,aflnet,nodes,961,14.0
kamailio,aflnet,nodes,1021,14.0
kamailio,aflnet,nodes,1081,14.0
kamailio,aflnet,nodes,1141,14.0
kamailio,aflnet,nodes,1201,14.1
kamailio,aflnet,nodes,1261,14.1
kamailio,aflnet,nodes,1321,14.1
kamailio,aflnet,nodes,1381,14.2
kamailio,aflnet,edges,0,0.0
kamailio,aflnet,edges,1,5.5
kamailio,aflnet,edges,61,44.2
kamailio,aflnet,edges,121,56.6
kamailio,aflnet,edges,181,63.9
kamailio,aflnet,edges,241,71.4
kamailio,aflnet,edges,301,75.4
kamailio,aflnet,edges,361,79.3
kamailio,aflnet,edges,421,82.1
kamailio,aflnet,edges,481,85.0
kamailio,aflnet,edges,541,87.8
kamailio,aflnet,edges,601,89.4
kamailio,aflnet,edges,661,90.5
kamailio,aflnet,edges,721,92.0
kamailio,aflnet,edges,781,93.0
kamailio,aflnet,edges,841,94.1
kamailio,aflnet,edges,901,94.4
kamailio,aflnet,edges,961,95.9
kamailio,aflnet,edges,1021,96.5
kamailio,aflnet,edges,1081,97.1
kamailio,aflnet,edges,1141,98.0
kamailio,aflnet,edges,1201,98.7
kamailio,aflnet,edges,1261,99.2
kamailio,aflnet,edges,1321,99.8
kamailio,aflnet,edges,1381,100.1
kamailio,chatafl,nodes,0,0.0
kamailio,chatafl,nodes,1,5.0
kamailio,chatafl,nodes,61,12.6
kamailio,chatafl,nodes,121,13.5
kamailio,chatafl,nodes,181,13.6
kamailio,chatafl,nodes,241,13.7
kamailio,chatafl,nodes,301,13.8
kamailio,chatafl,nodes,361,13.8
kamailio,chatafl,nodes,421,13.8
kamailio,chatafl,nodes,481,13.8
kamailio,chatafl,nodes,541,13.9
kamailio,chatafl,nodes,601,14.0
kamailio,chatafl,nodes,661,14.1
kamailio,chatafl,nodes,721,14.1
kamailio,chatafl,nodes,781,14.3
kamailio,chatafl,nodes,841,14.3
kamailio,chatafl,nodes,901,14.3
kamailio,chatafl,nodes,961,14.4
kamailio,chatafl,nodes,1021,14.4
kamailio,chatafl,nodes,1081,14.4
kamailio,chatafl,nodes,1141,14.4
kamailio,chatafl,nodes,1201,14.4
kamailio,chatafl,nodes,1261,14.4
kamailio,chatafl,nodes,1321,14.4
kamailio,chatafl,nodes,1381,14.4
kamailio,chatafl,edges,0,0.0
kamailio,chatafl,edges,1,10.0
kamailio,chatafl,edges,61,56.0
kamailio,chatafl,edges,121,67.0
kamailio,chatafl,edges,181,74.6
kamailio,chatafl,edges,241,78.7
kamailio,chatafl,edges,301,82.6
kamailio,chatafl,edges,361,85.2
kamailio,chatafl,edges,421,86.9
kamailio,chatafl,edges,481,88.0
kamailio,chatafl,edges,541,89.4
kamailio,chatafl,edges,601,91.0
kamailio,chatafl,edges,661,92.2
kamailio,chatafl,edges,721,92.8
kamailio,chatafl,edges,781,93.9
kamailio,chatafl,edges,841,94.5
kamailio,chatafl,edges,901,95.6
kamailio,chatafl,edges,961,96.4
kamailio,chatafl,edges,1021,97.1
kamailio,chatafl,edges,1081,98.0
kamailio,chatafl,edges,1141,98.5
kamailio,chatafl,edges,1201,98.9
kamailio,chatafl,edges,1261,99.5
kamailio,chatafl,edges,1321,100.4
kamailio,chatafl,edges,1381,100.5
kamailio,chatafl_opt,nodes,0,0.0
kamailio,chatafl_opt,nodes,1,5.9
kamailio,chatafl_opt,nodes,61,12.2
kamailio,chatafl_opt,nodes,121,13.6
kamailio,chatafl_opt,nodes,181,14.1
kamailio,chatafl_opt,nodes,241,14.2
kamailio,chatafl_opt,nodes,301,14.2
kamailio,chatafl_opt,nodes,361,14.3
kamailio,chatafl_opt,nodes,421,14.3
