subject,fuzzer,run,source,runtime_min,elapsed_min,l_abs,b_abs,nodes,edges,start_time,last_update
kamailio,aflnet,1,out-kamailio-aflnet_1.tar.gz,1479,1479,16824,10113,15,92,1773673822,1773762617
kamailio,aflnet,2,out-kamailio-aflnet_2.tar.gz,1479,1479,16830,10144,16,103,1773673823,1773762618
kamailio,aflnet,3,out-kamailio-aflnet_3.tar.gz,1479,1479,16856,10123,15,108,1773673823,1773762618
kamailio,aflnet,4,out-kamailio-aflnet_4.tar.gz,1479,1479,17153,10463,15,92,1774173959,1774262756
kamailio,aflnet,5,out-kamailio-aflnet_5.tar.gz,1479,1479,16897,10260,14,101,1774173960,1774262756
kamailio,aflnet,6,out-kamailio-aflnet_6.tar.gz,1479,1479,16762,10298,14,105,1774173961,1774262757
kamailio,aflnet,7,out-kamailio-aflnet_7.tar.gz,1479,1479,16677,10256,13,106,1774616993,1774705779
kamailio,aflnet,8,out-kamailio-aflnet_8.tar.gz,1479,1479,16577,10116,14,115,1774173962,1774262759
kamailio,aflnet,9,out-kamailio-aflnet_9.tar.gz,1479,1479,16976,10334,14,95,1774173962,1774262759
kamailio,aflnet,10,out-kamailio-aflnet_10.tar.gz,1479,1479,16982,10333,13,94,1774173963,1774262760
kamailio,chatafl,1,out-kamailio-chatafl_1.tar.gz,1465,1465,17060,10445,13,87,1773674720,1773762622
kamailio,chatafl,2,out-kamailio-chatafl_2.tar.gz,1465,1465,17045,10446,14,97,1774617845,1774705745
kamailio,chatafl,3,out-kamailio-chatafl_3.tar.gz,1462,1462,16992,10446,15,97,1773674895,1773762623
kamailio,chatafl,4,out-kamailio-chatafl_4.tar.gz,1462,1462,17259,10704,14,96,1774617983,1774705745
kamailio,chatafl,5,out-kamailio-chatafl_5.tar.gz,1465,1465,17361,10654,14,104,1773685246,1773773201
kamailio,chatafl,6,out-kamailio-chatafl_6.tar.gz,1465,1465,16982,10443,15,101,1774370313,1774458224
kamailio,chatafl,7,out-kamailio-chatafl_7.tar.gz,1464,1464,17314,10749,14,112,1774370350,1774458226
kamailio,chatafl,8,out-kamailio-chatafl_8.tar.gz,1463,1463,17391,10746,15,100,1774370398,1774458228
kamailio,chatafl,9,out-kamailio-chatafl_9.tar.gz,1464,1464,17114,10605,15,111,1774370339,1774458229
kamailio,chatafl,10,out-kamailio-chatafl_10.tar.gz,1463,1463,17448,10716,15,102,1774370442,1774458227
kamailio,chatafl_opt,1,out-kamailio-chatafl_opt_1.tar.gz,1467,1467,17064,10387,14,118,1774010729,1774098762
kamailio,chatafl_opt,2,out-kamailio-chatafl_opt_2.tar.gz,1476,1476,17200,10658,17,128,1773674056,1773762624
kamailio,chatafl_opt,3,out-kamailio-chatafl_opt_3.tar.gz,1476,1476,17173,10560,16,141,1773674012,1773762624
kamailio,chatafl_opt,4,out-kamailio-chatafl_opt_4.tar.gz,1467,1467,17463,10682,14,120,1773780045,1773868068
kamailio,chatafl_opt,5,out-kamailio-chatafl_opt_5.tar.gz,1466,1466,17138,10548,14,124,1773780051,1773868068
kamailio,chatafl_opt,6,out-kamailio-chatafl_opt_6.tar.gz,1467,1467,17150,10541,15,126,1773780049,1773868070
kamailio,chatafl_opt,7,out-kamailio-chatafl_opt_7.tar.gz,1475,1475,17111,10581,14,118,1774270843,1774359348
kamailio,chatafl_opt,8,out-kamailio-chatafl_opt_8.tar.gz,1467,1467,17031,10324,16,115,1774011854,1774099894
kamailio,chatafl_opt,9,out-kamailio-chatafl_opt_9.tar.gz,1476,1476,17208,10638,15,139,1774270740,1774359347
kamailio,chatafl_opt,10,out-kamailio-chatafl_opt_10.tar.gz,1476,1476,17199,10709,15,140,1774270763,1774359347
