time,subject,fuzzer,run,cov_type,cov
1771411272,lightftp,chatafl,1,l_per,16.0
1771411272,lightftp,chatafl,1,l_abs,171
1771411272,lightftp,chatafl,1,b_per,10.5
1771411272,lightftp,chatafl,1,b_abs,71
1771411273,lightftp,chatafl,1,l_per,16.0
1771411273,lightftp,chatafl,1,l_abs,171
1771411273,lightftp,chatafl,1,b_per,10.5
1771411273,lightftp,chatafl,1,b_abs,71
1771411278,lightftp,chatafl,1,l_per,16.0
1771411278,lightftp,chatafl,1,l_abs,171
1771411278,lightftp,chatafl,1,b_per,10.5
1771411278,lightftp,chatafl,1,b_abs,71
1771411280,lightftp,chatafl,1,l_per,16.0
1771411280,lightftp,chatafl,1,l_abs,171
1771411280,lightftp,chatafl,1,b_per,10.5
1771411280,lightftp,chatafl,1,b_abs,71
1771411281,lightftp,chatafl,1,l_per,16.0
1771411281,lightftp,chatafl,1,l_abs,171
1771411281,lightftp,chatafl,1,b_per,10.5
1771411281,lightftp,chatafl,1,b_abs,71
1771411282,lightftp,chatafl,1,l_per,16.0
1771411282,lightftp,chatafl,1,l_abs,171
1771411282,lightftp,chatafl,1,b_per,10.5
1771411282,lightftp,chatafl,1,b_abs,71
1771411283,lightftp,chatafl,1,l_per,16.0
1771411283,lightftp,chatafl,1,l_abs,171
1771411283,lightftp,chatafl,1,b_per,10.5
1771411283,lightftp,chatafl,1,b_abs,71
1771411284,lightftp,chatafl,1,l_per,16.0
1771411284,lightftp,chatafl,1,l_abs,171
1771411284,lightftp,chatafl,1,b_per,10.5
1771411284,lightftp,chatafl,1,b_abs,71
1771411285,lightftp,chatafl,1,l_per,16.0
1771411285,lightftp,chatafl,1,l_abs,171
1771411285,lightftp,chatafl,1,b_per,10.5
1771411285,lightftp,chatafl,1,b_abs,71
1771411286,lightftp,chatafl,1,l_per,16.0
1771411286,lightftp,chatafl,1,l_abs,171
1771411286,lightftp,chatafl,1,b_per,10.5
1771411286,lightftp,chatafl,1,b_abs,71
1771411287,lightftp,chatafl,1,l_per,16.0
1771411287,lightftp,chatafl,1,l_abs,171
1771411287,lightftp,chatafl,1,b_per,10.5
1771411287,lightftp,chatafl,1,b_abs,71
1771411288,lightftp,chatafl,1,l_per,16.0
1771411288,lightftp,chatafl,1,l_abs,171
1771411288,lightftp,chatafl,1,b_per,10.5
1771411288,lightftp,chatafl,1,b_abs,71
1771411289,lightftp,chatafl,1,l_per,16.0
1771411289,lightftp,chatafl,1,l_abs,171
1771411289,lightftp,chatafl,1,b_per,10.5
1771411289,lightftp,chatafl,1,b_abs,71
1771411290,lightftp,chatafl,1,l_per,16.0
1771411290,lightftp,chatafl,1,l_abs,171
1771411290,lightftp,chatafl,1,b_per,10.5
1771411290,lightftp,chatafl,1,b_abs,71
1771411291,lightftp,chatafl,1,l_per,16.0
1771411291,lightftp,chatafl,1,l_abs,171
1771411291,lightftp,chatafl,1,b_per,10.5
1771411291,lightftp,chatafl,1,b_abs,71
1771411292,lightftp,chatafl,1,l_per,16.0
1771411292,lightftp,chatafl,1,l_abs,171
1771411292,lightftp,chatafl,1,b_per,10.5
1771411292,lightftp,chatafl,1,b_abs,71
1771411297,lightftp,chatafl,1,l_per,16.0
1771411297,lightftp,chatafl,1,l_abs,171
1771411297,lightftp,chatafl,1,b_per,10.5
1771411297,lightftp,chatafl,1,b_abs,71
1771411298,lightftp,chatafl,1,l_per,16.0
1771411298,lightftp,chatafl,1,l_abs,171
1771411298,lightftp,chatafl,1,b_per,10.5
1771411298,lightftp,chatafl,1,b_abs,71
1771411300,lightftp,chatafl,1,l_per,16.0
1771411300,lightftp,chatafl,1,l_abs,171
1771411300,lightftp,chatafl,1,b_per,10.5
1771411300,lightftp,chatafl,1,b_abs,71
1771411301,lightftp,chatafl,1,l_per,16.0
1771411301,lightftp,chatafl,1,l_abs,171
1771411301,lightftp,chatafl,1,b_per,10.5
1771411301,lightftp,chatafl,1,b_abs,71
1771411302,lightftp,chatafl,1,l_per,16.0
1771411302,lightftp,chatafl,1,l_abs,171
1771411302,lightftp,chatafl,1,b_per,10.5
1771411302,lightftp,chatafl,1,b_abs,71
1771411303,lightftp,chatafl,1,l_per,16.0
1771411303,lightftp,chatafl,1,l_abs,171
1771411303,lightftp,chatafl,1,b_per,10.5
1771411303,lightftp,chatafl,1,b_abs,71
1771411304,lightftp,chatafl,1,l_per,16.0
1771411304,lightftp,chatafl,1,l_abs,171
1771411304,lightftp,chatafl,1,b_per,10.5
1771411304,lightftp,chatafl,1,b_abs,71
1771411305,lightftp,chatafl,1,l_per,16.0
1771411305,lightftp,chatafl,1,l_abs,171
1771411305,lightftp,chatafl,1,b_per,10.5
1771411305,lightftp,chatafl,1,b_abs,71
1771411306,lightftp,chatafl,1,l_per,16.0
1771411306,lightftp,chatafl,1,l_abs,171
1771411306,lightftp,chatafl,1,b_per,10.5
1771411306,lightftp,chatafl,1,b_abs,71
1771411308,lightftp,chatafl,1,l_per,16.0
1771411308,lightftp,chatafl,1,l_abs,171
1771411308,lightftp,chatafl,1,b_per,10.5
1771411308,lightftp,chatafl,1,b_abs,71
1771411309,lightftp,chatafl,1,l_per,16.0
1771411309,lightftp,chatafl,1,l_abs,171
1771411309,lightftp,chatafl,1,b_per,10.5
1771411309,lightftp,chatafl,1,b_abs,71
1771411310,lightftp,chatafl,1,l_per,16.0
1771411310,lightftp,chatafl,1,l_abs,171
1771411310,lightftp,chatafl,1,b_per,10.5
1771411310,lightftp,chatafl,1,b_abs,71
1771411311,lightftp,chatafl,1,l_per,16.0
1771411311,lightftp,chatafl,1,l_abs,171
1771411311,lightftp,chatafl,1,b_per,10.5
1771411311,lightftp,chatafl,1,b_abs,71
1771411312,lightftp,chatafl,1,l_per,16.0
1771411312,lightftp,chatafl,1,l_abs,171
1771411312,lightftp,chatafl,1,b_per,10.5
1771411312,lightftp,chatafl,1,b_abs,71
1771411313,lightftp,chatafl,1,l_per,16.0
1771411313,lightftp,chatafl,1,l_abs,171
1771411313,lightftp,chatafl,1,b_per,10.5
1771411313,lightftp,chatafl,1,b_abs,71
1771411315,lightftp,chatafl,1,l_per,16.0
1771411315,lightftp,chatafl,1,l_abs,171
1771411315,lightftp,chatafl,1,b_per,10.5
1771411315,lightftp,chatafl,1,b_abs,71
1771411316,lightftp,chatafl,1,l_per,16.0
1771411316,lightftp,chatafl,1,l_abs,171
1771411316,lightftp,chatafl,1,b_per,10.5
1771411316,lightftp,chatafl,1,b_abs,71
1771411317,lightftp,chatafl,1,l_per,16.0
1771411317,lightftp,chatafl,1,l_abs,171
1771411317,lightftp,chatafl,1,b_per,10.5
1771411317,lightftp,chatafl,1,b_abs,71
1771411318,lightftp,chatafl,1,l_per,16.0
1771411318,lightftp,chatafl,1,l_abs,171
1771411318,lightftp,chatafl,1,b_per,10.5
1771411318,lightftp,chatafl,1,b_abs,71
1771411319,lightftp,chatafl,1,l_per,16.0
1771411319,lightftp,chatafl,1,l_abs,171
1771411319,lightftp,chatafl,1,b_per,10.5
1771411319,lightftp,chatafl,1,b_abs,71
1771411320,lightftp,chatafl,1,l_per,16.0
1771411320,lightftp,chatafl,1,l_abs,171
1771411320,lightftp,chatafl,1,b_per,10.5
1771411320,lightftp,chatafl,1,b_abs,71
1771411321,lightftp,chatafl,1,l_per,16.0
1771411321,lightftp,chatafl,1,l_abs,171
1771411321,lightftp,chatafl,1,b_per,10.5
1771411321,lightftp,chatafl,1,b_abs,71
1771411322,lightftp,chatafl,1,l_per,16.0
1771411322,lightftp,chatafl,1,l_abs,171
1771411322,lightftp,chatafl,1,b_per,10.5
1771411322,lightftp,chatafl,1,b_abs,71
