time,subject,fuzzer,run,state_type,state
1771411385,lightftp,chatafl,1,nodes,17
1771411385,lightftp,chatafl,1,edges,60
1771411390,lightftp,chatafl,1,nodes,17
1771411390,lightftp,chatafl,1,edges,60
1771411395,lightftp,chatafl,1,nodes,17
1771411395,lightftp,chatafl,1,edges,62
1771411400,lightftp,chatafl,1,nodes,17
1771411400,lightftp,chatafl,1,edges,63
1771411405,lightftp,chatafl,1,nodes,17
1771411405,lightftp,chatafl,1,edges,63
1771411415,lightftp,chatafl,1,nodes,17
1771411415,lightftp,chatafl,1,edges,63
1771411425,lightftp,chatafl,1,nodes,17
1771411425,lightftp,chatafl,1,edges,64
1771411471,lightftp,chatafl,1,nodes,17
1771411471,lightftp,chatafl,1,edges,64
1771411482,lightftp,chatafl,1,nodes,17
1771411482,lightftp,chatafl,1,edges,64
1771411507,lightftp,chatafl,1,nodes,17
1771411507,lightftp,chatafl,1,edges,66
1771411512,lightftp,chatafl,1,nodes,17
1771411512,lightftp,chatafl,1,edges,67
1771411517,lightftp,chatafl,1,nodes,17
1771411517,lightftp,chatafl,1,edges,67
1771411523,lightftp,chatafl,1,nodes,17
1771411523,lightftp,chatafl,1,edges,67
1771411528,lightftp,chatafl,1,nodes,17
1771411528,lightftp,chatafl,1,edges,68
1771411533,lightftp,chatafl,1,nodes,17
1771411533,lightftp,chatafl,1,edges,68
1771411543,lightftp,chatafl,1,nodes,17
1771411543,lightftp,chatafl,1,edges,68
1771411549,lightftp,chatafl,1,nodes,18
1771411549,lightftp,chatafl,1,edges,70
1771411554,lightftp,chatafl,1,nodes,18
1771411554,lightftp,chatafl,1,edges,70
1771411559,lightftp,chatafl,1,nodes,18
1771411559,lightftp,chatafl,1,edges,70
1771411564,lightftp,chatafl,1,nodes,18
1771411564,lightftp,chatafl,1,edges,71
1771411569,lightftp,chatafl,1,nodes,18
1771411569,lightftp,chatafl,1,edges,71
1771411574,lightftp,chatafl,1,nodes,18
1771411574,lightftp,chatafl,1,edges,71
1771411579,lightftp,chatafl,1,nodes,18
1771411579,lightftp,chatafl,1,edges,71
1771411584,lightftp,chatafl,1,nodes,18
1771411584,lightftp,chatafl,1,edges,71
1771411589,lightftp,chatafl,1,nodes,18
1771411589,lightftp,chatafl,1,edges,71
1771411595,lightftp,chatafl,1,nodes,18
1771411595,lightftp,chatafl,1,edges,71
1771411600,lightftp,chatafl,1,nodes,18
1771411600,lightftp,chatafl,1,edges,72
1771411605,lightftp,chatafl,1,nodes,19
1771411605,lightftp,chatafl,1,edges,73
1771411610,lightftp,chatafl,1,nodes,19
1771411610,lightftp,chatafl,1,edges,75
1771411615,lightftp,chatafl,1,nodes,19
1771411615,lightftp,chatafl,1,edges,77
1771411620,lightftp,chatafl,1,nodes,19
1771411620,lightftp,chatafl,1,edges,78
1771411625,lightftp,chatafl,1,nodes,19
1771411625,lightftp,chatafl,1,edges,80
1771411630,lightftp,chatafl,1,nodes,19
1771411630,lightftp,chatafl,1,edges,81
1771411635,lightftp,chatafl,1,nodes,19
1771411635,lightftp,chatafl,1,edges,83
1771411641,lightftp,chatafl,1,nodes,19
1771411641,lightftp,chatafl,1,edges,83
1771411646,lightftp,chatafl,1,nodes,19
1771411646,lightftp,chatafl,1,edges,83
1771411651,lightftp,chatafl,1,nodes,19
1771411651,lightftp,chatafl,1,edges,84
1771411661,lightftp,chatafl,1,nodes,19
1771411661,lightftp,chatafl,1,edges,84
1771411671,lightftp,chatafl,1,nodes,19
1771411671,lightftp,chatafl,1,edges,86
