time,subject,fuzzer,run,state_type,state
1772470465,lightftp,aflnet,1,nodes,11
1772470465,lightftp,aflnet,1,edges,16
1772470470,lightftp,aflnet,1,nodes,13
1772470470,lightftp,aflnet,1,edges,23
1772470475,lightftp,aflnet,1,nodes,13
1772470475,lightftp,aflnet,1,edges,24
1772470480,lightftp,aflnet,1,nodes,13
1772470480,lightftp,aflnet,1,edges,24
1772470485,lightftp,aflnet,1,nodes,13
1772470485,lightftp,aflnet,1,edges,24
1772470490,lightftp,aflnet,1,nodes,13
1772470490,lightftp,aflnet,1,edges,24
1772470495,lightftp,aflnet,1,nodes,13
1772470495,lightftp,aflnet,1,edges,24
1772470500,lightftp,aflnet,1,nodes,13
1772470500,lightftp,aflnet,1,edges,24
1772470506,lightftp,aflnet,1,nodes,13
1772470506,lightftp,aflnet,1,edges,24
1772470511,lightftp,aflnet,1,nodes,13
1772470511,lightftp,aflnet,1,edges,24
1772470516,lightftp,aflnet,1,nodes,13
1772470516,lightftp,aflnet,1,edges,24
1772470526,lightftp,aflnet,1,nodes,13
1772470526,lightftp,aflnet,1,edges,24
1772470531,lightftp,aflnet,1,nodes,13
1772470531,lightftp,aflnet,1,edges,24
1772470541,lightftp,aflnet,1,nodes,13
1772470541,lightftp,aflnet,1,edges,24
1772470546,lightftp,aflnet,1,nodes,13
1772470546,lightftp,aflnet,1,edges,26
1772470551,lightftp,aflnet,1,nodes,13
1772470551,lightftp,aflnet,1,edges,30
1772470556,lightftp,aflnet,1,nodes,13
1772470556,lightftp,aflnet,1,edges,32
1772470561,lightftp,aflnet,1,nodes,13
1772470561,lightftp,aflnet,1,edges,32
1772470566,lightftp,aflnet,1,nodes,13
1772470566,lightftp,aflnet,1,edges,34
1772470572,lightftp,aflnet,1,nodes,13
1772470572,lightftp,aflnet,1,edges,34
1772470577,lightftp,aflnet,1,nodes,13
1772470577,lightftp,aflnet,1,edges,35
1772470582,lightftp,aflnet,1,nodes,13
1772470582,lightftp,aflnet,1,edges,35
1772470587,lightftp,aflnet,1,nodes,14
1772470587,lightftp,aflnet,1,edges,37
1772470597,lightftp,aflnet,1,nodes,14
1772470597,lightftp,aflnet,1,edges,38
1772470603,lightftp,aflnet,1,nodes,14
1772470603,lightftp,aflnet,1,edges,39
1772470608,lightftp,aflnet,1,nodes,14
1772470608,lightftp,aflnet,1,edges,39
1772470613,lightftp,aflnet,1,nodes,14
1772470613,lightftp,aflnet,1,edges,39
1772470623,lightftp,aflnet,1,nodes,14
1772470623,lightftp,aflnet,1,edges,39
1772470628,lightftp,aflnet,1,nodes,14
1772470628,lightftp,aflnet,1,edges,39
1772470633,lightftp,aflnet,1,nodes,14
1772470633,lightftp,aflnet,1,edges,39
1772470644,lightftp,aflnet,1,nodes,14
1772470644,lightftp,aflnet,1,edges,39
1772470649,lightftp,aflnet,1,nodes,14
1772470649,lightftp,aflnet,1,edges,39
1772470654,lightftp,aflnet,1,nodes,14
