subject,fuzzer,data_type,time,data
lightftp,aflnet,nodes,0,0.0
lightftp,aflnet,nodes,1,13.0
lightftp,aflnet,nodes,61,21.333333333333332
lightftp,aflnet,nodes,121,21.666666666666668
lightftp,aflnet,nodes,181,21.666666666666668
lightftp,aflnet,nodes,241,22.333333333333332
lightftp,aflnet,nodes,301,22.333333333333332
lightftp,aflnet,nodes,361,22.333333333333332
lightftp,aflnet,nodes,421,22.333333333333332
lightftp,aflnet,nodes,481,22.333333333333332
lightftp,aflnet,nodes,541,22.666666666666668
lightftp,aflnet,nodes,601,22.666666666666668
lightftp,aflnet,nodes,661,22.666666666666668
lightftp,aflnet,nodes,721,22.666666666666668
lightftp,aflnet,nodes,781,22.666666666666668
lightftp,aflnet,nodes,841,22.666666666666668
lightftp,aflnet,nodes,901,22.666666666666668
lightftp,aflnet,nodes,961,22.666666666666668
lightftp,aflnet,nodes,1021,22.666666666666668
lightftp,aflnet,nodes,1081,22.666666666666668
lightftp,aflnet,nodes,1141,22.666666666666668
lightftp,aflnet,nodes,1201,22.666666666666668
lightftp,aflnet,nodes,1261,22.666666666666668
lightftp,aflnet,nodes,1321,22.666666666666668
lightftp,aflnet,nodes,1381,22.666666666666668
lightftp,aflnet,nodes,1441,22.666666666666668
lightftp,aflnet,edges,0,0.0
lightftp,aflnet,edges,1,26.0
lightftp,aflnet,edges,61,139.33333333333334
lightftp,aflnet,edges,121,151.0
lightftp,aflnet,edges,181,156.66666666666666
lightftp,aflnet,edges,241,161.33333333333334
lightftp,aflnet,edges,301,167.0
lightftp,aflnet,edges,361,170.66666666666666
lightftp,aflnet,edges,421,171.33333333333334
lightftp,aflnet,edges,481,173.0
lightftp,aflnet,edges,541,174.33333333333334
lightftp,aflnet,edges,601,175.33333333333334
lightftp,aflnet,edges,661,175.33333333333334
lightftp,aflnet,edges,721,175.66666666666666
lightftp,aflnet,edges,781,175.66666666666666
lightftp,aflnet,edges,841,176.66666666666666
lightftp,aflnet,edges,901,177.0
lightftp,aflnet,edges,961,177.33333333333334
lightftp,aflnet,edges,1021,177.66666666666666
lightftp,aflnet,edges,1081,177.66666666666666
lightftp,aflnet,edges,1141,178.33333333333334
lightftp,aflnet,edges,1201,179.33333333333334
lightftp,aflnet,edges,1261,180.33333333333334
lightftp,aflnet,edges,1321,180.33333333333334
lightftp,aflnet,edges,1381,180.66666666666666
lightftp,aflnet,edges,1441,180.66666666666666
lightftp,chatafl,nodes,0,0.0
lightftp,chatafl,nodes,1,17.333333333333332
lightftp,chatafl,nodes,61,22.666666666666668
lightftp,chatafl,nodes,121,23.0
lightftp,chatafl,nodes,181,23.0
lightftp,chatafl,nodes,241,23.0
lightftp,chatafl,nodes,301,23.0
lightftp,chatafl,nodes,361,23.0
lightftp,chatafl,nodes,421,23.0
lightftp,chatafl,nodes,481,23.0
lightftp,chatafl,nodes,541,23.0
lightftp,chatafl,nodes,601,23.0
lightftp,chatafl,nodes,661,23.0
lightftp,chatafl,nodes,721,23.0
lightftp,chatafl,nodes,781,23.0
lightftp,chatafl,nodes,841,23.0
lightftp,chatafl,nodes,901,23.0
lightftp,chatafl,nodes,961,23.0
lightftp,chatafl,nodes,1021,23.0
lightftp,chatafl,nodes,1081,23.0
lightftp,chatafl,nodes,1141,23.0
lightftp,chatafl,nodes,1201,23.0
lightftp,chatafl,nodes,1261,23.0
lightftp,chatafl,nodes,1321,23.0
lightftp,chatafl,nodes,1381,23.0
lightftp,chatafl,nodes,1441,23.0
lightftp,chatafl,edges,0,0.0
lightftp,chatafl,edges,1,72.33333333333333
