time,subject,fuzzer,run,cov_type,cov
1773673853,lightftp,aflnet,1,l_per,13.5
1773673853,lightftp,aflnet,1,l_abs,144
1773673853,lightftp,aflnet,1,b_per,9.7
1773673853,lightftp,aflnet,1,b_abs,66
1773673854,lightftp,aflnet,1,l_per,13.5
1773673854,lightftp,aflnet,1,l_abs,144
1773673854,lightftp,aflnet,1,b_per,9.7
1773673854,lightftp,aflnet,1,b_abs,66
1773673952,lightftp,aflnet,1,l_per,16.6
1773673952,lightftp,aflnet,1,l_abs,177
1773673952,lightftp,aflnet,1,b_per,10.9
1773673952,lightftp,aflnet,1,b_abs,74
1773674124,lightftp,aflnet,1,l_per,16.6
1773674124,lightftp,aflnet,1,l_abs,177
1773674124,lightftp,aflnet,1,b_per,10.9
1773674124,lightftp,aflnet,1,b_abs,74
1773674390,lightftp,aflnet,1,l_per,16.6
1773674390,lightftp,aflnet,1,l_abs,177
1773674390,lightftp,aflnet,1,b_per,10.9
1773674390,lightftp,aflnet,1,b_abs,74
1773674867,lightftp,aflnet,1,l_per,16.6
1773674867,lightftp,aflnet,1,l_abs,177
1773674867,lightftp,aflnet,1,b_per,10.9
1773674867,lightftp,aflnet,1,b_abs,74
1773675468,lightftp,aflnet,1,l_per,16.6
1773675468,lightftp,aflnet,1,l_abs,177
1773675468,lightftp,aflnet,1,b_per,10.9
1773675468,lightftp,aflnet,1,b_abs,74
1773676406,lightftp,aflnet,1,l_per,16.6
1773676406,lightftp,aflnet,1,l_abs,177
1773676406,lightftp,aflnet,1,b_per,10.9
1773676406,lightftp,aflnet,1,b_abs,74
1773677652,lightftp,aflnet,1,l_per,16.6
1773677652,lightftp,aflnet,1,l_abs,177
1773677652,lightftp,aflnet,1,b_per,10.9
1773677652,lightftp,aflnet,1,b_abs,74
1773680248,lightftp,aflnet,1,l_per,16.6
1773680248,lightftp,aflnet,1,l_abs,177
1773680248,lightftp,aflnet,1,b_per,10.9
1773680248,lightftp,aflnet,1,b_abs,74
1773685000,lightftp,aflnet,1,l_per,16.6
1773685000,lightftp,aflnet,1,l_abs,177
1773685000,lightftp,aflnet,1,b_per,10.9
1773685000,lightftp,aflnet,1,b_abs,74
1773691791,lightftp,aflnet,1,l_per,16.6
1773691791,lightftp,aflnet,1,l_abs,177
1773691791,lightftp,aflnet,1,b_per,10.9
