fuzzer,run,runtime_min,llm_calls,prompt_tokens,completion_tokens,dedup_hits,cost_usd,prompt_per_24h,compl_per_24h,cost_per_24h,token_source
chatafl,1,1469,159,32580,129627,0,0.082663,31937,127068,0.081031,exact
chatafl,2,1468,153,29014,124303,0,0.078934,28461,121932,0.077428,exact
chatafl,3,1470,159,32129,113186,0,0.072731,31473,110876,0.071247,exact
chatafl,4,1470,159,33069,121890,0,0.078094,32394,119402,0.076501,exact
chatafl,5,1470,154,29304,118201,0,0.075316,28706,115789,0.073779,exact
chatafl,6,1469,152,30401,112185,0,0.071871,29801,109970,0.070452,exact
chatafl,7,1470,156,32261,118549,0,0.075969,31603,116130,0.074418,exact
chatafl,8,1468,157,31458,120428,0,0.076976,30858,118131,0.075507,exact
chatafl,9,1470,154,29120,119753,0,0.076220,28526,117309,0.074664,exact
chatafl_opt,1,1477,159,129267,16478,0,0.029277,126029,16065,0.028543,exact
chatafl_opt,2,1477,160,131016,16042,0,0.029278,127734,15640,0.028544,exact
chatafl_opt,3,1476,152,118836,15371,0,0.027048,115938,14996,0.026388,exact
chatafl_opt,4,1476,161,107699,14551,0,0.024885,105072,14196,0.024278,exact
chatafl_opt,5,1477,157,112820,15911,0,0.026470,109994,15512,0.025807,exact
chatafl_opt,6,1476,157,109788,15817,0,0.025958,107110,15431,0.025325,exact
chatafl_opt,7,1477,160,136015,16460,0,0.030278,132608,16048,0.029520,exact
chatafl_opt,8,1477,156,125142,16223,0,0.028505,122007,15817,0.027791,exact
chatafl_opt,9,1477,158,131142,16520,0,0.029583,127857,16106,0.028842,exact
