subject,fuzzer,data_type,time,data
lightftp,aflnet,nodes,0,0.0
lightftp,aflnet,nodes,1,13.333333333333334
lightftp,aflnet,nodes,61,21.555555555555557
lightftp,aflnet,nodes,121,21.88888888888889
lightftp,aflnet,nodes,181,22.22222222222222
lightftp,aflnet,nodes,241,22.444444444444443
lightftp,aflnet,nodes,301,22.444444444444443
lightftp,aflnet,nodes,361,22.444444444444443
lightftp,aflnet,nodes,421,22.444444444444443
lightftp,aflnet,nodes,481,22.444444444444443
lightftp,aflnet,nodes,541,22.555555555555557
lightftp,aflnet,nodes,601,22.555555555555557
lightftp,aflnet,nodes,661,22.555555555555557
lightftp,aflnet,nodes,721,22.555555555555557
lightftp,aflnet,nodes,781,22.555555555555557
lightftp,aflnet,nodes,841,22.555555555555557
lightftp,aflnet,nodes,901,22.555555555555557
lightftp,aflnet,nodes,961,22.555555555555557
lightftp,aflnet,nodes,1021,22.555555555555557
lightftp,aflnet,nodes,1081,22.555555555555557
lightftp,aflnet,nodes,1141,22.555555555555557
lightftp,aflnet,nodes,1201,22.555555555555557
lightftp,aflnet,nodes,1261,22.555555555555557
lightftp,aflnet,nodes,1321,22.555555555555557
lightftp,aflnet,nodes,1381,22.555555555555557
lightftp,aflnet,nodes,1441,22.555555555555557
lightftp,aflnet,edges,0,0.0
lightftp,aflnet,edges,1,26.666666666666668
lightftp,aflnet,edges,61,138.0
lightftp,aflnet,edges,121,151.44444444444446
lightftp,aflnet,edges,181,157.0
lightftp,aflnet,edges,241,163.0
lightftp,aflnet,edges,301,167.22222222222223
lightftp,aflnet,edges,361,170.0
lightftp,aflnet,edges,421,172.11111111111111
lightftp,aflnet,edges,481,173.33333333333334
lightftp,aflnet,edges,541,175.11111111111111
lightftp,aflnet,edges,601,176.11111111111111
lightftp,aflnet,edges,661,176.33333333333334
lightftp,aflnet,edges,721,176.66666666666666
lightftp,aflnet,edges,781,177.77777777777777
lightftp,aflnet,edges,841,178.88888888888889
lightftp,aflnet,edges,901,179.66666666666666
lightftp,aflnet,edges,961,179.88888888888889
lightftp,aflnet,edges,1021,180.33333333333334
lightftp,aflnet,edges,1081,180.77777777777777
lightftp,aflnet,edges,1141,181.33333333333334
lightftp,aflnet,edges,1201,181.77777777777777
lightftp,aflnet,edges,1261,182.11111111111111
lightftp,aflnet,edges,1321,182.33333333333334
lightftp,aflnet,edges,1381,182.44444444444446
lightftp,aflnet,edges,1441,182.55555555555554
lightftp,chatafl,nodes,0,0.0
lightftp,chatafl,nodes,1,17.77777777777778
lightftp,chatafl,nodes,61,22.88888888888889
lightftp,chatafl,nodes,121,23.11111111111111
lightftp,chatafl,nodes,181,23.11111111111111
lightftp,chatafl,nodes,241,23.11111111111111
lightftp,chatafl,nodes,301,23.22222222222222
lightftp,chatafl,nodes,361,23.333333333333332
lightftp,chatafl,nodes,421,23.333333333333332
lightftp,chatafl,nodes,481,23.333333333333332
lightftp,chatafl,nodes,541,23.333333333333332
lightftp,chatafl,nodes,601,23.333333333333332
lightftp,chatafl,nodes,661,23.333333333333332
lightftp,chatafl,nodes,721,23.333333333333332
lightftp,chatafl,nodes,781,23.333333333333332
lightftp,chatafl,nodes,841,23.333333333333332
lightftp,chatafl,nodes,901,23.333333333333332
lightftp,chatafl,nodes,961,23.333333333333332
lightftp,chatafl,nodes,1021,23.333333333333332
lightftp,chatafl,nodes,1081,23.333333333333332
lightftp,chatafl,nodes,1141,23.333333333333332
