time,subject,fuzzer,run,state_type,state
1772103885,lighttpd1,chatafl,1,nodes,4
1772103885,lighttpd1,chatafl,1,edges,3
1772103890,lighttpd1,chatafl,1,nodes,4
1772103890,lighttpd1,chatafl,1,edges,3
1772103901,lighttpd1,chatafl,1,nodes,4
1772103901,lighttpd1,chatafl,1,edges,3
1772103911,lighttpd1,chatafl,1,nodes,4
1772103911,lighttpd1,chatafl,1,edges,3
1772103928,lighttpd1,chatafl,1,nodes,4
1772103928,lighttpd1,chatafl,1,edges,3
1772103972,lighttpd1,chatafl,1,nodes,4
1772103972,lighttpd1,chatafl,1,edges,3
1772103988,lighttpd1,chatafl,1,nodes,4
1772103988,lighttpd1,chatafl,1,edges,3
1772103994,lighttpd1,chatafl,1,nodes,4
1772103994,lighttpd1,chatafl,1,edges,3
1772104000,lighttpd1,chatafl,1,nodes,5
1772104000,lighttpd1,chatafl,1,edges,4
1772104032,lighttpd1,chatafl,1,nodes,5
1772104032,lighttpd1,chatafl,1,edges,4
1772104048,lighttpd1,chatafl,1,nodes,5
1772104048,lighttpd1,chatafl,1,edges,4
1772104059,lighttpd1,chatafl,1,nodes,6
1772104059,lighttpd1,chatafl,1,edges,5
1772104065,lighttpd1,chatafl,1,nodes,6
1772104065,lighttpd1,chatafl,1,edges,5
1772104070,lighttpd1,chatafl,1,nodes,6
1772104070,lighttpd1,chatafl,1,edges,5
1772104086,lighttpd1,chatafl,1,nodes,6
1772104086,lighttpd1,chatafl,1,edges,5
1772104092,lighttpd1,chatafl,1,nodes,6
1772104092,lighttpd1,chatafl,1,edges,5
1772104128,lighttpd1,chatafl,1,nodes,6
1772104128,lighttpd1,chatafl,1,edges,5
1772104134,lighttpd1,chatafl,1,nodes,6
1772104134,lighttpd1,chatafl,1,edges,5
1772104150,lighttpd1,chatafl,1,nodes,6
1772104150,lighttpd1,chatafl,1,edges,5
1772104160,lighttpd1,chatafl,1,nodes,6
1772104160,lighttpd1,chatafl,1,edges,5
1772104165,lighttpd1,chatafl,1,nodes,6
1772104165,lighttpd1,chatafl,1,edges,5
1772104176,lighttpd1,chatafl,1,nodes,6
1772104176,lighttpd1,chatafl,1,edges,5
1772104193,lighttpd1,chatafl,1,nodes,6
1772104193,lighttpd1,chatafl,1,edges,5
1772104204,lighttpd1,chatafl,1,nodes,6
1772104204,lighttpd1,chatafl,1,edges,5
1772104230,lighttpd1,chatafl,1,nodes,6
1772104230,lighttpd1,chatafl,1,edges,5
1772104252,lighttpd1,chatafl,1,nodes,6
1772104252,lighttpd1,chatafl,1,edges,6
1772104273,lighttpd1,chatafl,1,nodes,6
1772104273,lighttpd1,chatafl,1,edges,6
1772104288,lighttpd1,chatafl,1,nodes,7
1772104288,lighttpd1,chatafl,1,edges,7
1772104320,lighttpd1,chatafl,1,nodes,7
1772104320,lighttpd1,chatafl,1,edges,7
1772104330,lighttpd1,chatafl,1,nodes,7
1772104330,lighttpd1,chatafl,1,edges,7
1772104341,lighttpd1,chatafl,1,nodes,7
1772104341,lighttpd1,chatafl,1,edges,7
1772104352,lighttpd1,chatafl,1,nodes,7
1772104352,lighttpd1,chatafl,1,edges,7
1772104380,lighttpd1,chatafl,1,nodes,7
1772104380,lighttpd1,chatafl,1,edges,7
1772104403,lighttpd1,chatafl,1,nodes,7
1772104403,lighttpd1,chatafl,1,edges,7
