subject,fuzzer,data_type,time,data
lighttpd1,aflnet,nodes,0,0.0
lighttpd1,aflnet,nodes,1,5.0
lighttpd1,aflnet,nodes,61,6.0
lighttpd1,aflnet,edges,0,0.0
lighttpd1,aflnet,edges,1,4.0
lighttpd1,aflnet,edges,61,6.0
lighttpd1,chatafl,nodes,0,0.0
lighttpd1,chatafl,nodes,1,4.0
lighttpd1,chatafl,nodes,61,7.0
lighttpd1,chatafl,edges,0,0.0
lighttpd1,chatafl,edges,1,3.0
lighttpd1,chatafl,edges,61,7.0
lighttpd1,chatafl_opt,nodes,0,0.0
lighttpd1,chatafl_opt,nodes,1,4.0
lighttpd1,chatafl_opt,nodes,61,5.0
lighttpd1,chatafl_opt,edges,0,0.0
lighttpd1,chatafl_opt,edges,1,3.0
lighttpd1,chatafl_opt,edges,61,5.0
