time,subject,fuzzer,run,cov_type,cov
1772352130,lighttpd1,aflnet,1,l_per,11.1
1772352130,lighttpd1,aflnet,1,l_abs,3129
1772352130,lighttpd1,aflnet,1,b_per,6.6
1772352130,lighttpd1,aflnet,1,b_abs,1271
1772352132,lighttpd1,aflnet,1,l_per,11.9
1772352132,lighttpd1,aflnet,1,l_abs,3361
1772352132,lighttpd1,aflnet,1,b_per,7.2
1772352132,lighttpd1,aflnet,1,b_abs,1382
1772352134,lighttpd1,aflnet,1,l_per,12.0
1772352134,lighttpd1,aflnet,1,l_abs,3379
1772352134,lighttpd1,aflnet,1,b_per,7.3
1772352134,lighttpd1,aflnet,1,b_abs,1396
1772352747,lighttpd1,aflnet,1,l_per,12.7
1772352747,lighttpd1,aflnet,1,l_abs,3593
1772352747,lighttpd1,aflnet,1,b_per,8.3
1772352747,lighttpd1,aflnet,1,b_abs,1591
1772353557,lighttpd1,aflnet,1,l_per,12.9
1772353557,lighttpd1,aflnet,1,l_abs,3651
1772353557,lighttpd1,aflnet,1,b_per,8.6
1772353557,lighttpd1,aflnet,1,b_abs,1647
1772354602,lighttpd1,aflnet,1,l_per,13.0
1772354602,lighttpd1,aflnet,1,l_abs,3662
1772354602,lighttpd1,aflnet,1,b_per,8.7
1772354602,lighttpd1,aflnet,1,b_abs,1664
1772356310,lighttpd1,aflnet,1,l_per,13.1
1772356310,lighttpd1,aflnet,1,l_abs,3686
1772356310,lighttpd1,aflnet,1,b_per,8.8
1772356310,lighttpd1,aflnet,1,b_abs,1699
1772358053,lighttpd1,aflnet,1,l_per,13.1
1772358053,lighttpd1,aflnet,1,l_abs,3690
1772358053,lighttpd1,aflnet,1,b_per,8.9
1772358053,lighttpd1,aflnet,1,b_abs,1710
1772352778,lighttpd1,chatafl,1,l_per,9.7
1772352778,lighttpd1,chatafl,1,l_abs,2737
1772352778,lighttpd1,chatafl,1,b_per,5.5
1772352778,lighttpd1,chatafl,1,b_abs,1058
1772352809,lighttpd1,chatafl,1,l_per,9.7
1772352809,lighttpd1,chatafl,1,l_abs,2737
1772352809,lighttpd1,chatafl,1,b_per,5.5
1772352809,lighttpd1,chatafl,1,b_abs,1058
1772352814,lighttpd1,chatafl,1,l_per,9.7
1772352814,lighttpd1,chatafl,1,l_abs,2737
1772352814,lighttpd1,chatafl,1,b_per,5.5
1772352814,lighttpd1,chatafl,1,b_abs,1058
1772352822,lighttpd1,chatafl,1,l_per,9.7
1772352822,lighttpd1,chatafl,1,l_abs,2737
1772352822,lighttpd1,chatafl,1,b_per,5.5
1772352822,lighttpd1,chatafl,1,b_abs,1062
1772352828,lighttpd1,chatafl,1,l_per,9.7
1772352828,lighttpd1,chatafl,1,l_abs,2737
1772352828,lighttpd1,chatafl,1,b_per,5.5
1772352828,lighttpd1,chatafl,1,b_abs,1062
1772352834,lighttpd1,chatafl,1,l_per,9.7
1772352834,lighttpd1,chatafl,1,l_abs,2737
1772352834,lighttpd1,chatafl,1,b_per,5.5
1772352834,lighttpd1,chatafl,1,b_abs,1062
1772352842,lighttpd1,chatafl,1,l_per,9.7
1772352842,lighttpd1,chatafl,1,l_abs,2737
1772352842,lighttpd1,chatafl,1,b_per,5.5
1772352842,lighttpd1,chatafl,1,b_abs,1062
1772352849,lighttpd1,chatafl,1,l_per,9.7
1772352849,lighttpd1,chatafl,1,l_abs,2737
1772352849,lighttpd1,chatafl,1,b_per,5.5
1772352849,lighttpd1,chatafl,1,b_abs,1062
1772352877,lighttpd1,chatafl,1,l_per,9.7
1772352877,lighttpd1,chatafl,1,l_abs,2737
1772352877,lighttpd1,chatafl,1,b_per,5.5
1772352877,lighttpd1,chatafl,1,b_abs,1062
1772352884,lighttpd1,chatafl,1,l_per,10.0
1772352884,lighttpd1,chatafl,1,l_abs,2812
1772352884,lighttpd1,chatafl,1,b_per,5.6
1772352884,lighttpd1,chatafl,1,b_abs,1081
1772352891,lighttpd1,chatafl,1,l_per,10.0
1772352891,lighttpd1,chatafl,1,l_abs,2812
1772352891,lighttpd1,chatafl,1,b_per,5.6
1772352891,lighttpd1,chatafl,1,b_abs,1081
1772352899,lighttpd1,chatafl,1,l_per,10.0
1772352899,lighttpd1,chatafl,1,l_abs,2812
1772352899,lighttpd1,chatafl,1,b_per,5.6
1772352899,lighttpd1,chatafl,1,b_abs,1081
1772352906,lighttpd1,chatafl,1,l_per,10.0
1772352906,lighttpd1,chatafl,1,l_abs,2812
1772352906,lighttpd1,chatafl,1,b_per,5.6
1772352906,lighttpd1,chatafl,1,b_abs,1081
1772352913,lighttpd1,chatafl,1,l_per,10.0
1772352913,lighttpd1,chatafl,1,l_abs,2812
1772352913,lighttpd1,chatafl,1,b_per,5.6
1772352913,lighttpd1,chatafl,1,b_abs,1081
1772352918,lighttpd1,chatafl,1,l_per,10.0
1772352918,lighttpd1,chatafl,1,l_abs,2812
1772352918,lighttpd1,chatafl,1,b_per,5.6
1772352918,lighttpd1,chatafl,1,b_abs,1081
1772352925,lighttpd1,chatafl,1,l_per,10.0
1772352925,lighttpd1,chatafl,1,l_abs,2812
1772352925,lighttpd1,chatafl,1,b_per,5.6
1772352925,lighttpd1,chatafl,1,b_abs,1081
1772352961,lighttpd1,chatafl,1,l_per,10.0
1772352961,lighttpd1,chatafl,1,l_abs,2812
1772352961,lighttpd1,chatafl,1,b_per,5.6
1772352961,lighttpd1,chatafl,1,b_abs,1081
1772352970,lighttpd1,chatafl,1,l_per,10.0
1772352970,lighttpd1,chatafl,1,l_abs,2812
1772352970,lighttpd1,chatafl,1,b_per,5.6
1772352970,lighttpd1,chatafl,1,b_abs,1081
1772352979,lighttpd1,chatafl,1,l_per,10.0
1772352979,lighttpd1,chatafl,1,l_abs,2812
1772352979,lighttpd1,chatafl,1,b_per,5.6
1772352979,lighttpd1,chatafl,1,b_abs,1081
1772353013,lighttpd1,chatafl,1,l_per,10.0
1772353013,lighttpd1,chatafl,1,l_abs,2812
1772353013,lighttpd1,chatafl,1,b_per,5.6
1772353013,lighttpd1,chatafl,1,b_abs,1081
1772353018,lighttpd1,chatafl,1,l_per,10.0
1772353018,lighttpd1,chatafl,1,l_abs,2812
1772353018,lighttpd1,chatafl,1,b_per,5.6
1772353018,lighttpd1,chatafl,1,b_abs,1081
1772353024,lighttpd1,chatafl,1,l_per,10.0
1772353024,lighttpd1,chatafl,1,l_abs,2812
1772353024,lighttpd1,chatafl,1,b_per,5.6
1772353024,lighttpd1,chatafl,1,b_abs,1081
1772353029,lighttpd1,chatafl,1,l_per,10.0
1772353029,lighttpd1,chatafl,1,l_abs,2812
1772353029,lighttpd1,chatafl,1,b_per,5.6
1772353029,lighttpd1,chatafl,1,b_abs,1081
1772353038,lighttpd1,chatafl,1,l_per,10.0
1772353038,lighttpd1,chatafl,1,l_abs,2812
1772353038,lighttpd1,chatafl,1,b_per,5.6
1772353038,lighttpd1,chatafl,1,b_abs,1081
1772353045,lighttpd1,chatafl,1,l_per,10.0
1772353045,lighttpd1,chatafl,1,l_abs,2812
1772353045,lighttpd1,chatafl,1,b_per,5.6
1772353045,lighttpd1,chatafl,1,b_abs,1081
1772353053,lighttpd1,chatafl,1,l_per,10.0
1772353053,lighttpd1,chatafl,1,l_abs,2812
1772353053,lighttpd1,chatafl,1,b_per,5.6
1772353053,lighttpd1,chatafl,1,b_abs,1081
1772353085,lighttpd1,chatafl,1,l_per,10.0
1772353085,lighttpd1,chatafl,1,l_abs,2812
1772353085,lighttpd1,chatafl,1,b_per,5.6
1772353085,lighttpd1,chatafl,1,b_abs,1081
