time,subject,fuzzer,run,state_type,state
1772457588,lighttpd1,aflnet,1,nodes,4
1772457588,lighttpd1,aflnet,1,edges,3
1772457632,lighttpd1,aflnet,1,nodes,4
1772457632,lighttpd1,aflnet,1,edges,3
1772457669,lighttpd1,aflnet,1,nodes,4
1772457669,lighttpd1,aflnet,1,edges,3
1772457712,lighttpd1,aflnet,1,nodes,4
1772457712,lighttpd1,aflnet,1,edges,3
1772457718,lighttpd1,aflnet,1,nodes,4
1772457718,lighttpd1,aflnet,1,edges,3
1772457729,lighttpd1,aflnet,1,nodes,4
1772457729,lighttpd1,aflnet,1,edges,3
1772457740,lighttpd1,aflnet,1,nodes,4
1772457740,lighttpd1,aflnet,1,edges,3
1772457777,lighttpd1,aflnet,1,nodes,4
1772457777,lighttpd1,aflnet,1,edges,3
1772457787,lighttpd1,aflnet,1,nodes,4
1772457787,lighttpd1,aflnet,1,edges,3
1772457797,lighttpd1,aflnet,1,nodes,4
1772457797,lighttpd1,aflnet,1,edges,3
1772457841,lighttpd1,aflnet,1,nodes,5
1772457841,lighttpd1,aflnet,1,edges,4
1772457883,lighttpd1,aflnet,1,nodes,5
1772457883,lighttpd1,aflnet,1,edges,4
1772457893,lighttpd1,aflnet,1,nodes,5
1772457893,lighttpd1,aflnet,1,edges,4
1772457905,lighttpd1,aflnet,1,nodes,5
1772457905,lighttpd1,aflnet,1,edges,4
1772457916,lighttpd1,aflnet,1,nodes,5
1772457916,lighttpd1,aflnet,1,edges,4
1772457922,lighttpd1,aflnet,1,nodes,5
1772457922,lighttpd1,aflnet,1,edges,4
1772457933,lighttpd1,aflnet,1,nodes,5
1772457933,lighttpd1,aflnet,1,edges,4
1772457975,lighttpd1,aflnet,1,nodes,5
1772457975,lighttpd1,aflnet,1,edges,4
1772458012,lighttpd1,aflnet,1,nodes,5
1772458012,lighttpd1,aflnet,1,edges,4
1772458059,lighttpd1,aflnet,1,nodes,5
1772458059,lighttpd1,aflnet,1,edges,4
1772458071,lighttpd1,aflnet,1,nodes,5
1772458071,lighttpd1,aflnet,1,edges,4
1772458083,lighttpd1,aflnet,1,nodes,5
1772458083,lighttpd1,aflnet,1,edges,4
1772458095,lighttpd1,aflnet,1,nodes,5
1772458095,lighttpd1,aflnet,1,edges,5
1772458100,lighttpd1,aflnet,1,nodes,5
1772458100,lighttpd1,aflnet,1,edges,5
1772458111,lighttpd1,aflnet,1,nodes,5
1772458111,lighttpd1,aflnet,1,edges,5
1772458127,lighttpd1,aflnet,1,nodes,5
1772458127,lighttpd1,aflnet,1,edges,5
1772458138,lighttpd1,aflnet,1,nodes,5
1772458138,lighttpd1,aflnet,1,edges,5
1772458182,lighttpd1,aflnet,1,nodes,5
1772458182,lighttpd1,aflnet,1,edges,5
1772458192,lighttpd1,aflnet,1,nodes,5
1772458192,lighttpd1,aflnet,1,edges,5
1772458203,lighttpd1,aflnet,1,nodes,5
1772458203,lighttpd1,aflnet,1,edges,5
1772458229,lighttpd1,aflnet,1,nodes,5
1772458229,lighttpd1,aflnet,1,edges,5
1772458239,lighttpd1,aflnet,1,nodes,5
1772458239,lighttpd1,aflnet,1,edges,5
1772458268,lighttpd1,aflnet,1,nodes,5
1772458268,lighttpd1,aflnet,1,edges,5
1772458284,lighttpd1,aflnet,1,nodes,5
1772458284,lighttpd1,aflnet,1,edges,5
1772458295,lighttpd1,aflnet,1,nodes,5
1772458295,lighttpd1,aflnet,1,edges,5
1772458305,lighttpd1,aflnet,1,nodes,5
1772458305,lighttpd1,aflnet,1,edges,5
1772458322,lighttpd1,aflnet,1,nodes,5
1772458322,lighttpd1,aflnet,1,edges,5
1772458338,lighttpd1,aflnet,1,nodes,5
1772458338,lighttpd1,aflnet,1,edges,5
1772458343,lighttpd1,aflnet,1,nodes,5
1772458343,lighttpd1,aflnet,1,edges,5
1772458360,lighttpd1,aflnet,1,nodes,5
1772458360,lighttpd1,aflnet,1,edges,5
1772458372,lighttpd1,aflnet,1,nodes,5
1772458372,lighttpd1,aflnet,1,edges,5
1772458393,lighttpd1,aflnet,1,nodes,5
1772458393,lighttpd1,aflnet,1,edges,5
1772458404,lighttpd1,aflnet,1,nodes,5
1772458404,lighttpd1,aflnet,1,edges,5
1772458422,lighttpd1,aflnet,1,nodes,5
1772458422,lighttpd1,aflnet,1,edges,5
1772458434,lighttpd1,aflnet,1,nodes,5
1772458434,lighttpd1,aflnet,1,edges,5
1772458446,lighttpd1,aflnet,1,nodes,5
1772458446,lighttpd1,aflnet,1,edges,5
1772458473,lighttpd1,aflnet,1,nodes,5
1772458473,lighttpd1,aflnet,1,edges,5
1772458557,lighttpd1,aflnet,1,nodes,6
1772458557,lighttpd1,aflnet,1,edges,6
1772458574,lighttpd1,aflnet,1,nodes,6
