fuzzer,run,runtime_min,llm_calls,prompt_tokens,completion_tokens,dedup_hits,cost_usd,prompt_per_24h,compl_per_24h,cost_per_24h,token_source
chatafl,1,1461,160,22510,70807,0,0.045861,22186,69789,0.045202,exact
chatafl,2,1464,149,17287,51566,0,0.033533,17004,50721,0.032983,exact
chatafl,3,1462,151,17701,56575,0,0.036600,17435,55724,0.036049,exact
chatafl,4,1466,147,16254,47283,0,0.030808,15966,46444,0.030262,exact
chatafl,5,1465,147,16216,46968,0,0.030613,15939,46166,0.030091,exact
chatafl,6,1470,96,11522,31590,0,0.020682,11287,30945,0.020260,exact
chatafl,7,1465,148,17767,51418,0,0.033516,17464,50541,0.032944,exact
chatafl,8,1462,148,16623,47780,0,0.031161,16373,47061,0.030693,exact
chatafl,9,1465,146,16405,48305,0,0.031444,16125,47481,0.030907,exact
chatafl,10,1463,147,16510,49714,0,0.032305,16250,48932,0.031797,exact
chatafl_opt,1,1476,183,151243,37663,0,0.045284,147554,36744,0.044180,exact
chatafl_opt,2,1476,174,138548,32112,0,0.040049,135169,31329,0.039073,exact
chatafl_opt,3,1467,180,153378,31744,0,0.042053,150555,31160,0.041279,exact
chatafl_opt,4,1468,135,118167,23104,0,0.031587,115913,22663,0.030985,exact
chatafl_opt,5,1467,99,80024,17311,0,0.022390,78551,16992,0.021978,exact
chatafl_opt,6,1468,116,84853,23816,0,0.027018,83235,23362,0.026502,exact
chatafl_opt,7,1468,172,137005,32136,0,0.039832,134392,31523,0.039073,exact
chatafl_opt,8,1477,157,110103,34040,0,0.036939,107345,33187,0.036014,exact
chatafl_opt,9,1477,164,123069,30401,0,0.036701,119986,29639,0.035782,exact
chatafl_opt,10,1477,164,117542,29341,0,0.035236,114597,28606,0.034353,exact
