subject,fuzzer,data_type,time,data
lighttpd1,aflnet,nodes,0,0.0
lighttpd1,aflnet,nodes,1,4.2
lighttpd1,aflnet,nodes,61,6.7
lighttpd1,aflnet,nodes,121,6.9
lighttpd1,aflnet,nodes,181,7.0
lighttpd1,aflnet,nodes,241,7.0
lighttpd1,aflnet,nodes,301,7.0
lighttpd1,aflnet,nodes,361,7.0
lighttpd1,aflnet,nodes,421,7.0
lighttpd1,aflnet,nodes,481,7.0
lighttpd1,aflnet,nodes,541,7.0
lighttpd1,aflnet,nodes,601,7.0
lighttpd1,aflnet,nodes,661,7.0
lighttpd1,aflnet,nodes,721,7.0
lighttpd1,aflnet,nodes,781,7.0
lighttpd1,aflnet,nodes,841,7.0
lighttpd1,aflnet,nodes,901,7.0
lighttpd1,aflnet,nodes,961,7.0
lighttpd1,aflnet,nodes,1021,7.0
lighttpd1,aflnet,nodes,1081,7.0
lighttpd1,aflnet,nodes,1141,7.0
lighttpd1,aflnet,nodes,1201,7.0
lighttpd1,aflnet,nodes,1261,7.0
lighttpd1,aflnet,nodes,1321,7.1
lighttpd1,aflnet,nodes,1381,7.1
lighttpd1,aflnet,edges,0,0.0
lighttpd1,aflnet,edges,1,3.2
lighttpd1,aflnet,edges,61,7.3
lighttpd1,aflnet,edges,121,8.1
lighttpd1,aflnet,edges,181,8.9
lighttpd1,aflnet,edges,241,9.1
lighttpd1,aflnet,edges,301,9.9
lighttpd1,aflnet,edges,361,10.7
lighttpd1,aflnet,edges,421,10.7
lighttpd1,aflnet,edges,481,11.2
lighttpd1,aflnet,edges,541,12.2
lighttpd1,aflnet,edges,601,12.6
lighttpd1,aflnet,edges,661,12.7
lighttpd1,aflnet,edges,721,13.2
lighttpd1,aflnet,edges,781,13.3
lighttpd1,aflnet,edges,841,13.7
lighttpd1,aflnet,edges,901,14.2
lighttpd1,aflnet,edges,961,14.2
lighttpd1,aflnet,edges,1021,14.5
lighttpd1,aflnet,edges,1081,14.5
lighttpd1,aflnet,edges,1141,14.7
lighttpd1,aflnet,edges,1201,14.7
lighttpd1,aflnet,edges,1261,14.7
lighttpd1,aflnet,edges,1321,14.9
lighttpd1,aflnet,edges,1381,14.9
lighttpd1,chatafl,nodes,0,0.0
lighttpd1,chatafl,nodes,1,4.8
lighttpd1,chatafl,nodes,61,7.7
lighttpd1,chatafl,nodes,121,8.1
lighttpd1,chatafl,nodes,181,8.1
lighttpd1,chatafl,nodes,241,8.1
lighttpd1,chatafl,nodes,301,8.2
lighttpd1,chatafl,nodes,361,8.3
lighttpd1,chatafl,nodes,421,8.3
lighttpd1,chatafl,nodes,481,8.4
lighttpd1,chatafl,nodes,541,8.4
lighttpd1,chatafl,nodes,601,8.5
lighttpd1,chatafl,nodes,661,8.5
lighttpd1,chatafl,nodes,721,8.5
lighttpd1,chatafl,nodes,781,8.5
lighttpd1,chatafl,nodes,841,8.5
lighttpd1,chatafl,nodes,901,8.5
lighttpd1,chatafl,nodes,961,8.5
lighttpd1,chatafl,nodes,1021,8.5
lighttpd1,chatafl,nodes,1081,8.6
lighttpd1,chatafl,nodes,1141,8.6
lighttpd1,chatafl,nodes,1201,8.6
lighttpd1,chatafl,nodes,1261,8.6
lighttpd1,chatafl,nodes,1321,8.6
lighttpd1,chatafl,nodes,1381,8.6
lighttpd1,chatafl,edges,0,0.0
lighttpd1,chatafl,edges,1,4.2
lighttpd1,chatafl,edges,61,10.7
lighttpd1,chatafl,edges,121,13.2
lighttpd1,chatafl,edges,181,14.5
lighttpd1,chatafl,edges,241,15.4
lighttpd1,chatafl,edges,301,15.8
lighttpd1,chatafl,edges,361,16.7
lighttpd1,chatafl,edges,421,17.3
lighttpd1,chatafl,edges,481,17.9
lighttpd1,chatafl,edges,541,18.2
lighttpd1,chatafl,edges,601,18.8
lighttpd1,chatafl,edges,661,19.1
lighttpd1,chatafl,edges,721,19.3
lighttpd1,chatafl,edges,781,19.5
lighttpd1,chatafl,edges,841,19.5
lighttpd1,chatafl,edges,901,19.5
lighttpd1,chatafl,edges,961,19.8
lighttpd1,chatafl,edges,1021,19.8
lighttpd1,chatafl,edges,1081,19.9
lighttpd1,chatafl,edges,1141,20.0
lighttpd1,chatafl,edges,1201,20.0
lighttpd1,chatafl,edges,1261,20.0
lighttpd1,chatafl,edges,1321,20.3
lighttpd1,chatafl,edges,1381,20.5
lighttpd1,chatafl_opt,nodes,0,0.0
lighttpd1,chatafl_opt,nodes,1,5.4
lighttpd1,chatafl_opt,nodes,61,7.5
lighttpd1,chatafl_opt,nodes,121,7.8
lighttpd1,chatafl_opt,nodes,181,8.1
lighttpd1,chatafl_opt,nodes,241,8.2
lighttpd1,chatafl_opt,nodes,301,8.3
lighttpd1,chatafl_opt,nodes,361,8.4
lighttpd1,chatafl_opt,nodes,421,8.5
lighttpd1,chatafl_opt,nodes,481,8.5
lighttpd1,chatafl_opt,nodes,541,8.6
lighttpd1,chatafl_opt,nodes,601,8.6
lighttpd1,chatafl_opt,nodes,661,8.6
lighttpd1,chatafl_opt,nodes,721,8.6
lighttpd1,chatafl_opt,nodes,781,8.6
lighttpd1,chatafl_opt,nodes,841,8.6
lighttpd1,chatafl_opt,nodes,901,8.6
lighttpd1,chatafl_opt,nodes,961,8.6
lighttpd1,chatafl_opt,nodes,1021,8.6
lighttpd1,chatafl_opt,nodes,1081,8.6
lighttpd1,chatafl_opt,nodes,1141,8.7
lighttpd1,chatafl_opt,nodes,1201,8.7
lighttpd1,chatafl_opt,nodes,1261,8.7
lighttpd1,chatafl_opt,nodes,1321,8.7
lighttpd1,chatafl_opt,nodes,1381,8.7
lighttpd1,chatafl_opt,edges,0,0.0
lighttpd1,chatafl_opt,edges,1,8.1
lighttpd1,chatafl_opt,edges,61,16.4
lighttpd1,chatafl_opt,edges,121,19.0
lighttpd1,chatafl_opt,edges,181,19.8
lighttpd1,chatafl_opt,edges,241,20.7
lighttpd1,chatafl_opt,edges,301,21.6
lighttpd1,chatafl_opt,edges,361,22.4
lighttpd1,chatafl_opt,edges,421,22.7
lighttpd1,chatafl_opt,edges,481,23.0
lighttpd1,chatafl_opt,edges,541,23.3
lighttpd1,chatafl_opt,edges,601,23.4
lighttpd1,chatafl_opt,edges,661,23.5
lighttpd1,chatafl_opt,edges,721,23.9
lighttpd1,chatafl_opt,edges,781,24.1
lighttpd1,chatafl_opt,edges,841,24.2
lighttpd1,chatafl_opt,edges,901,24.3
lighttpd1,chatafl_opt,edges,961,24.6
lighttpd1,chatafl_opt,edges,1021,24.6
lighttpd1,chatafl_opt,edges,1081,24.6
lighttpd1,chatafl_opt,edges,1141,24.7
lighttpd1,chatafl_opt,edges,1201,24.7
lighttpd1,chatafl_opt,edges,1261,24.7
lighttpd1,chatafl_opt,edges,1321,24.7
lighttpd1,chatafl_opt,edges,1381,24.7
