subject,fuzzer,run,source,runtime_min,elapsed_min,l_abs,b_abs,nodes,edges,start_time,last_update
lighttpd1,aflnet,1,out-lighttpd1-aflnet_1.tar.gz,1479,1479,3969,1959,8,19,1773673828,1773762623
lighttpd1,aflnet,2,out-lighttpd1-aflnet_2.tar.gz,1479,1479,3871,1914,7,14,1773673829,1773762624
lighttpd1,aflnet,3,out-lighttpd1-aflnet_3.tar.gz,1479,1479,3930,1945,7,10,1773673829,1773762624
lighttpd1,aflnet,4,out-lighttpd1-aflnet_4.tar.gz,1479,1479,3945,1942,7,10,1773754468,1773843263
lighttpd1,aflnet,5,out-lighttpd1-aflnet_5.tar.gz,1479,1479,3910,1923,7,18,1774174200,1774262997
lighttpd1,aflnet,6,out-lighttpd1-aflnet_6.tar.gz,1479,1479,3927,1940,7,17,1774174201,1774262998
lighttpd1,aflnet,7,out-lighttpd1-aflnet_7.tar.gz,1479,1479,3910,1931,7,19,1774174202,1774262999
lighttpd1,aflnet,8,out-lighttpd1-aflnet_8.tar.gz,1479,1479,3865,1891,7,14,1774174202,1774262999
lighttpd1,aflnet,9,out-lighttpd1-aflnet_9.tar.gz,1479,1479,3895,1931,7,10,1774174203,1774263000
lighttpd1,aflnet,10,out-lighttpd1-aflnet_10.tar.gz,1479,1479,3893,1928,7,18,1774174204,1774263001
lighttpd1,chatafl,1,out-lighttpd1-chatafl_1.tar.gz,1461,1461,3917,1933,10,24,1773674925,1773762628
lighttpd1,chatafl,2,out-lighttpd1-chatafl_2.tar.gz,1464,1464,3961,1964,8,19,1773674733,1773762628
lighttpd1,chatafl,3,out-lighttpd1-chatafl_3.tar.gz,1462,1462,3954,1958,7,18,1773674876,1773762629
lighttpd1,chatafl,4,out-lighttpd1-chatafl_4.tar.gz,1466,1466,3922,1945,10,28,1774410943,1774498903
lighttpd1,chatafl,5,out-lighttpd1-chatafl_5.tar.gz,1465,1465,3866,1878,7,18,1774410947,1774498903
lighttpd1,chatafl,6,out-lighttpd1-chatafl_6.tar.gz,1470,1470,3952,1940,9,20,1774410687,1774498905
lighttpd1,chatafl,7,out-lighttpd1-chatafl_7.tar.gz,1465,1465,3897,1905,9,20,1774410981,1774498907
lighttpd1,chatafl,8,out-lighttpd1-chatafl_8.tar.gz,1462,1462,3933,1926,9,22,1774411184,1774498907
lighttpd1,chatafl,9,out-lighttpd1-chatafl_9.tar.gz,1465,1465,3897,1916,8,20,1774410985,1774498911
lighttpd1,chatafl,10,out-lighttpd1-chatafl_10.tar.gz,1463,1463,3869,1886,9,19,1774411120,1774498912
lighttpd1,chatafl_opt,1,out-lighttpd1-chatafl_opt_1.tar.gz,1476,1476,4031,2050,9,30,1773674047,1773762629
lighttpd1,chatafl_opt,2,out-lighttpd1-chatafl_opt_2.tar.gz,1476,1476,4021,2043,10,31,1773674046,1773762629
lighttpd1,chatafl_opt,3,out-lighttpd1-chatafl_opt_3.tar.gz,1467,1467,4026,2041,8,25,1774015700,1774103759
lighttpd1,chatafl_opt,4,out-lighttpd1-chatafl_opt_4.tar.gz,1468,1468,4006,2011,8,19,1773726525,1773814656
lighttpd1,chatafl_opt,5,out-lighttpd1-chatafl_opt_5.tar.gz,1467,1467,4018,2023,8,26,1773726599,1773814658
lighttpd1,chatafl_opt,6,out-lighttpd1-chatafl_opt_6.tar.gz,1468,1468,4015,2030,8,17,1773726526,1773814659
lighttpd1,chatafl_opt,7,out-lighttpd1-chatafl_opt_7.tar.gz,1468,1468,4021,2031,10,28,1774017326,1774105408
lighttpd1,chatafl_opt,8,out-lighttpd1-chatafl_opt_8.tar.gz,1477,1477,4030,2037,8,22,1774274985,1774363617
lighttpd1,chatafl_opt,9,out-lighttpd1-chatafl_opt_9.tar.gz,1477,1477,4003,2002,8,20,1774274950,1774363618
lighttpd1,chatafl_opt,10,out-lighttpd1-chatafl_opt_10.tar.gz,1477,1477,3991,1996,10,29,1774274960,1774363618
