time,subject,fuzzer,run,cov_type,cov
1772025730,live555,chatafl,1,l_per,7.6
1772025730,live555,chatafl,1,l_abs,1806
1772025730,live555,chatafl,1,b_per,4.6
1772025730,live555,chatafl,1,b_abs,843
1772025734,live555,chatafl,1,l_per,7.6
1772025734,live555,chatafl,1,l_abs,1806
1772025734,live555,chatafl,1,b_per,4.6
1772025734,live555,chatafl,1,b_abs,843
1772025737,live555,chatafl,1,l_per,7.6
1772025737,live555,chatafl,1,l_abs,1806
1772025737,live555,chatafl,1,b_per,4.6
1772025737,live555,chatafl,1,b_abs,843
1772025741,live555,chatafl,1,l_per,7.6
1772025741,live555,chatafl,1,l_abs,1806
1772025741,live555,chatafl,1,b_per,4.6
1772025741,live555,chatafl,1,b_abs,843
1772025746,live555,chatafl,1,l_per,7.6
1772025746,live555,chatafl,1,l_abs,1806
1772025746,live555,chatafl,1,b_per,4.6
1772025746,live555,chatafl,1,b_abs,843
1772025750,live555,chatafl,1,l_per,14.2
1772025750,live555,chatafl,1,l_abs,3374
1772025750,live555,chatafl,1,b_per,8.7
1772025750,live555,chatafl,1,b_abs,1620
1772025751,live555,chatafl,1,l_per,16.2
1772025751,live555,chatafl,1,l_abs,3840
1772025751,live555,chatafl,1,b_per,10.0
1772025751,live555,chatafl,1,b_abs,1858
1772025751,live555,chatafl,1,l_per,16.7
1772025751,live555,chatafl,1,l_abs,3971
1772025751,live555,chatafl,1,b_per,10.3
1772025751,live555,chatafl,1,b_abs,1911
1772025755,live555,chatafl,1,l_per,17.2
1772025755,live555,chatafl,1,l_abs,4086
1772025755,live555,chatafl,1,b_per,10.5
1772025755,live555,chatafl,1,b_abs,1946
1772025756,live555,chatafl,1,l_per,18.1
1772025756,live555,chatafl,1,l_abs,4317
1772025756,live555,chatafl,1,b_per,11.1
1772025756,live555,chatafl,1,b_abs,2051
1772025756,live555,chatafl,1,l_per,20.3
1772025756,live555,chatafl,1,l_abs,4840
1772025756,live555,chatafl,1,b_per,12.3
1772025756,live555,chatafl,1,b_abs,2273
1772025757,live555,chatafl,1,l_per,22.0
1772025757,live555,chatafl,1,l_abs,5252
1772025757,live555,chatafl,1,b_per,13.1
1772025757,live555,chatafl,1,b_abs,2425
1772025758,live555,chatafl,1,l_per,22.0
1772025758,live555,chatafl,1,l_abs,5252
1772025758,live555,chatafl,1,b_per,13.1
1772025758,live555,chatafl,1,b_abs,2425
1772025759,live555,chatafl,1,l_per,22.0
1772025759,live555,chatafl,1,l_abs,5252
1772025759,live555,chatafl,1,b_per,13.1
1772025759,live555,chatafl,1,b_abs,2425
1772025760,live555,chatafl,1,l_per,22.0
1772025760,live555,chatafl,1,l_abs,5255
1772025760,live555,chatafl,1,b_per,13.1
1772025760,live555,chatafl,1,b_abs,2430
1772025761,live555,chatafl,1,l_per,22.0
1772025761,live555,chatafl,1,l_abs,5255
1772025761,live555,chatafl,1,b_per,13.1
1772025761,live555,chatafl,1,b_abs,2431
1772025765,live555,chatafl,1,l_per,22.1
1772025765,live555,chatafl,1,l_abs,5273
1772025765,live555,chatafl,1,b_per,13.2
1772025765,live555,chatafl,1,b_abs,2437
1772025766,live555,chatafl,1,l_per,22.1
1772025766,live555,chatafl,1,l_abs,5273
1772025766,live555,chatafl,1,b_per,13.2
1772025766,live555,chatafl,1,b_abs,2437
1772025771,live555,chatafl,1,l_per,22.1
1772025771,live555,chatafl,1,l_abs,5273
1772025771,live555,chatafl,1,b_per,13.2
1772025771,live555,chatafl,1,b_abs,2439
1772025771,live555,chatafl,1,l_per,22.1
1772025771,live555,chatafl,1,l_abs,5273
1772025771,live555,chatafl,1,b_per,13.2
1772025771,live555,chatafl,1,b_abs,2439
1772025777,live555,chatafl,1,l_per,22.1
1772025777,live555,chatafl,1,l_abs,5273
1772025777,live555,chatafl,1,b_per,13.2
1772025777,live555,chatafl,1,b_abs,2439
1772025777,live555,chatafl,1,l_per,22.1
1772025777,live555,chatafl,1,l_abs,5273
1772025777,live555,chatafl,1,b_per,13.2
1772025777,live555,chatafl,1,b_abs,2439
1772025778,live555,chatafl,1,l_per,22.1
1772025778,live555,chatafl,1,l_abs,5273
1772025778,live555,chatafl,1,b_per,13.2
1772025778,live555,chatafl,1,b_abs,2441
1772025779,live555,chatafl,1,l_per,22.8
1772025779,live555,chatafl,1,l_abs,5435
1772025779,live555,chatafl,1,b_per,13.6
1772025779,live555,chatafl,1,b_abs,2519
1772025780,live555,chatafl,1,l_per,22.8
1772025780,live555,chatafl,1,l_abs,5440
1772025780,live555,chatafl,1,b_per,13.6
1772025780,live555,chatafl,1,b_abs,2521
1772025780,live555,chatafl,1,l_per,22.8
1772025780,live555,chatafl,1,l_abs,5446
1772025780,live555,chatafl,1,b_per,13.6
1772025780,live555,chatafl,1,b_abs,2523
1772025781,live555,chatafl,1,l_per,22.8
1772025781,live555,chatafl,1,l_abs,5446
1772025781,live555,chatafl,1,b_per,13.6
1772025781,live555,chatafl,1,b_abs,2523
1772025785,live555,chatafl,1,l_per,22.8
1772025785,live555,chatafl,1,l_abs,5450
1772025785,live555,chatafl,1,b_per,13.6
1772025785,live555,chatafl,1,b_abs,2525
1772025785,live555,chatafl,1,l_per,22.8
1772025785,live555,chatafl,1,l_abs,5450
1772025785,live555,chatafl,1,b_per,13.6
1772025785,live555,chatafl,1,b_abs,2525
1772025786,live555,chatafl,1,l_per,22.8
1772025786,live555,chatafl,1,l_abs,5450
1772025786,live555,chatafl,1,b_per,13.6
1772025786,live555,chatafl,1,b_abs,2525
1772025787,live555,chatafl,1,l_per,22.8
1772025787,live555,chatafl,1,l_abs,5450
1772025787,live555,chatafl,1,b_per,13.6
1772025787,live555,chatafl,1,b_abs,2525
1772025788,live555,chatafl,1,l_per,22.8
1772025788,live555,chatafl,1,l_abs,5450
1772025788,live555,chatafl,1,b_per,13.6
1772025788,live555,chatafl,1,b_abs,2525
1772025788,live555,chatafl,1,l_per,22.8
1772025788,live555,chatafl,1,l_abs,5450
1772025788,live555,chatafl,1,b_per,13.6
1772025788,live555,chatafl,1,b_abs,2525
1772025789,live555,chatafl,1,l_per,22.8
1772025789,live555,chatafl,1,l_abs,5450
1772025789,live555,chatafl,1,b_per,13.6
1772025789,live555,chatafl,1,b_abs,2525
