time,subject,fuzzer,run,state_type,state
1772025975,live555,chatafl,1,nodes,13
1772025975,live555,chatafl,1,edges,68
1772025980,live555,chatafl,1,nodes,13
1772025980,live555,chatafl,1,edges,72
1772025985,live555,chatafl,1,nodes,13
1772025985,live555,chatafl,1,edges,74
1772025990,live555,chatafl,1,nodes,13
1772025990,live555,chatafl,1,edges,75
1772025995,live555,chatafl,1,nodes,13
1772025995,live555,chatafl,1,edges,76
1772026000,live555,chatafl,1,nodes,13
1772026000,live555,chatafl,1,edges,78
1772026006,live555,chatafl,1,nodes,13
1772026006,live555,chatafl,1,edges,79
1772026011,live555,chatafl,1,nodes,13
1772026011,live555,chatafl,1,edges,79
1772026016,live555,chatafl,1,nodes,13
1772026016,live555,chatafl,1,edges,79
1772026021,live555,chatafl,1,nodes,13
1772026021,live555,chatafl,1,edges,79
1772026026,live555,chatafl,1,nodes,13
1772026026,live555,chatafl,1,edges,79
1772026031,live555,chatafl,1,nodes,13
1772026031,live555,chatafl,1,edges,79
1772026036,live555,chatafl,1,nodes,13
1772026036,live555,chatafl,1,edges,79
1772026041,live555,chatafl,1,nodes,13
1772026041,live555,chatafl,1,edges,81
1772026047,live555,chatafl,1,nodes,13
1772026047,live555,chatafl,1,edges,81
1772026052,live555,chatafl,1,nodes,13
1772026052,live555,chatafl,1,edges,82
1772026057,live555,chatafl,1,nodes,13
1772026057,live555,chatafl,1,edges,82
1772026062,live555,chatafl,1,nodes,13
1772026062,live555,chatafl,1,edges,84
1772026067,live555,chatafl,1,nodes,13
1772026067,live555,chatafl,1,edges,84
1772026072,live555,chatafl,1,nodes,13
1772026072,live555,chatafl,1,edges,84
1772026078,live555,chatafl,1,nodes,13
1772026078,live555,chatafl,1,edges,84
1772026083,live555,chatafl,1,nodes,13
1772026083,live555,chatafl,1,edges,84
1772026088,live555,chatafl,1,nodes,13
1772026088,live555,chatafl,1,edges,84
1772026093,live555,chatafl,1,nodes,13
1772026093,live555,chatafl,1,edges,84
1772026098,live555,chatafl,1,nodes,13
1772026098,live555,chatafl,1,edges,84
1772026103,live555,chatafl,1,nodes,13
1772026103,live555,chatafl,1,edges,84
1772026108,live555,chatafl,1,nodes,13
1772026108,live555,chatafl,1,edges,84
1772026135,live555,chatafl,1,nodes,13
1772026135,live555,chatafl,1,edges,84
1772026141,live555,chatafl,1,nodes,13
1772026141,live555,chatafl,1,edges,84
1772026146,live555,chatafl,1,nodes,13
