time,subject,fuzzer,run,cov_type,cov
1772548179,live555,aflnet,1,l_per,7.6
1772548179,live555,aflnet,1,l_abs,1806
1772548179,live555,aflnet,1,b_per,4.6
1772548179,live555,aflnet,1,b_abs,843
1772548181,live555,aflnet,1,l_per,13.8
1772548181,live555,aflnet,1,l_abs,3276
1772548181,live555,aflnet,1,b_per,8.1
1772548181,live555,aflnet,1,b_abs,1500
1772548183,live555,aflnet,1,l_per,16.9
1772548183,live555,aflnet,1,l_abs,4014
1772548183,live555,aflnet,1,b_per,10.0
1772548183,live555,aflnet,1,b_abs,1845
1772548185,live555,aflnet,1,l_per,19.1
1772548185,live555,aflnet,1,l_abs,4538
1772548185,live555,aflnet,1,b_per,11.2
1772548185,live555,aflnet,1,b_abs,2067
1772548187,live555,aflnet,1,l_per,20.8
1772548187,live555,aflnet,1,l_abs,4955
1772548187,live555,aflnet,1,b_per,12.0
1772548187,live555,aflnet,1,b_abs,2226
1772548189,live555,aflnet,1,l_per,21.6
1772548189,live555,aflnet,1,l_abs,5160
1772548189,live555,aflnet,1,b_per,12.7
1772548189,live555,aflnet,1,b_abs,2348
1772548192,live555,aflnet,1,l_per,22.3
1772548192,live555,aflnet,1,l_abs,5310
1772548192,live555,aflnet,1,b_per,13.1
1772548192,live555,aflnet,1,b_abs,2426
1772548215,live555,aflnet,1,l_per,22.8
1772548215,live555,aflnet,1,l_abs,5445
1772548215,live555,aflnet,1,b_per,13.8
1772548215,live555,aflnet,1,b_abs,2547
1772548241,live555,aflnet,1,l_per,22.9
1772548241,live555,aflnet,1,l_abs,5455
1772548241,live555,aflnet,1,b_per,13.8
1772548241,live555,aflnet,1,b_abs,2561
1772548270,live555,aflnet,1,l_per,23.0
1772548270,live555,aflnet,1,l_abs,5491
1772548270,live555,aflnet,1,b_per,14.0
1772548270,live555,aflnet,1,b_abs,2602
1772548315,live555,aflnet,1,l_per,23.1
1772548315,live555,aflnet,1,l_abs,5503
1772548315,live555,aflnet,1,b_per,14.1
1772548315,live555,aflnet,1,b_abs,2616
1772548361,live555,aflnet,1,l_per,23.1
1772548361,live555,aflnet,1,l_abs,5520
1772548361,live555,aflnet,1,b_per,14.2
1772548361,live555,aflnet,1,b_abs,2637
1772548418,live555,aflnet,1,l_per,23.1
1772548418,live555,aflnet,1,l_abs,5522
1772548418,live555,aflnet,1,b_per,14.3
