time,subject,fuzzer,run,state_type,state
1772606084,live555,aflnet,1,nodes,7
1772606084,live555,aflnet,1,edges,9
1772606090,live555,aflnet,1,nodes,8
1772606090,live555,aflnet,1,edges,13
1772606095,live555,aflnet,1,nodes,9
1772606095,live555,aflnet,1,edges,26
1772606100,live555,aflnet,1,nodes,9
1772606100,live555,aflnet,1,edges,30
1772606105,live555,aflnet,1,nodes,9
1772606105,live555,aflnet,1,edges,34
1772606110,live555,aflnet,1,nodes,9
1772606110,live555,aflnet,1,edges,35
1772606115,live555,aflnet,1,nodes,9
1772606115,live555,aflnet,1,edges,38
1772606120,live555,aflnet,1,nodes,9
1772606120,live555,aflnet,1,edges,39
1772606125,live555,aflnet,1,nodes,9
1772606125,live555,aflnet,1,edges,39
1772606131,live555,aflnet,1,nodes,9
1772606131,live555,aflnet,1,edges,39
1772606136,live555,aflnet,1,nodes,10
1772606136,live555,aflnet,1,edges,42
1772606141,live555,aflnet,1,nodes,10
1772606141,live555,aflnet,1,edges,45
1772606146,live555,aflnet,1,nodes,10
1772606146,live555,aflnet,1,edges,46
1772606151,live555,aflnet,1,nodes,10
1772606151,live555,aflnet,1,edges,48
1772606156,live555,aflnet,1,nodes,10
1772606156,live555,aflnet,1,edges,50
1772606161,live555,aflnet,1,nodes,10
1772606161,live555,aflnet,1,edges,50
1772606166,live555,aflnet,1,nodes,10
1772606166,live555,aflnet,1,edges,51
1772606171,live555,aflnet,1,nodes,10
1772606171,live555,aflnet,1,edges,55
1772606176,live555,aflnet,1,nodes,10
1772606176,live555,aflnet,1,edges,56
1772606181,live555,aflnet,1,nodes,10
1772606181,live555,aflnet,1,edges,57
1772606187,live555,aflnet,1,nodes,10
1772606187,live555,aflnet,1,edges,57
1772606192,live555,aflnet,1,nodes,10
1772606192,live555,aflnet,1,edges,57
1772606197,live555,aflnet,1,nodes,10
1772606197,live555,aflnet,1,edges,59
1772606202,live555,aflnet,1,nodes,10
1772606202,live555,aflnet,1,edges,60
1772606207,live555,aflnet,1,nodes,10
1772606207,live555,aflnet,1,edges,60
1772606212,live555,aflnet,1,nodes,10
1772606212,live555,aflnet,1,edges,60
1772606217,live555,aflnet,1,nodes,10
1772606217,live555,aflnet,1,edges,60
1772606222,live555,aflnet,1,nodes,10
1772606222,live555,aflnet,1,edges,60
1772606227,live555,aflnet,1,nodes,10
1772606227,live555,aflnet,1,edges,61
1772606232,live555,aflnet,1,nodes,10
1772606232,live555,aflnet,1,edges,62
1772606238,live555,aflnet,1,nodes,10
1772606238,live555,aflnet,1,edges,62
1772606243,live555,aflnet,1,nodes,10
1772606243,live555,aflnet,1,edges,62
1772606248,live555,aflnet,1,nodes,10
1772606248,live555,aflnet,1,edges,62
1772606253,live555,aflnet,1,nodes,10
1772606253,live555,aflnet,1,edges,62
