subject,fuzzer,data_type,time,data
live555,chatafl,nodes,0,0.0
live555,chatafl,nodes,1,13.0
live555,chatafl,nodes,61,14.0
live555,chatafl,nodes,121,14.0
live555,chatafl,nodes,181,14.0
live555,chatafl,nodes,241,14.0
live555,chatafl,nodes,301,14.0
live555,chatafl,nodes,361,14.0
live555,chatafl,nodes,421,14.0
live555,chatafl,nodes,481,14.0
live555,chatafl,nodes,541,14.0
live555,chatafl,nodes,601,14.0
live555,chatafl,nodes,661,14.0
live555,chatafl,nodes,721,14.0
live555,chatafl,nodes,781,14.0
live555,chatafl,nodes,841,14.0
live555,chatafl,nodes,901,14.0
live555,chatafl,nodes,961,14.0
live555,chatafl,nodes,1021,14.0
live555,chatafl,nodes,1081,14.0
live555,chatafl,nodes,1141,14.0
live555,chatafl,nodes,1201,14.0
live555,chatafl,nodes,1261,14.0
live555,chatafl,nodes,1321,14.0
live555,chatafl,nodes,1381,14.0
live555,chatafl,nodes,1441,14.0
live555,chatafl,edges,0,0.0
live555,chatafl,edges,1,79.0
live555,chatafl,edges,61,129.0
live555,chatafl,edges,121,135.0
live555,chatafl,edges,181,139.0
live555,chatafl,edges,241,140.0
live555,chatafl,edges,301,140.0
live555,chatafl,edges,361,141.0
live555,chatafl,edges,421,142.0
live555,chatafl,edges,481,142.0
live555,chatafl,edges,541,143.0
live555,chatafl,edges,601,143.0
live555,chatafl,edges,661,143.0
live555,chatafl,edges,721,143.0
live555,chatafl,edges,781,144.0
live555,chatafl,edges,841,145.0
live555,chatafl,edges,901,145.0
live555,chatafl,edges,961,145.0
live555,chatafl,edges,1021,145.0
live555,chatafl,edges,1081,146.0
live555,chatafl,edges,1141,146.0
live555,chatafl,edges,1201,146.0
live555,chatafl,edges,1261,146.0
live555,chatafl,edges,1321,146.0
live555,chatafl,edges,1381,147.0
live555,chatafl,edges,1441,147.0
