fuzzer,run,runtime_min,llm_calls,prompt_tokens,completion_tokens,dedup_hits,cost_usd,prompt_per_24h,compl_per_24h,cost_per_24h,token_source
chatafl,1,1454,223,86277,193575,0,0.129087,85446,191711,0.127844,exact
chatafl,2,1453,232,90533,206202,0,0.137301,89723,204357,0.136073,exact
chatafl,3,1451,222,82521,189534,0,0.126099,81895,188097,0.125143,exact
chatafl,4,1448,229,90585,199759,0,0.133443,90085,198655,0.132706,exact
chatafl,5,1441,284,111296,241492,0,0.161590,111219,241324,0.161477,exact
chatafl,6,1453,227,89804,200533,0,0.133790,89001,198739,0.132593,exact
chatafl,7,1448,231,89251,209117,0,0.138858,88758,207962,0.138091,exact
chatafl,8,1450,224,87834,196595,0,0.131132,87228,195239,0.130228,exact
chatafl,9,1441,281,107276,224904,0,0.151034,107202,224748,0.150929,exact
chatafl,10,1096,234,89633,201106,0,0.134109,117766,264227,0.176201,exact
chatafl_opt,1,1476,383,269470,293737,0,0.216663,262898,286573,0.211378,exact
chatafl_opt,2,1476,280,216868,197262,0,0.150887,211579,192451,0.147207,exact
chatafl_opt,3,1475,320,208130,247399,0,0.179659,203191,241529,0.175396,exact
chatafl_opt,4,1475,320,208130,247399,0,0.179659,203191,241529,0.175396,exact
chatafl_opt,5,1475,382,259637,299305,0,0.218529,253476,292203,0.213343,exact
chatafl_opt,6,1477,233,201166,151068,0,0.120816,196127,147284,0.117789,exact
chatafl_opt,7,1475,380,260922,285412,0,0.210385,254731,278640,0.205393,exact
chatafl_opt,8,1476,341,247751,252271,0,0.188525,241708,246118,0.183927,exact
chatafl_opt,9,1476,227,190500,151329,0,0.119372,185854,147638,0.116461,exact
chatafl_opt,10,1475,384,270303,300676,0,0.220951,263889,293541,0.215708,exact
