time,subject,fuzzer,run,state_type,state
1773673829,live555,aflnet,1,nodes,5
1773673829,live555,aflnet,1,edges,5
1773673834,live555,aflnet,1,nodes,8
1773673834,live555,aflnet,1,edges,15
1773673840,live555,aflnet,1,nodes,9
1773673840,live555,aflnet,1,edges,26
1773673845,live555,aflnet,1,nodes,9
1773673845,live555,aflnet,1,edges,27
1773673850,live555,aflnet,1,nodes,9
1773673850,live555,aflnet,1,edges,27
1773673855,live555,aflnet,1,nodes,9
1773673855,live555,aflnet,1,edges,32
1773673860,live555,aflnet,1,nodes,9
1773673860,live555,aflnet,1,edges,33
1773673865,live555,aflnet,1,nodes,9
1773673865,live555,aflnet,1,edges,33
1773673870,live555,aflnet,1,nodes,9
1773673870,live555,aflnet,1,edges,33
1773673875,live555,aflnet,1,nodes,9
1773673875,live555,aflnet,1,edges,36
1773673880,live555,aflnet,1,nodes,9
1773673880,live555,aflnet,1,edges,37
1773673885,live555,aflnet,1,nodes,9
1773673885,live555,aflnet,1,edges,38
1773673891,live555,aflnet,1,nodes,9
1773673891,live555,aflnet,1,edges,40
1773673896,live555,aflnet,1,nodes,9
1773673896,live555,aflnet,1,edges,43
1773673901,live555,aflnet,1,nodes,9
1773673901,live555,aflnet,1,edges,43
1773673906,live555,aflnet,1,nodes,10
1773673906,live555,aflnet,1,edges,46
1773673911,live555,aflnet,1,nodes,10
1773673911,live555,aflnet,1,edges,46
1773673916,live555,aflnet,1,nodes,10
1773673916,live555,aflnet,1,edges,47
1773673921,live555,aflnet,1,nodes,10
1773673921,live555,aflnet,1,edges,48
1773673926,live555,aflnet,1,nodes,10
1773673926,live555,aflnet,1,edges,49
1773673931,live555,aflnet,1,nodes,10
1773673931,live555,aflnet,1,edges,50
1773673937,live555,aflnet,1,nodes,10
1773673937,live555,aflnet,1,edges,50
1773673942,live555,aflnet,1,nodes,10
1773673942,live555,aflnet,1,edges,52
1773673947,live555,aflnet,1,nodes,10
1773673947,live555,aflnet,1,edges,52
1773673952,live555,aflnet,1,nodes,10
1773673952,live555,aflnet,1,edges,52
1773673963,live555,aflnet,1,nodes,10
1773673963,live555,aflnet,1,edges,53
1773673968,live555,aflnet,1,nodes,10
1773673968,live555,aflnet,1,edges,53
1773673973,live555,aflnet,1,nodes,10
1773673973,live555,aflnet,1,edges,53
1773674023,live555,aflnet,1,nodes,10
1773674023,live555,aflnet,1,edges,55
1773674028,live555,aflnet,1,nodes,10
1773674028,live555,aflnet,1,edges,57
1773674033,live555,aflnet,1,nodes,10
1773674033,live555,aflnet,1,edges,61
1773674038,live555,aflnet,1,nodes,10
1773674038,live555,aflnet,1,edges,62
1773674043,live555,aflnet,1,nodes,10
1773674043,live555,aflnet,1,edges,63
1773674049,live555,aflnet,1,nodes,10
1773674049,live555,aflnet,1,edges,63
1773674054,live555,aflnet,1,nodes,10
1773674054,live555,aflnet,1,edges,63
1773674059,live555,aflnet,1,nodes,10
1773674059,live555,aflnet,1,edges,63
1773674064,live555,aflnet,1,nodes,10
1773674064,live555,aflnet,1,edges,64
1773674069,live555,aflnet,1,nodes,10
1773674069,live555,aflnet,1,edges,64
1773674074,live555,aflnet,1,nodes,10
1773674074,live555,aflnet,1,edges,64
1773674079,live555,aflnet,1,nodes,10
1773674079,live555,aflnet,1,edges,66
1773674084,live555,aflnet,1,nodes,10
1773674084,live555,aflnet,1,edges,67
1773674090,live555,aflnet,1,nodes,10
1773674090,live555,aflnet,1,edges,67
1773674095,live555,aflnet,1,nodes,10
1773674095,live555,aflnet,1,edges,67
1773674100,live555,aflnet,1,nodes,10
1773674100,live555,aflnet,1,edges,69
1773674105,live555,aflnet,1,nodes,10
1773674105,live555,aflnet,1,edges,69
1773674110,live555,aflnet,1,nodes,10
1773674110,live555,aflnet,1,edges,69
1773674115,live555,aflnet,1,nodes,10
1773674115,live555,aflnet,1,edges,69
1773674120,live555,aflnet,1,nodes,10
1773674120,live555,aflnet,1,edges,69
1773674125,live555,aflnet,1,nodes,10
1773674125,live555,aflnet,1,edges,70
1773674131,live555,aflnet,1,nodes,10
1773674131,live555,aflnet,1,edges,70
1773674136,live555,aflnet,1,nodes,10
1773674136,live555,aflnet,1,edges,70
1773674141,live555,aflnet,1,nodes,10
1773674141,live555,aflnet,1,edges,70
1773674146,live555,aflnet,1,nodes,10
1773674146,live555,aflnet,1,edges,70
1773674151,live555,aflnet,1,nodes,10
1773674151,live555,aflnet,1,edges,71
1773674156,live555,aflnet,1,nodes,10
1773674156,live555,aflnet,1,edges,71
1773674161,live555,aflnet,1,nodes,10
1773674161,live555,aflnet,1,edges,71
1773674167,live555,aflnet,1,nodes,10
1773674167,live555,aflnet,1,edges,71
1773674172,live555,aflnet,1,nodes,10
1773674172,live555,aflnet,1,edges,71
1773674177,live555,aflnet,1,nodes,10
1773674177,live555,aflnet,1,edges,71
1773674182,live555,aflnet,1,nodes,10
1773674182,live555,aflnet,1,edges,71
1773674187,live555,aflnet,1,nodes,10
1773674187,live555,aflnet,1,edges,71
1773674192,live555,aflnet,1,nodes,10
1773674192,live555,aflnet,1,edges,71
1773674198,live555,aflnet,1,nodes,10
1773674198,live555,aflnet,1,edges,71
1773674203,live555,aflnet,1,nodes,10
1773674203,live555,aflnet,1,edges,71
1773674208,live555,aflnet,1,nodes,10
1773674208,live555,aflnet,1,edges,71
1773674213,live555,aflnet,1,nodes,10
1773674213,live555,aflnet,1,edges,71
1773674218,live555,aflnet,1,nodes,10
1773674218,live555,aflnet,1,edges,71
1773674223,live555,aflnet,1,nodes,10
1773674223,live555,aflnet,1,edges,71
1773674228,live555,aflnet,1,nodes,10
1773674228,live555,aflnet,1,edges,71
1773674233,live555,aflnet,1,nodes,10
1773674233,live555,aflnet,1,edges,71
1773674239,live555,aflnet,1,nodes,10
1773674239,live555,aflnet,1,edges,71
1773674244,live555,aflnet,1,nodes,10
1773674244,live555,aflnet,1,edges,71
1773674249,live555,aflnet,1,nodes,10
1773674249,live555,aflnet,1,edges,71
