time,subject,fuzzer,run,state_type,state
1776240306,mosquitto-v2.0.18,chatafl_opt,1,nodes,14
1776240306,mosquitto-v2.0.18,chatafl_opt,1,edges,53
1776240311,mosquitto-v2.0.18,chatafl_opt,1,nodes,14
1776240311,mosquitto-v2.0.18,chatafl_opt,1,edges,53
1776240316,mosquitto-v2.0.18,chatafl_opt,1,nodes,14
1776240316,mosquitto-v2.0.18,chatafl_opt,1,edges,53
1776240321,mosquitto-v2.0.18,chatafl_opt,1,nodes,14
1776240321,mosquitto-v2.0.18,chatafl_opt,1,edges,53
1776240326,mosquitto-v2.0.18,chatafl_opt,1,nodes,14
1776240326,mosquitto-v2.0.18,chatafl_opt,1,edges,53
1776240331,mosquitto-v2.0.18,chatafl_opt,1,nodes,15
1776240331,mosquitto-v2.0.18,chatafl_opt,1,edges,55
1776240336,mosquitto-v2.0.18,chatafl_opt,1,nodes,15
1776240336,mosquitto-v2.0.18,chatafl_opt,1,edges,55
1776240341,mosquitto-v2.0.18,chatafl_opt,1,nodes,15
1776240341,mosquitto-v2.0.18,chatafl_opt,1,edges,55
1776240347,mosquitto-v2.0.18,chatafl_opt,1,nodes,15
1776240347,mosquitto-v2.0.18,chatafl_opt,1,edges,55
1776240352,mosquitto-v2.0.18,chatafl_opt,1,nodes,15
1776240352,mosquitto-v2.0.18,chatafl_opt,1,edges,55
1776240357,mosquitto-v2.0.18,chatafl_opt,1,nodes,15
1776240357,mosquitto-v2.0.18,chatafl_opt,1,edges,55
1776240362,mosquitto-v2.0.18,chatafl_opt,1,nodes,15
1776240362,mosquitto-v2.0.18,chatafl_opt,1,edges,57
1776240367,mosquitto-v2.0.18,chatafl_opt,1,nodes,15
1776240367,mosquitto-v2.0.18,chatafl_opt,1,edges,57
1776240372,mosquitto-v2.0.18,chatafl_opt,1,nodes,15
1776240372,mosquitto-v2.0.18,chatafl_opt,1,edges,57
1776240377,mosquitto-v2.0.18,chatafl_opt,1,nodes,15
1776240377,mosquitto-v2.0.18,chatafl_opt,1,edges,57
1776240388,mosquitto-v2.0.18,chatafl_opt,1,nodes,15
1776240388,mosquitto-v2.0.18,chatafl_opt,1,edges,57
1776240393,mosquitto-v2.0.18,chatafl_opt,1,nodes,15
1776240393,mosquitto-v2.0.18,chatafl_opt,1,edges,57
1776240398,mosquitto-v2.0.18,chatafl_opt,1,nodes,15
1776240398,mosquitto-v2.0.18,chatafl_opt,1,edges,57
1776240413,mosquitto-v2.0.18,chatafl_opt,1,nodes,15
1776240413,mosquitto-v2.0.18,chatafl_opt,1,edges,57
1776240418,mosquitto-v2.0.18,chatafl_opt,1,nodes,15
1776240418,mosquitto-v2.0.18,chatafl_opt,1,edges,57
1776240423,mosquitto-v2.0.18,chatafl_opt,1,nodes,15
1776240423,mosquitto-v2.0.18,chatafl_opt,1,edges,57
1776240429,mosquitto-v2.0.18,chatafl_opt,1,nodes,15
1776240429,mosquitto-v2.0.18,chatafl_opt,1,edges,57
1776240439,mosquitto-v2.0.18,chatafl_opt,1,nodes,15
1776240439,mosquitto-v2.0.18,chatafl_opt,1,edges,57
1776240444,mosquitto-v2.0.18,chatafl_opt,1,nodes,15
1776240444,mosquitto-v2.0.18,chatafl_opt,1,edges,57
1776240454,mosquitto-v2.0.18,chatafl_opt,1,nodes,16
1776240454,mosquitto-v2.0.18,chatafl_opt,1,edges,58
1776240459,mosquitto-v2.0.18,chatafl_opt,1,nodes,16
1776240459,mosquitto-v2.0.18,chatafl_opt,1,edges,58
1776240479,mosquitto-v2.0.18,chatafl_opt,1,nodes,16
1776240479,mosquitto-v2.0.18,chatafl_opt,1,edges,58
1776240484,mosquitto-v2.0.18,chatafl_opt,1,nodes,16
1776240484,mosquitto-v2.0.18,chatafl_opt,1,edges,58
1776240500,mosquitto-v2.0.18,chatafl_opt,1,nodes,17
1776240500,mosquitto-v2.0.18,chatafl_opt,1,edges,59
1776240520,mosquitto-v2.0.18,chatafl_opt,1,nodes,17
1776240520,mosquitto-v2.0.18,chatafl_opt,1,edges,59
1776240525,mosquitto-v2.0.18,chatafl_opt,1,nodes,17
1776240525,mosquitto-v2.0.18,chatafl_opt,1,edges,59
1776240541,mosquitto-v2.0.18,chatafl_opt,1,nodes,17
1776240541,mosquitto-v2.0.18,chatafl_opt,1,edges,59
1776240546,mosquitto-v2.0.18,chatafl_opt,1,nodes,17
1776240546,mosquitto-v2.0.18,chatafl_opt,1,edges,59
1776240556,mosquitto-v2.0.18,chatafl_opt,1,nodes,17
1776240556,mosquitto-v2.0.18,chatafl_opt,1,edges,59
1776240582,mosquitto-v2.0.18,chatafl_opt,1,nodes,17
1776240582,mosquitto-v2.0.18,chatafl_opt,1,edges,59
1776240603,mosquitto-v2.0.18,chatafl_opt,1,nodes,17
1776240603,mosquitto-v2.0.18,chatafl_opt,1,edges,59
1776240613,mosquitto-v2.0.18,chatafl_opt,1,nodes,17
1776240613,mosquitto-v2.0.18,chatafl_opt,1,edges,59
1776240623,mosquitto-v2.0.18,chatafl_opt,1,nodes,17
1776240623,mosquitto-v2.0.18,chatafl_opt,1,edges,59
1776240628,mosquitto-v2.0.18,chatafl_opt,1,nodes,17
1776240628,mosquitto-v2.0.18,chatafl_opt,1,edges,59
1776240633,mosquitto-v2.0.18,chatafl_opt,1,nodes,17
1776240633,mosquitto-v2.0.18,chatafl_opt,1,edges,59
1776240659,mosquitto-v2.0.18,chatafl_opt,1,nodes,17
1776240659,mosquitto-v2.0.18,chatafl_opt,1,edges,59
