time,subject,fuzzer,run,cov_type,cov
1772240990,mosquitto,chatafl,1,l_per,12.2
1772240990,mosquitto,chatafl,1,l_abs,1391
1772240990,mosquitto,chatafl,1,b_per,8.2
1772240990,mosquitto,chatafl,1,b_abs,719
1772240991,mosquitto,chatafl,1,l_per,12.2
1772240991,mosquitto,chatafl,1,l_abs,1391
1772240991,mosquitto,chatafl,1,b_per,8.2
1772240991,mosquitto,chatafl,1,b_abs,719
1772240992,mosquitto,chatafl,1,l_per,12.2
1772240992,mosquitto,chatafl,1,l_abs,1391
1772240992,mosquitto,chatafl,1,b_per,8.2
1772240992,mosquitto,chatafl,1,b_abs,719
1772240993,mosquitto,chatafl,1,l_per,12.2
1772240993,mosquitto,chatafl,1,l_abs,1391
1772240993,mosquitto,chatafl,1,b_per,8.2
1772240993,mosquitto,chatafl,1,b_abs,719
1772240993,mosquitto,chatafl,1,l_per,12.2
1772240993,mosquitto,chatafl,1,l_abs,1391
1772240993,mosquitto,chatafl,1,b_per,8.2
1772240993,mosquitto,chatafl,1,b_abs,719
1772240994,mosquitto,chatafl,1,l_per,12.2
1772240994,mosquitto,chatafl,1,l_abs,1391
1772240994,mosquitto,chatafl,1,b_per,8.2
1772240994,mosquitto,chatafl,1,b_abs,719
1772240995,mosquitto,chatafl,1,l_per,12.2
1772240995,mosquitto,chatafl,1,l_abs,1391
1772240995,mosquitto,chatafl,1,b_per,8.2
1772240995,mosquitto,chatafl,1,b_abs,719
1772240996,mosquitto,chatafl,1,l_per,12.2
1772240996,mosquitto,chatafl,1,l_abs,1391
1772240996,mosquitto,chatafl,1,b_per,8.2
1772240996,mosquitto,chatafl,1,b_abs,719
1772240997,mosquitto,chatafl,1,l_per,12.2
1772240997,mosquitto,chatafl,1,l_abs,1391
1772240997,mosquitto,chatafl,1,b_per,8.2
1772240997,mosquitto,chatafl,1,b_abs,719
1772240998,mosquitto,chatafl,1,l_per,12.2
1772240998,mosquitto,chatafl,1,l_abs,1391
1772240998,mosquitto,chatafl,1,b_per,8.2
1772240998,mosquitto,chatafl,1,b_abs,719
1772240999,mosquitto,chatafl,1,l_per,12.2
1772240999,mosquitto,chatafl,1,l_abs,1391
1772240999,mosquitto,chatafl,1,b_per,8.2
1772240999,mosquitto,chatafl,1,b_abs,719
1772241000,mosquitto,chatafl,1,l_per,12.2
1772241000,mosquitto,chatafl,1,l_abs,1391
1772241000,mosquitto,chatafl,1,b_per,8.2
1772241000,mosquitto,chatafl,1,b_abs,719
1772241001,mosquitto,chatafl,1,l_per,12.2
1772241001,mosquitto,chatafl,1,l_abs,1391
1772241001,mosquitto,chatafl,1,b_per,8.2
1772241001,mosquitto,chatafl,1,b_abs,719
1772241002,mosquitto,chatafl,1,l_per,12.2
1772241002,mosquitto,chatafl,1,l_abs,1391
1772241002,mosquitto,chatafl,1,b_per,8.2
1772241002,mosquitto,chatafl,1,b_abs,719
1772241003,mosquitto,chatafl,1,l_per,12.2
