time,subject,fuzzer,run,state_type,state
1772242289,mosquitto,aflnet,1,nodes,4
1772242289,mosquitto,aflnet,1,edges,3
1772242295,mosquitto,aflnet,1,nodes,4
1772242295,mosquitto,aflnet,1,edges,3
1772242300,mosquitto,aflnet,1,nodes,4
1772242300,mosquitto,aflnet,1,edges,3
1772242305,mosquitto,aflnet,1,nodes,4
1772242305,mosquitto,aflnet,1,edges,3
1772242310,mosquitto,aflnet,1,nodes,4
1772242310,mosquitto,aflnet,1,edges,3
1772242315,mosquitto,aflnet,1,nodes,4
1772242315,mosquitto,aflnet,1,edges,3
1772242320,mosquitto,aflnet,1,nodes,4
1772242320,mosquitto,aflnet,1,edges,3
1772242325,mosquitto,aflnet,1,nodes,4
1772242325,mosquitto,aflnet,1,edges,3
1772242330,mosquitto,aflnet,1,nodes,4
1772242330,mosquitto,aflnet,1,edges,3
1772242335,mosquitto,aflnet,1,nodes,4
1772242335,mosquitto,aflnet,1,edges,3
1772242340,mosquitto,aflnet,1,nodes,4
1772242340,mosquitto,aflnet,1,edges,3
1772242346,mosquitto,aflnet,1,nodes,4
1772242346,mosquitto,aflnet,1,edges,3
1772242356,mosquitto,aflnet,1,nodes,4
1772242356,mosquitto,aflnet,1,edges,3
1772242361,mosquitto,aflnet,1,nodes,4
1772242361,mosquitto,aflnet,1,edges,3
1772242366,mosquitto,aflnet,1,nodes,4
1772242366,mosquitto,aflnet,1,edges,3
1772242376,mosquitto,aflnet,1,nodes,5
1772242376,mosquitto,aflnet,1,edges,5
1772242387,mosquitto,aflnet,1,nodes,5
1772242387,mosquitto,aflnet,1,edges,5
1772242392,mosquitto,aflnet,1,nodes,5
1772242392,mosquitto,aflnet,1,edges,5
1772242407,mosquitto,aflnet,1,nodes,5
1772242407,mosquitto,aflnet,1,edges,5
1772242417,mosquitto,aflnet,1,nodes,5
1772242417,mosquitto,aflnet,1,edges,5
1772242422,mosquitto,aflnet,1,nodes,5
1772242422,mosquitto,aflnet,1,edges,5
1772242427,mosquitto,aflnet,1,nodes,5
1772242427,mosquitto,aflnet,1,edges,5
1772242432,mosquitto,aflnet,1,nodes,5
1772242432,mosquitto,aflnet,1,edges,5
1772242443,mosquitto,aflnet,1,nodes,5
1772242443,mosquitto,aflnet,1,edges,5
1772242448,mosquitto,aflnet,1,nodes,5
1772242448,mosquitto,aflnet,1,edges,5
1772242458,mosquitto,aflnet,1,nodes,5
1772242458,mosquitto,aflnet,1,edges,5
1772242463,mosquitto,aflnet,1,nodes,5
1772242463,mosquitto,aflnet,1,edges,5
1772242468,mosquitto,aflnet,1,nodes,5
1772242468,mosquitto,aflnet,1,edges,6
1772242473,mosquitto,aflnet,1,nodes,5
1772242473,mosquitto,aflnet,1,edges,6
1772242478,mosquitto,aflnet,1,nodes,5
1772242478,mosquitto,aflnet,1,edges,6
1772242483,mosquitto,aflnet,1,nodes,5
1772242483,mosquitto,aflnet,1,edges,6
1772242494,mosquitto,aflnet,1,nodes,5
1772242494,mosquitto,aflnet,1,edges,6
1772242504,mosquitto,aflnet,1,nodes,5
1772242504,mosquitto,aflnet,1,edges,6
1772242514,mosquitto,aflnet,1,nodes,5
1772242514,mosquitto,aflnet,1,edges,6
1772242524,mosquitto,aflnet,1,nodes,5
1772242524,mosquitto,aflnet,1,edges,6
