time,subject,fuzzer,run,state_type,state
1772685050,mosquitto,aflnet,1,nodes,4
1772685050,mosquitto,aflnet,1,edges,3
1772685055,mosquitto,aflnet,1,nodes,4
1772685055,mosquitto,aflnet,1,edges,3
1772685060,mosquitto,aflnet,1,nodes,4
1772685060,mosquitto,aflnet,1,edges,3
1772685065,mosquitto,aflnet,1,nodes,4
1772685065,mosquitto,aflnet,1,edges,3
1772685070,mosquitto,aflnet,1,nodes,4
1772685070,mosquitto,aflnet,1,edges,3
1772685075,mosquitto,aflnet,1,nodes,4
1772685075,mosquitto,aflnet,1,edges,3
1772685080,mosquitto,aflnet,1,nodes,4
1772685080,mosquitto,aflnet,1,edges,3
1772685085,mosquitto,aflnet,1,nodes,4
1772685085,mosquitto,aflnet,1,edges,3
1772685091,mosquitto,aflnet,1,nodes,4
1772685091,mosquitto,aflnet,1,edges,3
1772685096,mosquitto,aflnet,1,nodes,4
1772685096,mosquitto,aflnet,1,edges,3
1772685101,mosquitto,aflnet,1,nodes,4
1772685101,mosquitto,aflnet,1,edges,3
1772685106,mosquitto,aflnet,1,nodes,4
1772685106,mosquitto,aflnet,1,edges,3
1772685111,mosquitto,aflnet,1,nodes,4
1772685111,mosquitto,aflnet,1,edges,3
1772685116,mosquitto,aflnet,1,nodes,4
1772685116,mosquitto,aflnet,1,edges,3
1772685121,mosquitto,aflnet,1,nodes,4
1772685121,mosquitto,aflnet,1,edges,3
1772685126,mosquitto,aflnet,1,nodes,4
1772685126,mosquitto,aflnet,1,edges,3
1772685131,mosquitto,aflnet,1,nodes,4
1772685131,mosquitto,aflnet,1,edges,3
1772685137,mosquitto,aflnet,1,nodes,4
1772685137,mosquitto,aflnet,1,edges,3
1772685142,mosquitto,aflnet,1,nodes,4
1772685142,mosquitto,aflnet,1,edges,3
1772685147,mosquitto,aflnet,1,nodes,4
1772685147,mosquitto,aflnet,1,edges,3
1772685152,mosquitto,aflnet,1,nodes,4
1772685152,mosquitto,aflnet,1,edges,3
1772685157,mosquitto,aflnet,1,nodes,4
1772685157,mosquitto,aflnet,1,edges,3
1772685162,mosquitto,aflnet,1,nodes,4
1772685162,mosquitto,aflnet,1,edges,3
1772685173,mosquitto,aflnet,1,nodes,4
1772685173,mosquitto,aflnet,1,edges,3
1772685178,mosquitto,aflnet,1,nodes,4
1772685178,mosquitto,aflnet,1,edges,3
1772685183,mosquitto,aflnet,1,nodes,4
1772685183,mosquitto,aflnet,1,edges,3
1772685188,mosquitto,aflnet,1,nodes,4
1772685188,mosquitto,aflnet,1,edges,3
1772685193,mosquitto,aflnet,1,nodes,4
1772685193,mosquitto,aflnet,1,edges,3
1772685203,mosquitto,aflnet,1,nodes,4
1772685203,mosquitto,aflnet,1,edges,3
1772685214,mosquitto,aflnet,1,nodes,4
1772685214,mosquitto,aflnet,1,edges,3
1772685219,mosquitto,aflnet,1,nodes,4
1772685219,mosquitto,aflnet,1,edges,3
1772685224,mosquitto,aflnet,1,nodes,4
1772685224,mosquitto,aflnet,1,edges,3
1772685229,mosquitto,aflnet,1,nodes,4
1772685229,mosquitto,aflnet,1,edges,3
1772685235,mosquitto,aflnet,1,nodes,4
1772685235,mosquitto,aflnet,1,edges,3
1772685240,mosquitto,aflnet,1,nodes,4
1772685240,mosquitto,aflnet,1,edges,3
1772685245,mosquitto,aflnet,1,nodes,4
1772685245,mosquitto,aflnet,1,edges,3
1772685250,mosquitto,aflnet,1,nodes,4
1772685250,mosquitto,aflnet,1,edges,3
1772685255,mosquitto,aflnet,1,nodes,4
1772685255,mosquitto,aflnet,1,edges,3
1772685265,mosquitto,aflnet,1,nodes,4
1772685265,mosquitto,aflnet,1,edges,5
1772685270,mosquitto,aflnet,1,nodes,4
1772685270,mosquitto,aflnet,1,edges,5
1772685276,mosquitto,aflnet,1,nodes,4
1772685276,mosquitto,aflnet,1,edges,5
1772685281,mosquitto,aflnet,1,nodes,4
1772685281,mosquitto,aflnet,1,edges,5
1772685286,mosquitto,aflnet,1,nodes,5
1772685286,mosquitto,aflnet,1,edges,7
1772685291,mosquitto,aflnet,1,nodes,5
1772685291,mosquitto,aflnet,1,edges,7
1772685296,mosquitto,aflnet,1,nodes,5
1772685296,mosquitto,aflnet,1,edges,7
1772685301,mosquitto,aflnet,1,nodes,5
1772685301,mosquitto,aflnet,1,edges,7
1772685306,mosquitto,aflnet,1,nodes,5
1772685306,mosquitto,aflnet,1,edges,7
1772685316,mosquitto,aflnet,1,nodes,5
1772685316,mosquitto,aflnet,1,edges,7
1772685321,mosquitto,aflnet,1,nodes,5
1772685321,mosquitto,aflnet,1,edges,7
1772685337,mosquitto,aflnet,1,nodes,5
1772685337,mosquitto,aflnet,1,edges,7
1772685342,mosquitto,aflnet,1,nodes,5
1772685342,mosquitto,aflnet,1,edges,7
1772685347,mosquitto,aflnet,1,nodes,5
1772685347,mosquitto,aflnet,1,edges,7
1772685352,mosquitto,aflnet,1,nodes,5
1772685352,mosquitto,aflnet,1,edges,7
1772685357,mosquitto,aflnet,1,nodes,5
1772685357,mosquitto,aflnet,1,edges,7
1772685362,mosquitto,aflnet,1,nodes,5
1772685362,mosquitto,aflnet,1,edges,7
1772685373,mosquitto,aflnet,1,nodes,5
1772685373,mosquitto,aflnet,1,edges,7
1772685378,mosquitto,aflnet,1,nodes,5
1772685378,mosquitto,aflnet,1,edges,7
1772685388,mosquitto,aflnet,1,nodes,5
1772685388,mosquitto,aflnet,1,edges,7
1772685408,mosquitto,aflnet,1,nodes,5
1772685408,mosquitto,aflnet,1,edges,7
1772685413,mosquitto,aflnet,1,nodes,5
1772685413,mosquitto,aflnet,1,edges,7
1772685429,mosquitto,aflnet,1,nodes,5
1772685429,mosquitto,aflnet,1,edges,7
1772685434,mosquitto,aflnet,1,nodes,5
1772685434,mosquitto,aflnet,1,edges,7
1772685449,mosquitto,aflnet,1,nodes,5
1772685449,mosquitto,aflnet,1,edges,8
1772685475,mosquitto,aflnet,1,nodes,5
1772685475,mosquitto,aflnet,1,edges,8
1772685480,mosquitto,aflnet,1,nodes,5
1772685480,mosquitto,aflnet,1,edges,8
1772685496,mosquitto,aflnet,1,nodes,5
1772685496,mosquitto,aflnet,1,edges,8
1772685506,mosquitto,aflnet,1,nodes,5
1772685506,mosquitto,aflnet,1,edges,8
1772685511,mosquitto,aflnet,1,nodes,5
1772685511,mosquitto,aflnet,1,edges,8
1772685516,mosquitto,aflnet,1,nodes,5
1772685516,mosquitto,aflnet,1,edges,8
1772685522,mosquitto,aflnet,1,nodes,5
1772685522,mosquitto,aflnet,1,edges,8
1772685532,mosquitto,aflnet,1,nodes,5
1772685532,mosquitto,aflnet,1,edges,8
1772685537,mosquitto,aflnet,1,nodes,5
1772685537,mosquitto,aflnet,1,edges,8
1772685542,mosquitto,aflnet,1,nodes,5
1772685542,mosquitto,aflnet,1,edges,8
1772685552,mosquitto,aflnet,1,nodes,5
1772685552,mosquitto,aflnet,1,edges,8
1772685558,mosquitto,aflnet,1,nodes,5
1772685558,mosquitto,aflnet,1,edges,8
