subject,fuzzer,data_type,time,data
mosquitto,aflnet,nodes,0,0.0
mosquitto,aflnet,nodes,1,4.0
mosquitto,aflnet,nodes,61,7.0
mosquitto,aflnet,nodes,121,7.4
mosquitto,aflnet,nodes,181,8.0
mosquitto,aflnet,nodes,241,8.2
mosquitto,aflnet,nodes,301,8.2
mosquitto,aflnet,nodes,361,8.2
mosquitto,aflnet,nodes,421,8.2
mosquitto,aflnet,nodes,481,8.2
mosquitto,aflnet,nodes,541,8.2
mosquitto,aflnet,nodes,601,8.2
mosquitto,aflnet,nodes,661,8.2
mosquitto,aflnet,nodes,721,8.2
mosquitto,aflnet,nodes,781,8.2
mosquitto,aflnet,nodes,841,8.4
mosquitto,aflnet,nodes,901,8.4
mosquitto,aflnet,nodes,961,8.4
mosquitto,aflnet,nodes,1021,8.4
mosquitto,aflnet,nodes,1081,8.4
mosquitto,aflnet,nodes,1141,8.4
mosquitto,aflnet,nodes,1201,8.4
mosquitto,aflnet,nodes,1261,8.4
mosquitto,aflnet,nodes,1321,8.4
mosquitto,aflnet,nodes,1381,8.4
mosquitto,aflnet,nodes,1441,8.4
mosquitto,aflnet,edges,0,0.0
mosquitto,aflnet,edges,1,3.0
mosquitto,aflnet,edges,61,17.6
mosquitto,aflnet,edges,121,21.0
mosquitto,aflnet,edges,181,24.2
mosquitto,aflnet,edges,241,26.6
mosquitto,aflnet,edges,301,27.8
mosquitto,aflnet,edges,361,29.0
mosquitto,aflnet,edges,421,30.6
mosquitto,aflnet,edges,481,31.8
mosquitto,aflnet,edges,541,33.0
mosquitto,aflnet,edges,601,33.8
mosquitto,aflnet,edges,661,34.2
mosquitto,aflnet,edges,721,34.4
mosquitto,aflnet,edges,781,34.4
mosquitto,aflnet,edges,841,34.6
mosquitto,aflnet,edges,901,35.2
mosquitto,aflnet,edges,961,35.4
mosquitto,aflnet,edges,1021,35.4
mosquitto,aflnet,edges,1081,35.6
mosquitto,aflnet,edges,1141,36.0
mosquitto,aflnet,edges,1201,36.2
mosquitto,aflnet,edges,1261,36.6
mosquitto,aflnet,edges,1321,37.0
mosquitto,aflnet,edges,1381,37.0
mosquitto,aflnet,edges,1441,37.0
mosquitto,chatafl,nodes,0,0.0
mosquitto,chatafl,nodes,1,4.0
mosquitto,chatafl,nodes,61,6.8
mosquitto,chatafl,nodes,121,7.8
mosquitto,chatafl,nodes,181,8.0
mosquitto,chatafl,nodes,241,8.0
mosquitto,chatafl,nodes,301,8.0
mosquitto,chatafl,nodes,361,8.0
mosquitto,chatafl,nodes,421,8.0
mosquitto,chatafl,nodes,481,8.0
mosquitto,chatafl,nodes,541,8.0
mosquitto,chatafl,nodes,601,8.0
mosquitto,chatafl,nodes,661,8.0
mosquitto,chatafl,nodes,721,8.0
mosquitto,chatafl,nodes,781,8.0
mosquitto,chatafl,nodes,841,8.0
mosquitto,chatafl,nodes,901,8.0
mosquitto,chatafl,nodes,961,8.0
mosquitto,chatafl,nodes,1021,8.0
mosquitto,chatafl,nodes,1081,8.0
mosquitto,chatafl,nodes,1141,8.2
mosquitto,chatafl,nodes,1201,8.2
mosquitto,chatafl,nodes,1261,8.2
mosquitto,chatafl,nodes,1321,8.2
mosquitto,chatafl,nodes,1381,8.2
mosquitto,chatafl,nodes,1441,8.2
mosquitto,chatafl,edges,0,0.0
mosquitto,chatafl,edges,1,3.0
mosquitto,chatafl,edges,61,17.2
mosquitto,chatafl,edges,121,21.4
mosquitto,chatafl,edges,181,23.8
mosquitto,chatafl,edges,241,25.6
mosquitto,chatafl,edges,301,26.2
mosquitto,chatafl,edges,361,27.4
mosquitto,chatafl,edges,421,27.6
mosquitto,chatafl,edges,481,27.8
mosquitto,chatafl,edges,541,28.0
mosquitto,chatafl,edges,601,28.4
mosquitto,chatafl,edges,661,28.6
mosquitto,chatafl,edges,721,28.8
mosquitto,chatafl,edges,781,29.6
mosquitto,chatafl,edges,841,30.4
