time,subject,fuzzer,run,cov_type,cov
1772951383,mosquitto,aflnet,1,l_per,18.2
1772951383,mosquitto,aflnet,1,l_abs,2076
1772951383,mosquitto,aflnet,1,b_per,12.5
1772951383,mosquitto,aflnet,1,b_abs,1100
1772951593,mosquitto,aflnet,1,l_per,20.1
1772951593,mosquitto,aflnet,1,l_abs,2294
1772951593,mosquitto,aflnet,1,b_per,14.1
1772951593,mosquitto,aflnet,1,b_abs,1242
1772951736,mosquitto,aflnet,1,l_per,21.3
1772951736,mosquitto,aflnet,1,l_abs,2434
1772951736,mosquitto,aflnet,1,b_per,15.3
1772951736,mosquitto,aflnet,1,b_abs,1351
1772952064,mosquitto,aflnet,1,l_per,21.3
1772952064,mosquitto,aflnet,1,l_abs,2434
1772952064,mosquitto,aflnet,1,b_per,15.4
1772952064,mosquitto,aflnet,1,b_abs,1358
1772952529,mosquitto,aflnet,1,l_per,21.6
1772952529,mosquitto,aflnet,1,l_abs,2468
1772952529,mosquitto,aflnet,1,b_per,15.7
1772952529,mosquitto,aflnet,1,b_abs,1381
1772953020,mosquitto,aflnet,1,l_per,22.3
1772953020,mosquitto,aflnet,1,l_abs,2553
1772953020,mosquitto,aflnet,1,b_per,16.2
1772953020,mosquitto,aflnet,1,b_abs,1425
1772953613,mosquitto,aflnet,1,l_per,22.4
1772953613,mosquitto,aflnet,1,l_abs,2556
1772953613,mosquitto,aflnet,1,b_per,16.2
1772953613,mosquitto,aflnet,1,b_abs,1427
1772954078,mosquitto,aflnet,1,l_per,22.6
1772954078,mosquitto,aflnet,1,l_abs,2580
1772954078,mosquitto,aflnet,1,b_per,16.3
1772954078,mosquitto,aflnet,1,b_abs,1441
1772954799,mosquitto,aflnet,1,l_per,22.8
1772954799,mosquitto,aflnet,1,l_abs,2611
1772954799,mosquitto,aflnet,1,b_per,16.7
1772954799,mosquitto,aflnet,1,b_abs,1476
1772955924,mosquitto,aflnet,1,l_per,22.8
1772955924,mosquitto,aflnet,1,l_abs,2611
1772955924,mosquitto,aflnet,1,b_per,16.8
1772955924,mosquitto,aflnet,1,b_abs,1480
1772956964,mosquitto,aflnet,1,l_per,22.9
1772956964,mosquitto,aflnet,1,l_abs,2617
1772956964,mosquitto,aflnet,1,b_per,16.9
1772956964,mosquitto,aflnet,1,b_abs,1488
1772958645,mosquitto,aflnet,1,l_per,23.0
1772958645,mosquitto,aflnet,1,l_abs,2628
1772958645,mosquitto,aflnet,1,b_per,17.0
1772958645,mosquitto,aflnet,1,b_abs,1502
1772959998,mosquitto,aflnet,1,l_per,23.1
1772959998,mosquitto,aflnet,1,l_abs,2643
1772959998,mosquitto,aflnet,1,b_per,17.2
1772959998,mosquitto,aflnet,1,b_abs,1518
1772961706,mosquitto,aflnet,1,l_per,23.4
1772961706,mosquitto,aflnet,1,l_abs,2674
1772961706,mosquitto,aflnet,1,b_per,17.6
1772961706,mosquitto,aflnet,1,b_abs,1551
1772963502,mosquitto,aflnet,1,l_per,23.4
1772963502,mosquitto,aflnet,1,l_abs,2674
1772963502,mosquitto,aflnet,1,b_per,17.6
1772963502,mosquitto,aflnet,1,b_abs,1554
1772965958,mosquitto,aflnet,1,l_per,23.5
1772965958,mosquitto,aflnet,1,l_abs,2680
1772965958,mosquitto,aflnet,1,b_per,17.7
1772965958,mosquitto,aflnet,1,b_abs,1558
1772967836,mosquitto,aflnet,1,l_per,23.5
1772967836,mosquitto,aflnet,1,l_abs,2680
