fuzzer,run,runtime_min,llm_calls,prompt_tokens,completion_tokens,dedup_hits,cost_usd,prompt_per_24h,compl_per_24h,cost_per_24h,token_source
chatafl,1,1478,69,14184,110144,0,0.068214,13819,107312,0.066460,exact
chatafl,2,1478,58,12151,89837,0,0.055725,11839,87527,0.054292,exact
chatafl,3,1475,95,13598,87559,0,0.054575,13275,85481,0.053280,exact
chatafl,4,1478,67,12974,100653,0,0.062338,12640,98065,0.060735,exact
chatafl,5,1472,91,12383,80502,0,0.050159,12114,78752,0.049068,exact
chatafl,6,1472,97,15763,98332,0,0.061364,15420,96194,0.060030,exact
chatafl,7,1475,55,12438,84425,0,0.052521,12143,82422,0.051274,exact
chatafl,8,1477,76,10785,72743,0,0.045264,10515,70921,0.044130,exact
chatafl,9,1470,107,15692,117826,0,0.073049,15372,115421,0.071559,exact
chatafl,10,1473,116,17079,118328,0,0.073559,16696,115677,0.071911,exact
chatafl_opt,1,1476,113,101828,13924,0,0.023629,99344,13584,0.023052,exact
chatafl_opt,2,1478,112,101253,13789,0,0.023461,98650,13434,0.022858,exact
chatafl_opt,3,1477,115,111618,14596,0,0.025500,108822,14230,0.024861,exact
chatafl_opt,4,1478,116,104912,13460,0,0.023813,102215,13114,0.023201,exact
chatafl_opt,5,1478,114,107238,15044,0,0.025112,104481,14657,0.024466,exact
chatafl_opt,6,1478,110,97067,13098,0,0.022419,94571,12761,0.021842,exact
chatafl_opt,7,1478,113,101492,14712,0,0.024051,98883,14334,0.023433,exact
chatafl_opt,8,1468,111,99127,13685,0,0.023080,97236,13424,0.022640,exact
chatafl_opt,9,1468,117,124048,13978,0,0.026994,121682,13711,0.026479,exact
chatafl_opt,10,1468,117,115530,14552,0,0.026061,113326,14274,0.025564,exact
