subject,fuzzer,data_type,time,data
mosquitto,aflnet,nodes,0,0.0
mosquitto,aflnet,nodes,1,3.8
mosquitto,aflnet,nodes,61,7.2
mosquitto,aflnet,nodes,121,8.0
mosquitto,aflnet,nodes,181,8.2
mosquitto,aflnet,nodes,241,8.2
mosquitto,aflnet,nodes,301,8.2
mosquitto,aflnet,nodes,361,8.3
mosquitto,aflnet,nodes,421,8.3
mosquitto,aflnet,nodes,481,8.4
mosquitto,aflnet,nodes,541,8.4
mosquitto,aflnet,nodes,601,8.4
mosquitto,aflnet,nodes,661,8.5
mosquitto,aflnet,nodes,721,8.5
mosquitto,aflnet,nodes,781,8.6
mosquitto,aflnet,nodes,841,8.6
mosquitto,aflnet,nodes,901,8.6
mosquitto,aflnet,nodes,961,8.6
mosquitto,aflnet,nodes,1021,8.6
mosquitto,aflnet,nodes,1081,8.6
mosquitto,aflnet,nodes,1141,8.6
mosquitto,aflnet,nodes,1201,8.6
mosquitto,aflnet,nodes,1261,8.6
mosquitto,aflnet,nodes,1321,8.6
mosquitto,aflnet,nodes,1381,8.6
mosquitto,aflnet,edges,0,0.0
mosquitto,aflnet,edges,1,2.8
mosquitto,aflnet,edges,61,17.1
mosquitto,aflnet,edges,121,22.1
mosquitto,aflnet,edges,181,25.5
mosquitto,aflnet,edges,241,26.5
mosquitto,aflnet,edges,301,28.8
mosquitto,aflnet,edges,361,30.1
mosquitto,aflnet,edges,421,30.9
mosquitto,aflnet,edges,481,31.8
mosquitto,aflnet,edges,541,32.2
mosquitto,aflnet,edges,601,32.7
mosquitto,aflnet,edges,661,33.1
mosquitto,aflnet,edges,721,33.4
mosquitto,aflnet,edges,781,33.9
mosquitto,aflnet,edges,841,34.2
mosquitto,aflnet,edges,901,34.6
mosquitto,aflnet,edges,961,34.7
mosquitto,aflnet,edges,1021,34.8
mosquitto,aflnet,edges,1081,34.9
mosquitto,aflnet,edges,1141,35.0
mosquitto,aflnet,edges,1201,35.1
mosquitto,aflnet,edges,1261,35.2
mosquitto,aflnet,edges,1321,35.5
mosquitto,aflnet,edges,1381,35.7
mosquitto,chatafl,nodes,0,0.0
mosquitto,chatafl,nodes,1,4.0
mosquitto,chatafl,nodes,61,6.6
mosquitto,chatafl,nodes,121,7.5
mosquitto,chatafl,nodes,181,7.7
mosquitto,chatafl,nodes,241,7.9
mosquitto,chatafl,nodes,301,8.0
mosquitto,chatafl,nodes,361,8.1
mosquitto,chatafl,nodes,421,8.2
mosquitto,chatafl,nodes,481,8.2
mosquitto,chatafl,nodes,541,8.2
mosquitto,chatafl,nodes,601,8.2
mosquitto,chatafl,nodes,661,8.4
mosquitto,chatafl,nodes,721,8.4
mosquitto,chatafl,nodes,781,8.4
mosquitto,chatafl,nodes,841,8.4
mosquitto,chatafl,nodes,901,8.5
mosquitto,chatafl,nodes,961,8.5
mosquitto,chatafl,nodes,1021,8.5
mosquitto,chatafl,nodes,1081,8.5
mosquitto,chatafl,nodes,1141,8.5
