subject,fuzzer,run,source,runtime_min,elapsed_min,l_abs,b_abs,nodes,edges,start_time,last_update
mosquitto,aflnet,1,out-mosquitto-aflnet_1.tar.gz,1479,1479,3216,1998,9,31,1773673840,1773762635
mosquitto,aflnet,2,out-mosquitto-aflnet_2.tar.gz,1479,1479,3203,2013,8,33,1773673841,1773762636
mosquitto,aflnet,3,out-mosquitto-aflnet_3.tar.gz,1479,1479,2884,1773,8,37,1773673841,1773762636
mosquitto,aflnet,4,out-mosquitto-aflnet_4.tar.gz,1479,1479,2722,1656,9,36,1774615273,1774704061
mosquitto,aflnet,5,out-mosquitto-aflnet_5.tar.gz,1479,1479,2691,1641,8,31,1774615273,1774704061
mosquitto,aflnet,6,out-mosquitto-aflnet_6.tar.gz,1479,1479,3123,1921,8,37,1774174290,1774263086
mosquitto,aflnet,7,out-mosquitto-aflnet_7.tar.gz,1479,1479,2916,1788,9,41,1774174290,1774263087
mosquitto,aflnet,8,out-mosquitto-aflnet_8.tar.gz,1479,1479,2725,1656,9,37,1774174291,1774263088
mosquitto,aflnet,9,out-mosquitto-aflnet_9.tar.gz,1479,1479,2839,1735,9,32,1774615273,1774704061
mosquitto,aflnet,10,out-mosquitto-aflnet_10.tar.gz,1479,1479,3096,1962,9,45,1774174293,1774263090
mosquitto,chatafl,1,out-mosquitto-chatafl_1.tar.gz,1478,1478,3032,1883,8,33,1773673933,1773762640
mosquitto,chatafl,2,out-mosquitto-chatafl_2.tar.gz,1478,1478,2829,1722,8,30,1773673942,1773762641
mosquitto,chatafl,3,out-mosquitto-chatafl_3.tar.gz,1475,1475,2796,1724,8,36,1773674099,1773762641
mosquitto,chatafl,4,out-mosquitto-chatafl_4.tar.gz,1478,1478,2808,1734,9,37,1774410209,1774498919
mosquitto,chatafl,5,out-mosquitto-chatafl_5.tar.gz,1472,1472,2743,1656,9,40,1774410565,1774498920
mosquitto,chatafl,6,out-mosquitto-chatafl_6.tar.gz,1472,1472,2751,1712,9,38,1774410567,1774498920
mosquitto,chatafl,7,out-mosquitto-chatafl_7.tar.gz,1475,1475,2900,1784,9,41,1774410413,1774498920
mosquitto,chatafl,8,out-mosquitto-chatafl_8.tar.gz,1477,1477,2781,1718,9,29,1774410291,1774498920
mosquitto,chatafl,9,out-mosquitto-chatafl_9.tar.gz,1470,1470,2741,1661,8,36,1774410684,1774498921
mosquitto,chatafl,10,out-mosquitto-chatafl_10.tar.gz,1473,1473,2750,1669,8,33,1774410503,1774498922
mosquitto,chatafl_opt,1,out-mosquitto-chatafl_opt_1.tar.gz,1476,1476,3078,1962,9,45,1773674046,1773762643
mosquitto,chatafl_opt,2,out-mosquitto-chatafl_opt_2.tar.gz,1478,1478,3225,2059,9,48,1773673938,1773762642
mosquitto,chatafl_opt,3,out-mosquitto-chatafl_opt_3.tar.gz,1477,1477,3401,2231,9,40,1773673986,1773762643
mosquitto,chatafl_opt,4,out-mosquitto-chatafl_opt_4.tar.gz,1478,1478,3125,1974,9,49,1774283834,1774372548
mosquitto,chatafl_opt,5,out-mosquitto-chatafl_opt_5.tar.gz,1478,1478,3094,1957,9,45,1774283849,1774372549
mosquitto,chatafl_opt,6,out-mosquitto-chatafl_opt_6.tar.gz,1478,1478,3098,1965,9,43,1774283848,1774372548
mosquitto,chatafl_opt,7,out-mosquitto-chatafl_opt_7.tar.gz,1478,1478,3274,2100,9,37,1774283854,1774372549
mosquitto,chatafl_opt,8,out-mosquitto-chatafl_opt_8.tar.gz,1468,1468,3324,2121,9,41,1774106471,1774194599
mosquitto,chatafl_opt,9,out-mosquitto-chatafl_opt_9.tar.gz,1468,1468,3321,2109,9,38,1774106910,1774195033
mosquitto,chatafl_opt,10,out-mosquitto-chatafl_opt_10.tar.gz,1468,1468,3412,2197,9,35,1774107716,1774195855
