time,subject,fuzzer,run,state_type,state
1772273456,proftpd,aflnet,1,nodes,13
1772273456,proftpd,aflnet,1,edges,23
1772273461,proftpd,aflnet,1,nodes,14
1772273461,proftpd,aflnet,1,edges,25
1772273466,proftpd,aflnet,1,nodes,14
1772273466,proftpd,aflnet,1,edges,25
1772273472,proftpd,aflnet,1,nodes,14
1772273472,proftpd,aflnet,1,edges,25
1772273477,proftpd,aflnet,1,nodes,14
1772273477,proftpd,aflnet,1,edges,25
1772273482,proftpd,aflnet,1,nodes,14
1772273482,proftpd,aflnet,1,edges,25
1772273487,proftpd,aflnet,1,nodes,14
1772273487,proftpd,aflnet,1,edges,25
1772273492,proftpd,aflnet,1,nodes,14
1772273492,proftpd,aflnet,1,edges,25
1772273497,proftpd,aflnet,1,nodes,14
1772273497,proftpd,aflnet,1,edges,25
1772273502,proftpd,aflnet,1,nodes,14
1772273502,proftpd,aflnet,1,edges,25
1772273507,proftpd,aflnet,1,nodes,14
1772273507,proftpd,aflnet,1,edges,26
1772273513,proftpd,aflnet,1,nodes,14
1772273513,proftpd,aflnet,1,edges,26
1772273518,proftpd,aflnet,1,nodes,14
1772273518,proftpd,aflnet,1,edges,26
1772273523,proftpd,aflnet,1,nodes,14
1772273523,proftpd,aflnet,1,edges,28
1772273528,proftpd,aflnet,1,nodes,14
1772273528,proftpd,aflnet,1,edges,28
1772273533,proftpd,aflnet,1,nodes,14
1772273533,proftpd,aflnet,1,edges,28
1772273538,proftpd,aflnet,1,nodes,14
1772273538,proftpd,aflnet,1,edges,31
1772273543,proftpd,aflnet,1,nodes,14
1772273543,proftpd,aflnet,1,edges,31
1772273548,proftpd,aflnet,1,nodes,14
1772273548,proftpd,aflnet,1,edges,31
1772273554,proftpd,aflnet,1,nodes,14
1772273554,proftpd,aflnet,1,edges,31
1772273559,proftpd,aflnet,1,nodes,14
1772273559,proftpd,aflnet,1,edges,31
1772273564,proftpd,aflnet,1,nodes,14
1772273564,proftpd,aflnet,1,edges,31
1772273569,proftpd,aflnet,1,nodes,14
1772273569,proftpd,aflnet,1,edges,31
1772273574,proftpd,aflnet,1,nodes,14
1772273574,proftpd,aflnet,1,edges,31
1772273579,proftpd,aflnet,1,nodes,14
1772273579,proftpd,aflnet,1,edges,31
1772273584,proftpd,aflnet,1,nodes,14
1772273584,proftpd,aflnet,1,edges,32
1772273594,proftpd,aflnet,1,nodes,14
1772273594,proftpd,aflnet,1,edges,34
1772273600,proftpd,aflnet,1,nodes,14
1772273600,proftpd,aflnet,1,edges,34
1772273605,proftpd,aflnet,1,nodes,14
1772273605,proftpd,aflnet,1,edges,35
1772273610,proftpd,aflnet,1,nodes,14
1772273610,proftpd,aflnet,1,edges,35
1772273615,proftpd,aflnet,1,nodes,14
1772273615,proftpd,aflnet,1,edges,35
1772273620,proftpd,aflnet,1,nodes,14
1772273620,proftpd,aflnet,1,edges,35
1772273626,proftpd,aflnet,1,nodes,14
1772273626,proftpd,aflnet,1,edges,35
1772273631,proftpd,aflnet,1,nodes,14
1772273631,proftpd,aflnet,1,edges,35
1772273636,proftpd,aflnet,1,nodes,14
1772273636,proftpd,aflnet,1,edges,35
1772273641,proftpd,aflnet,1,nodes,14
1772273641,proftpd,aflnet,1,edges,35
1772273652,proftpd,aflnet,1,nodes,14
1772273652,proftpd,aflnet,1,edges,35
1772273657,proftpd,aflnet,1,nodes,14
1772273657,proftpd,aflnet,1,edges,35
1772273662,proftpd,aflnet,1,nodes,14
1772273662,proftpd,aflnet,1,edges,35
1772273667,proftpd,aflnet,1,nodes,14
1772273667,proftpd,aflnet,1,edges,35
1772273672,proftpd,aflnet,1,nodes,14
1772273672,proftpd,aflnet,1,edges,35
1772273677,proftpd,aflnet,1,nodes,14
1772273677,proftpd,aflnet,1,edges,35
1772273687,proftpd,aflnet,1,nodes,14
1772273687,proftpd,aflnet,1,edges,35
1772273693,proftpd,aflnet,1,nodes,14
1772273693,proftpd,aflnet,1,edges,35
1772273698,proftpd,aflnet,1,nodes,14
1772273698,proftpd,aflnet,1,edges,35
1772273703,proftpd,aflnet,1,nodes,14
1772273703,proftpd,aflnet,1,edges,35
1772273708,proftpd,aflnet,1,nodes,14
1772273708,proftpd,aflnet,1,edges,35
1772273713,proftpd,aflnet,1,nodes,14
1772273713,proftpd,aflnet,1,edges,35
1772273718,proftpd,aflnet,1,nodes,14
1772273718,proftpd,aflnet,1,edges,35
1772273723,proftpd,aflnet,1,nodes,14
1772273723,proftpd,aflnet,1,edges,35
1772273734,proftpd,aflnet,1,nodes,14
1772273734,proftpd,aflnet,1,edges,35
1772273739,proftpd,aflnet,1,nodes,14
1772273739,proftpd,aflnet,1,edges,35
1772273744,proftpd,aflnet,1,nodes,14
1772273744,proftpd,aflnet,1,edges,35
1772273749,proftpd,aflnet,1,nodes,14
1772273749,proftpd,aflnet,1,edges,35
1772273754,proftpd,aflnet,1,nodes,14
1772273754,proftpd,aflnet,1,edges,35
