time,subject,fuzzer,run,cov_type,cov
1772379464,proftpd,aflnet,1,l_per,18.7
1772379464,proftpd,aflnet,1,l_abs,7972
1772379464,proftpd,aflnet,1,b_per,13.0
1772379464,proftpd,aflnet,1,b_abs,3373
1772379469,proftpd,aflnet,1,l_per,19.3
1772379469,proftpd,aflnet,1,l_abs,8223
1772379469,proftpd,aflnet,1,b_per,13.5
1772379469,proftpd,aflnet,1,b_abs,3506
1772379474,proftpd,aflnet,1,l_per,20.9
1772379474,proftpd,aflnet,1,l_abs,8897
1772379474,proftpd,aflnet,1,b_per,14.8
1772379474,proftpd,aflnet,1,b_abs,3858
1772379478,proftpd,aflnet,1,l_per,21.0
1772379478,proftpd,aflnet,1,l_abs,8958
1772379478,proftpd,aflnet,1,b_per,15.0
1772379478,proftpd,aflnet,1,b_abs,3896
1772379586,proftpd,aflnet,1,l_per,21.3
1772379586,proftpd,aflnet,1,l_abs,9097
1772379586,proftpd,aflnet,1,b_per,15.4
1772379586,proftpd,aflnet,1,b_abs,3993
1772379735,proftpd,aflnet,1,l_per,21.4
1772379735,proftpd,aflnet,1,l_abs,9116
1772379735,proftpd,aflnet,1,b_per,15.4
1772379735,proftpd,aflnet,1,b_abs,4003
1772379865,proftpd,aflnet,1,l_per,21.4
1772379865,proftpd,aflnet,1,l_abs,9131
1772379865,proftpd,aflnet,1,b_per,15.4
1772379865,proftpd,aflnet,1,b_abs,4011
1772379964,proftpd,aflnet,1,l_per,21.4
1772379964,proftpd,aflnet,1,l_abs,9144
1772379964,proftpd,aflnet,1,b_per,15.5
1772379964,proftpd,aflnet,1,b_abs,4021
1772380067,proftpd,aflnet,1,l_per,21.4
1772380067,proftpd,aflnet,1,l_abs,9144
1772380067,proftpd,aflnet,1,b_per,15.5
1772380067,proftpd,aflnet,1,b_abs,4021
1772380174,proftpd,aflnet,1,l_per,21.5
1772380174,proftpd,aflnet,1,l_abs,9145
1772380174,proftpd,aflnet,1,b_per,15.5
1772380174,proftpd,aflnet,1,b_abs,4023
1772380309,proftpd,aflnet,1,l_per,21.6
1772380309,proftpd,aflnet,1,l_abs,9188
1772380309,proftpd,aflnet,1,b_per,15.5
1772380309,proftpd,aflnet,1,b_abs,4029
1772380494,proftpd,aflnet,1,l_per,21.6
1772380494,proftpd,aflnet,1,l_abs,9206
1772380494,proftpd,aflnet,1,b_per,15.5
1772380494,proftpd,aflnet,1,b_abs,4037
1772380722,proftpd,aflnet,1,l_per,21.6
1772380722,proftpd,aflnet,1,l_abs,9207
1772380722,proftpd,aflnet,1,b_per,15.5
1772380722,proftpd,aflnet,1,b_abs,4038
1772380931,proftpd,aflnet,1,l_per,21.6
1772380931,proftpd,aflnet,1,l_abs,9207
1772380931,proftpd,aflnet,1,b_per,15.5
1772380931,proftpd,aflnet,1,b_abs,4038
1772381255,proftpd,aflnet,1,l_per,21.6
1772381255,proftpd,aflnet,1,l_abs,9207
1772381255,proftpd,aflnet,1,b_per,15.5
1772381255,proftpd,aflnet,1,b_abs,4038
1772381526,proftpd,aflnet,1,l_per,21.6
1772381526,proftpd,aflnet,1,l_abs,9207
1772381526,proftpd,aflnet,1,b_per,15.5
1772381526,proftpd,aflnet,1,b_abs,4040
1772381891,proftpd,aflnet,1,l_per,21.6
1772381891,proftpd,aflnet,1,l_abs,9223
1772381891,proftpd,aflnet,1,b_per,15.6
1772381891,proftpd,aflnet,1,b_abs,4050
1772382219,proftpd,aflnet,1,l_per,21.9
1772382219,proftpd,aflnet,1,l_abs,9329
1772382219,proftpd,aflnet,1,b_per,15.8
1772382219,proftpd,aflnet,1,b_abs,4098
1772382441,proftpd,aflnet,1,l_per,21.9
1772382441,proftpd,aflnet,1,l_abs,9332
1772382441,proftpd,aflnet,1,b_per,15.8
1772382441,proftpd,aflnet,1,b_abs,4102
1772382692,proftpd,aflnet,1,l_per,22.2
1772382692,proftpd,aflnet,1,l_abs,9446
1772382692,proftpd,aflnet,1,b_per,16.0
1772382692,proftpd,aflnet,1,b_abs,4169
1772382906,proftpd,aflnet,1,l_per,22.2
1772382906,proftpd,aflnet,1,l_abs,9461
1772382906,proftpd,aflnet,1,b_per,16.1
1772382906,proftpd,aflnet,1,b_abs,4173
1772383067,proftpd,aflnet,1,l_per,22.2
1772383067,proftpd,aflnet,1,l_abs,9462
1772383067,proftpd,aflnet,1,b_per,16.1
1772383067,proftpd,aflnet,1,b_abs,4174
1772383321,proftpd,aflnet,1,l_per,22.3
1772383321,proftpd,aflnet,1,l_abs,9511
1772383321,proftpd,aflnet,1,b_per,16.1
1772383321,proftpd,aflnet,1,b_abs,4194
1772383563,proftpd,aflnet,1,l_per,22.3
1772383563,proftpd,aflnet,1,l_abs,9511
1772383563,proftpd,aflnet,1,b_per,16.1
1772383563,proftpd,aflnet,1,b_abs,4194
1772383943,proftpd,aflnet,1,l_per,22.3
1772383943,proftpd,aflnet,1,l_abs,9521
1772383943,proftpd,aflnet,1,b_per,16.2
1772383943,proftpd,aflnet,1,b_abs,4201
1772384228,proftpd,aflnet,1,l_per,22.3
1772384228,proftpd,aflnet,1,l_abs,9521
1772384228,proftpd,aflnet,1,b_per,16.2
1772384228,proftpd,aflnet,1,b_abs,4202
1772384431,proftpd,aflnet,1,l_per,22.3
1772384431,proftpd,aflnet,1,l_abs,9521
1772384431,proftpd,aflnet,1,b_per,16.2
1772384431,proftpd,aflnet,1,b_abs,4202
1772384644,proftpd,aflnet,1,l_per,22.3
1772384644,proftpd,aflnet,1,l_abs,9523
1772384644,proftpd,aflnet,1,b_per,16.2
1772384644,proftpd,aflnet,1,b_abs,4203
1772385156,proftpd,aflnet,1,l_per,22.3
1772385156,proftpd,aflnet,1,l_abs,9525
1772385156,proftpd,aflnet,1,b_per,16.2
1772385156,proftpd,aflnet,1,b_abs,4207
1772385377,proftpd,aflnet,1,l_per,22.3
1772385377,proftpd,aflnet,1,l_abs,9525
1772385377,proftpd,aflnet,1,b_per,16.2
1772385377,proftpd,aflnet,1,b_abs,4207
1772385456,proftpd,aflnet,1,l_per,22.3
1772385456,proftpd,aflnet,1,l_abs,9525
1772385456,proftpd,aflnet,1,b_per,16.2
1772385456,proftpd,aflnet,1,b_abs,4207
1772380449,proftpd,chatafl,1,l_per,19.4
1772380449,proftpd,chatafl,1,l_abs,8259
1772380449,proftpd,chatafl,1,b_per,13.5
1772380449,proftpd,chatafl,1,b_abs,3504
1772380457,proftpd,chatafl,1,l_per,19.9
1772380457,proftpd,chatafl,1,l_abs,8470
1772380457,proftpd,chatafl,1,b_per,13.9
1772380457,proftpd,chatafl,1,b_abs,3625
1772380467,proftpd,chatafl,1,l_per,21.4
1772380467,proftpd,chatafl,1,l_abs,9111
1772380467,proftpd,chatafl,1,b_per,15.3
1772380467,proftpd,chatafl,1,b_abs,3966
1772380474,proftpd,chatafl,1,l_per,21.9
1772380474,proftpd,chatafl,1,l_abs,9326
1772380474,proftpd,chatafl,1,b_per,15.6
1772380474,proftpd,chatafl,1,b_abs,4054
1772380475,proftpd,chatafl,1,l_per,21.9
1772380475,proftpd,chatafl,1,l_abs,9326
1772380475,proftpd,chatafl,1,b_per,15.6
1772380475,proftpd,chatafl,1,b_abs,4055
1772380484,proftpd,chatafl,1,l_per,21.9
1772380484,proftpd,chatafl,1,l_abs,9326
1772380484,proftpd,chatafl,1,b_per,15.6
1772380484,proftpd,chatafl,1,b_abs,4055
1772380494,proftpd,chatafl,1,l_per,21.9
1772380494,proftpd,chatafl,1,l_abs,9326
1772380494,proftpd,chatafl,1,b_per,15.6
1772380494,proftpd,chatafl,1,b_abs,4056
1772380504,proftpd,chatafl,1,l_per,22.0
1772380504,proftpd,chatafl,1,l_abs,9365
1772380504,proftpd,chatafl,1,b_per,15.7
1772380504,proftpd,chatafl,1,b_abs,4092
1772380513,proftpd,chatafl,1,l_per,22.0
1772380513,proftpd,chatafl,1,l_abs,9365
1772380513,proftpd,chatafl,1,b_per,15.7
1772380513,proftpd,chatafl,1,b_abs,4092
1772380522,proftpd,chatafl,1,l_per,22.1
1772380522,proftpd,chatafl,1,l_abs,9425
1772380522,proftpd,chatafl,1,b_per,15.8
1772380522,proftpd,chatafl,1,b_abs,4117
1772380532,proftpd,chatafl,1,l_per,22.1
1772380532,proftpd,chatafl,1,l_abs,9431
1772380532,proftpd,chatafl,1,b_per,15.8
1772380532,proftpd,chatafl,1,b_abs,4119
1772380541,proftpd,chatafl,1,l_per,22.1
1772380541,proftpd,chatafl,1,l_abs,9431
1772380541,proftpd,chatafl,1,b_per,15.8
1772380541,proftpd,chatafl,1,b_abs,4119
1772380549,proftpd,chatafl,1,l_per,22.1
1772380549,proftpd,chatafl,1,l_abs,9437
1772380549,proftpd,chatafl,1,b_per,15.8
1772380549,proftpd,chatafl,1,b_abs,4120
1772380559,proftpd,chatafl,1,l_per,22.2
1772380559,proftpd,chatafl,1,l_abs,9446
1772380559,proftpd,chatafl,1,b_per,15.9
1772380559,proftpd,chatafl,1,b_abs,4122
1772380569,proftpd,chatafl,1,l_per,22.2
1772380569,proftpd,chatafl,1,l_abs,9446
1772380569,proftpd,chatafl,1,b_per,15.9
1772380569,proftpd,chatafl,1,b_abs,4122
1772380571,proftpd,chatafl,1,l_per,22.2
1772380571,proftpd,chatafl,1,l_abs,9457
1772380571,proftpd,chatafl,1,b_per,15.9
1772380571,proftpd,chatafl,1,b_abs,4126
1772380579,proftpd,chatafl,1,l_per,22.2
1772380579,proftpd,chatafl,1,l_abs,9460
1772380579,proftpd,chatafl,1,b_per,15.9
1772380579,proftpd,chatafl,1,b_abs,4129
1772380587,proftpd,chatafl,1,l_per,22.2
1772380587,proftpd,chatafl,1,l_abs,9460
1772380587,proftpd,chatafl,1,b_per,15.9
1772380587,proftpd,chatafl,1,b_abs,4129
1772380596,proftpd,chatafl,1,l_per,22.2
1772380596,proftpd,chatafl,1,l_abs,9465
1772380596,proftpd,chatafl,1,b_per,15.9
1772380596,proftpd,chatafl,1,b_abs,4135
1772380598,proftpd,chatafl,1,l_per,22.3
1772380598,proftpd,chatafl,1,l_abs,9499
1772380598,proftpd,chatafl,1,b_per,16.0
1772380598,proftpd,chatafl,1,b_abs,4151
1772380607,proftpd,chatafl,1,l_per,22.3
1772380607,proftpd,chatafl,1,l_abs,9499
1772380607,proftpd,chatafl,1,b_per,16.0
1772380607,proftpd,chatafl,1,b_abs,4151
1772380615,proftpd,chatafl,1,l_per,22.3
1772380615,proftpd,chatafl,1,l_abs,9499
1772380615,proftpd,chatafl,1,b_per,16.0
1772380615,proftpd,chatafl,1,b_abs,4151
1772380617,proftpd,chatafl,1,l_per,22.3
1772380617,proftpd,chatafl,1,l_abs,9499
1772380617,proftpd,chatafl,1,b_per,16.0
1772380617,proftpd,chatafl,1,b_abs,4152
1772380626,proftpd,chatafl,1,l_per,22.4
1772380626,proftpd,chatafl,1,l_abs,9538
1772380626,proftpd,chatafl,1,b_per,16.0
1772380626,proftpd,chatafl,1,b_abs,4166
1772380635,proftpd,chatafl,1,l_per,22.4
1772380635,proftpd,chatafl,1,l_abs,9538
1772380635,proftpd,chatafl,1,b_per,16.0
1772380635,proftpd,chatafl,1,b_abs,4166
1772380637,proftpd,chatafl,1,l_per,22.4
1772380637,proftpd,chatafl,1,l_abs,9538
1772380637,proftpd,chatafl,1,b_per,16.0
1772380637,proftpd,chatafl,1,b_abs,4166
1772380639,proftpd,chatafl,1,l_per,22.4
1772380639,proftpd,chatafl,1,l_abs,9538
1772380639,proftpd,chatafl,1,b_per,16.0
1772380639,proftpd,chatafl,1,b_abs,4166
1772380640,proftpd,chatafl,1,l_per,22.5
1772380640,proftpd,chatafl,1,l_abs,9591
1772380640,proftpd,chatafl,1,b_per,16.1
1772380640,proftpd,chatafl,1,b_abs,4183
1772380642,proftpd,chatafl,1,l_per,22.5
1772380642,proftpd,chatafl,1,l_abs,9591
1772380642,proftpd,chatafl,1,b_per,16.1
1772380642,proftpd,chatafl,1,b_abs,4183
1772380643,proftpd,chatafl,1,l_per,22.5
1772380643,proftpd,chatafl,1,l_abs,9598
1772380643,proftpd,chatafl,1,b_per,16.1
1772380643,proftpd,chatafl,1,b_abs,4185
1772380645,proftpd,chatafl,1,l_per,22.5
1772380645,proftpd,chatafl,1,l_abs,9598
1772380645,proftpd,chatafl,1,b_per,16.1
1772380645,proftpd,chatafl,1,b_abs,4185
1772380654,proftpd,chatafl,1,l_per,22.5
1772380654,proftpd,chatafl,1,l_abs,9598
1772380654,proftpd,chatafl,1,b_per,16.1
1772380654,proftpd,chatafl,1,b_abs,4185
1772380656,proftpd,chatafl,1,l_per,22.5
1772380656,proftpd,chatafl,1,l_abs,9604
1772380656,proftpd,chatafl,1,b_per,16.1
1772380656,proftpd,chatafl,1,b_abs,4186
1772380666,proftpd,chatafl,1,l_per,22.6
1772380666,proftpd,chatafl,1,l_abs,9630
1772380666,proftpd,chatafl,1,b_per,16.1
1772380666,proftpd,chatafl,1,b_abs,4198
1772380668,proftpd,chatafl,1,l_per,22.6
1772380668,proftpd,chatafl,1,l_abs,9657
1772380668,proftpd,chatafl,1,b_per,16.2
1772380668,proftpd,chatafl,1,b_abs,4209
1772380669,proftpd,chatafl,1,l_per,22.6
1772380669,proftpd,chatafl,1,l_abs,9657
1772380669,proftpd,chatafl,1,b_per,16.2
1772380669,proftpd,chatafl,1,b_abs,4209
1772380671,proftpd,chatafl,1,l_per,22.6
1772380671,proftpd,chatafl,1,l_abs,9657
1772380671,proftpd,chatafl,1,b_per,16.2
1772380671,proftpd,chatafl,1,b_abs,4209
1772380673,proftpd,chatafl,1,l_per,22.7
1772380673,proftpd,chatafl,1,l_abs,9661
1772380673,proftpd,chatafl,1,b_per,16.2
1772380673,proftpd,chatafl,1,b_abs,4213
1772380682,proftpd,chatafl,1,l_per,22.7
1772380682,proftpd,chatafl,1,l_abs,9684
1772380682,proftpd,chatafl,1,b_per,16.3
1772380682,proftpd,chatafl,1,b_abs,4231
1772380684,proftpd,chatafl,1,l_per,22.7
1772380684,proftpd,chatafl,1,l_abs,9684
1772380684,proftpd,chatafl,1,b_per,16.3
1772380684,proftpd,chatafl,1,b_abs,4231
1772380686,proftpd,chatafl,1,l_per,22.7
1772380686,proftpd,chatafl,1,l_abs,9684
1772380686,proftpd,chatafl,1,b_per,16.3
1772380686,proftpd,chatafl,1,b_abs,4231
1772380688,proftpd,chatafl,1,l_per,22.7
1772380688,proftpd,chatafl,1,l_abs,9684
1772380688,proftpd,chatafl,1,b_per,16.3
1772380688,proftpd,chatafl,1,b_abs,4231
1772380698,proftpd,chatafl,1,l_per,22.7
1772380698,proftpd,chatafl,1,l_abs,9687
1772380698,proftpd,chatafl,1,b_per,16.3
1772380698,proftpd,chatafl,1,b_abs,4233
1772380707,proftpd,chatafl,1,l_per,22.9
1772380707,proftpd,chatafl,1,l_abs,9771
1772380707,proftpd,chatafl,1,b_per,16.4
1772380707,proftpd,chatafl,1,b_abs,4275
1772380709,proftpd,chatafl,1,l_per,23.0
1772380709,proftpd,chatafl,1,l_abs,9787
1772380709,proftpd,chatafl,1,b_per,16.5
1772380709,proftpd,chatafl,1,b_abs,4286
1772380719,proftpd,chatafl,1,l_per,23.0
1772380719,proftpd,chatafl,1,l_abs,9787
1772380719,proftpd,chatafl,1,b_per,16.5
1772380719,proftpd,chatafl,1,b_abs,4286
1772380730,proftpd,chatafl,1,l_per,23.0
1772380730,proftpd,chatafl,1,l_abs,9787
1772380730,proftpd,chatafl,1,b_per,16.5
1772380730,proftpd,chatafl,1,b_abs,4286
1772380732,proftpd,chatafl,1,l_per,23.0
1772380732,proftpd,chatafl,1,l_abs,9787
1772380732,proftpd,chatafl,1,b_per,16.5
1772380732,proftpd,chatafl,1,b_abs,4286
1772380733,proftpd,chatafl,1,l_per,23.0
1772380733,proftpd,chatafl,1,l_abs,9787
1772380733,proftpd,chatafl,1,b_per,16.5
1772380733,proftpd,chatafl,1,b_abs,4286
1772380735,proftpd,chatafl,1,l_per,23.0
1772380735,proftpd,chatafl,1,l_abs,9787
1772380735,proftpd,chatafl,1,b_per,16.5
1772380735,proftpd,chatafl,1,b_abs,4286
1772380737,proftpd,chatafl,1,l_per,23.0
1772380737,proftpd,chatafl,1,l_abs,9787
1772380737,proftpd,chatafl,1,b_per,16.5
1772380737,proftpd,chatafl,1,b_abs,4286
1772380746,proftpd,chatafl,1,l_per,23.0
1772380746,proftpd,chatafl,1,l_abs,9792
1772380746,proftpd,chatafl,1,b_per,16.5
1772380746,proftpd,chatafl,1,b_abs,4289
1772380755,proftpd,chatafl,1,l_per,23.1
1772380755,proftpd,chatafl,1,l_abs,9847
1772380755,proftpd,chatafl,1,b_per,16.6
1772380755,proftpd,chatafl,1,b_abs,4310
1772380756,proftpd,chatafl,1,l_per,23.1
1772380756,proftpd,chatafl,1,l_abs,9847
1772380756,proftpd,chatafl,1,b_per,16.6
1772380756,proftpd,chatafl,1,b_abs,4310
1772380758,proftpd,chatafl,1,l_per,23.1
1772380758,proftpd,chatafl,1,l_abs,9847
1772380758,proftpd,chatafl,1,b_per,16.6
1772380758,proftpd,chatafl,1,b_abs,4310
1772380760,proftpd,chatafl,1,l_per,23.1
1772380760,proftpd,chatafl,1,l_abs,9858
1772380760,proftpd,chatafl,1,b_per,16.6
1772380760,proftpd,chatafl,1,b_abs,4321
1772380762,proftpd,chatafl,1,l_per,23.1
1772380762,proftpd,chatafl,1,l_abs,9858
1772380762,proftpd,chatafl,1,b_per,16.6
1772380762,proftpd,chatafl,1,b_abs,4322
1772380772,proftpd,chatafl,1,l_per,23.1
1772380772,proftpd,chatafl,1,l_abs,9858
1772380772,proftpd,chatafl,1,b_per,16.6
1772380772,proftpd,chatafl,1,b_abs,4322
1772380774,proftpd,chatafl,1,l_per,23.1
1772380774,proftpd,chatafl,1,l_abs,9858
1772380774,proftpd,chatafl,1,b_per,16.6
1772380774,proftpd,chatafl,1,b_abs,4322
1772380784,proftpd,chatafl,1,l_per,23.1
1772380784,proftpd,chatafl,1,l_abs,9871
1772380784,proftpd,chatafl,1,b_per,16.7
1772380784,proftpd,chatafl,1,b_abs,4331
1772380786,proftpd,chatafl,1,l_per,23.2
1772380786,proftpd,chatafl,1,l_abs,9876
1772380786,proftpd,chatafl,1,b_per,16.7
1772380786,proftpd,chatafl,1,b_abs,4334
1772380788,proftpd,chatafl,1,l_per,23.2
1772380788,proftpd,chatafl,1,l_abs,9876
1772380788,proftpd,chatafl,1,b_per,16.7
1772380788,proftpd,chatafl,1,b_abs,4334
1772380790,proftpd,chatafl,1,l_per,23.2
1772380790,proftpd,chatafl,1,l_abs,9876
1772380790,proftpd,chatafl,1,b_per,16.7
1772380790,proftpd,chatafl,1,b_abs,4334
1772380792,proftpd,chatafl,1,l_per,23.2
1772380792,proftpd,chatafl,1,l_abs,9876
1772380792,proftpd,chatafl,1,b_per,16.7
1772380792,proftpd,chatafl,1,b_abs,4334
1772380800,proftpd,chatafl,1,l_per,23.2
1772380800,proftpd,chatafl,1,l_abs,9876
1772380800,proftpd,chatafl,1,b_per,16.7
1772380800,proftpd,chatafl,1,b_abs,4334
1772380809,proftpd,chatafl,1,l_per,23.2
1772380809,proftpd,chatafl,1,l_abs,9876
1772380809,proftpd,chatafl,1,b_per,16.7
1772380809,proftpd,chatafl,1,b_abs,4334
1772380811,proftpd,chatafl,1,l_per,23.2
1772380811,proftpd,chatafl,1,l_abs,9876
1772380811,proftpd,chatafl,1,b_per,16.7
1772380811,proftpd,chatafl,1,b_abs,4334
1772380823,proftpd,chatafl,1,l_per,23.2
1772380823,proftpd,chatafl,1,l_abs,9885
1772380823,proftpd,chatafl,1,b_per,16.7
1772380823,proftpd,chatafl,1,b_abs,4337
1772380825,proftpd,chatafl,1,l_per,23.2
1772380825,proftpd,chatafl,1,l_abs,9885
1772380825,proftpd,chatafl,1,b_per,16.7
1772380825,proftpd,chatafl,1,b_abs,4337
1772380827,proftpd,chatafl,1,l_per,23.2
1772380827,proftpd,chatafl,1,l_abs,9885
1772380827,proftpd,chatafl,1,b_per,16.7
1772380827,proftpd,chatafl,1,b_abs,4337
1772380828,proftpd,chatafl,1,l_per,23.2
1772380828,proftpd,chatafl,1,l_abs,9885
