time,subject,fuzzer,run,state_type,state
1772951330,proftpd,aflnet,1,nodes,13
1772951330,proftpd,aflnet,1,edges,23
1772951340,proftpd,aflnet,1,nodes,13
1772951340,proftpd,aflnet,1,edges,23
1772951345,proftpd,aflnet,1,nodes,13
1772951345,proftpd,aflnet,1,edges,23
1772951350,proftpd,aflnet,1,nodes,13
1772951350,proftpd,aflnet,1,edges,23
1772951355,proftpd,aflnet,1,nodes,14
1772951355,proftpd,aflnet,1,edges,25
1772951360,proftpd,aflnet,1,nodes,14
1772951360,proftpd,aflnet,1,edges,25
1772951365,proftpd,aflnet,1,nodes,14
1772951365,proftpd,aflnet,1,edges,27
1772951370,proftpd,aflnet,1,nodes,14
1772951370,proftpd,aflnet,1,edges,27
1772951376,proftpd,aflnet,1,nodes,14
1772951376,proftpd,aflnet,1,edges,27
1772951381,proftpd,aflnet,1,nodes,14
1772951381,proftpd,aflnet,1,edges,27
1772951386,proftpd,aflnet,1,nodes,14
1772951386,proftpd,aflnet,1,edges,27
1772951391,proftpd,aflnet,1,nodes,14
1772951391,proftpd,aflnet,1,edges,28
1772951396,proftpd,aflnet,1,nodes,14
1772951396,proftpd,aflnet,1,edges,29
1772951401,proftpd,aflnet,1,nodes,14
1772951401,proftpd,aflnet,1,edges,29
1772951406,proftpd,aflnet,1,nodes,14
1772951406,proftpd,aflnet,1,edges,30
1772951412,proftpd,aflnet,1,nodes,14
1772951412,proftpd,aflnet,1,edges,30
1772951417,proftpd,aflnet,1,nodes,14
1772951417,proftpd,aflnet,1,edges,30
1772951422,proftpd,aflnet,1,nodes,14
1772951422,proftpd,aflnet,1,edges,30
1772951427,proftpd,aflnet,1,nodes,14
1772951427,proftpd,aflnet,1,edges,30
1772951432,proftpd,aflnet,1,nodes,14
1772951432,proftpd,aflnet,1,edges,30
1772951437,proftpd,aflnet,1,nodes,14
1772951437,proftpd,aflnet,1,edges,30
1772951442,proftpd,aflnet,1,nodes,14
1772951442,proftpd,aflnet,1,edges,30
1772951447,proftpd,aflnet,1,nodes,14
1772951447,proftpd,aflnet,1,edges,32
1772951453,proftpd,aflnet,1,nodes,14
1772951453,proftpd,aflnet,1,edges,32
1772951458,proftpd,aflnet,1,nodes,14
1772951458,proftpd,aflnet,1,edges,32
1772951463,proftpd,aflnet,1,nodes,14
1772951463,proftpd,aflnet,1,edges,32
1772951468,proftpd,aflnet,1,nodes,14
1772951468,proftpd,aflnet,1,edges,32
1772951473,proftpd,aflnet,1,nodes,14
1772951473,proftpd,aflnet,1,edges,32
1772951478,proftpd,aflnet,1,nodes,14
1772951478,proftpd,aflnet,1,edges,32
1772951483,proftpd,aflnet,1,nodes,14
