subject,fuzzer,data_type,time,data
proftpd,aflnet,nodes,0,0.0
proftpd,aflnet,nodes,1,14.0
proftpd,aflnet,nodes,61,18.5
proftpd,aflnet,edges,0,0.0
proftpd,aflnet,edges,1,25.0
proftpd,aflnet,edges,61,93.0
proftpd,chatafl,nodes,0,0.0
proftpd,chatafl,nodes,1,20.0
proftpd,chatafl,nodes,61,24.0
proftpd,chatafl,edges,0,0.0
proftpd,chatafl,edges,1,113.5
proftpd,chatafl,edges,61,158.0
proftpd,chatafl_opt,nodes,0,0.0
proftpd,chatafl_opt,nodes,1,20.0
proftpd,chatafl_opt,nodes,61,23.5
proftpd,chatafl_opt,edges,0,0.0
proftpd,chatafl_opt,edges,1,98.5
proftpd,chatafl_opt,edges,61,163.5
