fuzzer,run,runtime_min,llm_calls,prompt_tokens,completion_tokens,dedup_hits,cost_usd,prompt_per_24h,compl_per_24h,cost_per_24h,token_source
chatafl,1,1460,193,21340,52545,0,0.034728,21048,51825,0.034252,exact
chatafl,2,1462,193,21015,53661,0,0.035349,20699,52854,0.034817,exact
chatafl,3,1461,193,21112,54012,0,0.035574,20809,53236,0.035063,exact
chatafl,4,1463,191,20872,52077,0,0.034377,20544,51258,0.033837,exact
chatafl,5,1461,190,20212,48484,0,0.032122,19921,47787,0.031660,exact
chatafl,6,1464,190,19984,47233,0,0.031337,19656,46459,0.030824,exact
chatafl,7,1464,193,20995,51322,0,0.033942,20651,50481,0.033386,exact
chatafl,8,1461,190,20159,47273,0,0.031388,19869,46594,0.030936,exact
chatafl_opt,1,1465,236,147289,22438,0,0.035556,144776,22055,0.034949,exact
chatafl_opt,2,1465,243,159105,21771,0,0.036928,156390,21399,0.036298,exact
chatafl_opt,3,1467,248,165070,22230,0,0.038099,162032,21821,0.037397,exact
chatafl_opt,4,1477,228,135573,20641,0,0.032721,132177,20124,0.031901,exact
chatafl_opt,5,1477,241,151971,22563,0,0.036333,148164,21998,0.035423,exact
chatafl_opt,6,1477,230,137412,20739,0,0.033055,133970,20219,0.032227,exact
chatafl_opt,7,1465,236,147289,22438,0,0.035556,144776,22055,0.034949,exact
chatafl_opt,8,1465,243,159105,21771,0,0.036928,156390,21399,0.036298,exact
chatafl_opt,9,1467,248,165070,22230,0,0.038099,162032,21821,0.037397,exact
