time,subject,fuzzer,run,cov_type,cov
1773673867,proftpd,aflnet,1,l_per,18.7
1773673867,proftpd,aflnet,1,l_abs,7972
1773673867,proftpd,aflnet,1,b_per,13.0
1773673867,proftpd,aflnet,1,b_abs,3373
1773673871,proftpd,aflnet,1,l_per,19.3
1773673871,proftpd,aflnet,1,l_abs,8223
1773673871,proftpd,aflnet,1,b_per,13.5
1773673871,proftpd,aflnet,1,b_abs,3506
1773673876,proftpd,aflnet,1,l_per,20.9
1773673876,proftpd,aflnet,1,l_abs,8901
1773673876,proftpd,aflnet,1,b_per,14.9
1773673876,proftpd,aflnet,1,b_abs,3864
1773673880,proftpd,aflnet,1,l_per,21.0
1773673880,proftpd,aflnet,1,l_abs,8962
1773673880,proftpd,aflnet,1,b_per,15.0
1773673880,proftpd,aflnet,1,b_abs,3902
1773673994,proftpd,aflnet,1,l_per,21.3
1773673994,proftpd,aflnet,1,l_abs,9074
1773673994,proftpd,aflnet,1,b_per,15.3
1773673994,proftpd,aflnet,1,b_abs,3978
1773674115,proftpd,aflnet,1,l_per,21.3
1773674115,proftpd,aflnet,1,l_abs,9085
1773674115,proftpd,aflnet,1,b_per,15.4
1773674115,proftpd,aflnet,1,b_abs,3992
1773674241,proftpd,aflnet,1,l_per,21.4
1773674241,proftpd,aflnet,1,l_abs,9107
1773674241,proftpd,aflnet,1,b_per,15.4
1773674241,proftpd,aflnet,1,b_abs,4007
1773674330,proftpd,aflnet,1,l_per,21.4
1773674330,proftpd,aflnet,1,l_abs,9107
1773674330,proftpd,aflnet,1,b_per,15.4
1773674330,proftpd,aflnet,1,b_abs,4007
1773674429,proftpd,aflnet,1,l_per,21.4
1773674429,proftpd,aflnet,1,l_abs,9136
1773674429,proftpd,aflnet,1,b_per,15.4
1773674429,proftpd,aflnet,1,b_abs,4012
1773674549,proftpd,aflnet,1,l_per,21.5
1773674549,proftpd,aflnet,1,l_abs,9147
1773674549,proftpd,aflnet,1,b_per,15.4
1773674549,proftpd,aflnet,1,b_abs,4014
1773674691,proftpd,aflnet,1,l_per,21.5
1773674691,proftpd,aflnet,1,l_abs,9147
1773674691,proftpd,aflnet,1,b_per,15.4
1773674691,proftpd,aflnet,1,b_abs,4014
1773674833,proftpd,aflnet,1,l_per,21.5
1773674833,proftpd,aflnet,1,l_abs,9153
1773674833,proftpd,aflnet,1,b_per,15.4
1773674833,proftpd,aflnet,1,b_abs,4015
1773675002,proftpd,aflnet,1,l_per,21.5
1773675002,proftpd,aflnet,1,l_abs,9155
1773675002,proftpd,aflnet,1,b_per,15.5
1773675002,proftpd,aflnet,1,b_abs,4018
