subject,fuzzer,data_type,time,data
proftpd,aflnet,nodes,0,0.0
proftpd,aflnet,nodes,1,14.0
proftpd,aflnet,nodes,61,19.1
proftpd,aflnet,nodes,121,21.0
proftpd,aflnet,nodes,181,21.7
proftpd,aflnet,nodes,241,22.3
proftpd,aflnet,nodes,301,22.5
proftpd,aflnet,nodes,361,22.5
proftpd,aflnet,nodes,421,22.6
proftpd,aflnet,nodes,481,22.7
proftpd,aflnet,nodes,541,22.9
proftpd,aflnet,nodes,601,22.9
proftpd,aflnet,nodes,661,23.1
proftpd,aflnet,nodes,721,23.1
proftpd,aflnet,nodes,781,23.3
proftpd,aflnet,nodes,841,23.5
proftpd,aflnet,nodes,901,23.5
proftpd,aflnet,nodes,961,23.5
proftpd,aflnet,nodes,1021,23.5
proftpd,aflnet,nodes,1081,23.5
proftpd,aflnet,nodes,1141,23.5
proftpd,aflnet,nodes,1201,23.5
proftpd,aflnet,nodes,1261,23.5
proftpd,aflnet,nodes,1321,23.5
proftpd,aflnet,nodes,1381,23.5
proftpd,aflnet,edges,0,0.0
proftpd,aflnet,edges,1,28.3
proftpd,aflnet,edges,61,102.2
proftpd,aflnet,edges,121,126.9
proftpd,aflnet,edges,181,144.7
proftpd,aflnet,edges,241,153.8
proftpd,aflnet,edges,301,159.8
proftpd,aflnet,edges,361,162.8
proftpd,aflnet,edges,421,165.4
proftpd,aflnet,edges,481,166.8
proftpd,aflnet,edges,541,168.8
proftpd,aflnet,edges,601,169.6
proftpd,aflnet,edges,661,171.4
proftpd,aflnet,edges,721,172.5
proftpd,aflnet,edges,781,174.8
proftpd,aflnet,edges,841,175.8
proftpd,aflnet,edges,901,176.6
proftpd,aflnet,edges,961,177.4
proftpd,aflnet,edges,1021,177.9
proftpd,aflnet,edges,1081,178.4
proftpd,aflnet,edges,1141,178.8
proftpd,aflnet,edges,1201,179.1
proftpd,aflnet,edges,1261,179.2
proftpd,aflnet,edges,1321,179.8
proftpd,aflnet,edges,1381,180.2
proftpd,chatafl,nodes,0,0.0
proftpd,chatafl,nodes,1,21.7
proftpd,chatafl,nodes,61,23.7
proftpd,chatafl,nodes,121,24.5
proftpd,chatafl,nodes,181,25.1
proftpd,chatafl,nodes,241,25.6
proftpd,chatafl,nodes,301,25.8
proftpd,chatafl,nodes,361,26.4
proftpd,chatafl,nodes,421,26.5
proftpd,chatafl,nodes,481,26.6
proftpd,chatafl,nodes,541,26.8
proftpd,chatafl,nodes,601,27.0
proftpd,chatafl,nodes,661,27.1
proftpd,chatafl,nodes,721,27.2
proftpd,chatafl,nodes,781,27.2
proftpd,chatafl,nodes,841,27.3
proftpd,chatafl,nodes,901,27.3
proftpd,chatafl,nodes,961,27.4
proftpd,chatafl,nodes,1021,27.4
proftpd,chatafl,nodes,1081,27.4
proftpd,chatafl,nodes,1141,27.4
proftpd,chatafl,nodes,1201,27.4
proftpd,chatafl,nodes,1261,27.4
proftpd,chatafl,nodes,1321,27.4
proftpd,chatafl,nodes,1381,27.4
proftpd,chatafl,edges,0,0.0
proftpd,chatafl,edges,1,118.7
proftpd,chatafl,edges,61,162.9
proftpd,chatafl,edges,121,173.9
proftpd,chatafl,edges,181,186.5
proftpd,chatafl,edges,241,200.6
proftpd,chatafl,edges,301,207.3
proftpd,chatafl,edges,361,214.0
proftpd,chatafl,edges,421,218.6
proftpd,chatafl,edges,481,222.9
proftpd,chatafl,edges,541,225.0
proftpd,chatafl,edges,601,228.4
proftpd,chatafl,edges,661,230.3
proftpd,chatafl,edges,721,231.7
proftpd,chatafl,edges,781,232.4
proftpd,chatafl,edges,841,234.0
proftpd,chatafl,edges,901,234.6
proftpd,chatafl,edges,961,235.7
proftpd,chatafl,edges,1021,235.7
proftpd,chatafl,edges,1081,236.7
proftpd,chatafl,edges,1141,237.2
proftpd,chatafl,edges,1201,237.7
proftpd,chatafl,edges,1261,238.4
proftpd,chatafl,edges,1321,239.0
proftpd,chatafl,edges,1381,239.3
proftpd,chatafl_opt,nodes,0,0.0
proftpd,chatafl_opt,nodes,1,21.4
proftpd,chatafl_opt,nodes,61,24.2
proftpd,chatafl_opt,nodes,121,25.8
proftpd,chatafl_opt,nodes,181,26.4
proftpd,chatafl_opt,nodes,241,26.6
proftpd,chatafl_opt,nodes,301,26.9
proftpd,chatafl_opt,nodes,361,27.0
proftpd,chatafl_opt,nodes,421,27.4
proftpd,chatafl_opt,nodes,481,27.6
proftpd,chatafl_opt,nodes,541,28.0
proftpd,chatafl_opt,nodes,601,28.1
proftpd,chatafl_opt,nodes,661,28.1
proftpd,chatafl_opt,nodes,721,28.3
proftpd,chatafl_opt,nodes,781,28.3
proftpd,chatafl_opt,nodes,841,28.3
proftpd,chatafl_opt,nodes,901,28.3
proftpd,chatafl_opt,nodes,961,28.3
proftpd,chatafl_opt,nodes,1021,28.3
proftpd,chatafl_opt,nodes,1081,28.5
proftpd,chatafl_opt,nodes,1141,28.5
proftpd,chatafl_opt,nodes,1201,28.5
proftpd,chatafl_opt,nodes,1261,28.5
proftpd,chatafl_opt,nodes,1321,28.5
proftpd,chatafl_opt,nodes,1381,28.5
proftpd,chatafl_opt,edges,0,0.0
proftpd,chatafl_opt,edges,1,105.0
proftpd,chatafl_opt,edges,61,172.1
proftpd,chatafl_opt,edges,121,209.7
proftpd,chatafl_opt,edges,181,225.2
proftpd,chatafl_opt,edges,241,239.8
proftpd,chatafl_opt,edges,301,249.4
proftpd,chatafl_opt,edges,361,255.4
proftpd,chatafl_opt,edges,421,259.8
proftpd,chatafl_opt,edges,481,262.8
proftpd,chatafl_opt,edges,541,265.2
proftpd,chatafl_opt,edges,601,266.8
proftpd,chatafl_opt,edges,661,268.9
proftpd,chatafl_opt,edges,721,271.3
proftpd,chatafl_opt,edges,781,272.9
proftpd,chatafl_opt,edges,841,273.9
proftpd,chatafl_opt,edges,901,274.5
proftpd,chatafl_opt,edges,961,275.2
proftpd,chatafl_opt,edges,1021,277.1
proftpd,chatafl_opt,edges,1081,278.7
proftpd,chatafl_opt,edges,1141,279.6
proftpd,chatafl_opt,edges,1201,280.8
proftpd,chatafl_opt,edges,1261,281.2
proftpd,chatafl_opt,edges,1321,281.5
proftpd,chatafl_opt,edges,1381,281.9
