subject,fuzzer,run,source,runtime_min,elapsed_min,l_abs,b_abs,nodes,edges,start_time,last_update
proftpd,aflnet,1,out-proftpd-aflnet_1.tar.gz,1479,1479,10841,4938,22,180,1773673865,1773762660
proftpd,aflnet,2,out-proftpd-aflnet_2.tar.gz,1479,1479,10898,4981,26,219,1773673866,1773762660
proftpd,aflnet,3,out-proftpd-aflnet_3.tar.gz,1479,1479,10622,4802,28,222,1773673866,1773762663
proftpd,aflnet,4,out-proftpd-aflnet_4.tar.gz,1479,1479,10573,4762,22,165,1774173814,1774262611
proftpd,aflnet,5,out-proftpd-aflnet_5.tar.gz,1479,1479,10945,5006,25,178,1774173814,1774262611
proftpd,aflnet,6,out-proftpd-aflnet_6.tar.gz,1479,1479,10652,4846,23,163,1774173815,1774262612
proftpd,aflnet,7,out-proftpd-aflnet_7.tar.gz,1479,1479,10809,4919,22,164,1774173815,1774262612
proftpd,aflnet,8,out-proftpd-aflnet_8.tar.gz,1479,1479,10803,4937,22,186,1774173815,1774262612
proftpd,aflnet,9,out-proftpd-aflnet_9.tar.gz,1479,1479,10793,4915,22,174,1774173816,1774262612
proftpd,aflnet,10,out-proftpd-aflnet_10.tar.gz,1479,1479,11145,5093,23,154,1774617796,1774706582
proftpd,chatafl,1,out-proftpd-chatafl_1.tar.gz,1460,1460,11978,5505,28,257,1773675019,1773762669
proftpd,chatafl,2,out-proftpd-chatafl_2.tar.gz,1462,1462,11374,5209,23,194,1773674929,1773762669
proftpd,chatafl,3,out-proftpd-chatafl_3.tar.gz,1461,1461,11393,5242,27,235,1773674997,1773762670
proftpd,chatafl,4,out-proftpd-chatafl_4.tar.gz,1463,1463,11775,5400,28,249,1774411126,1774498916
proftpd,chatafl,5,out-proftpd-chatafl_5.tar.gz,1461,1461,11620,5323,28,253,1774411237,1774498915
proftpd,chatafl,6,out-proftpd-chatafl_6.tar.gz,1464,1464,11753,5394,28,236,1774411079,1774498920
proftpd,chatafl,7,out-proftpd-chatafl_7.tar.gz,1464,1464,11762,5343,27,215,1774411064,1774498919
proftpd,chatafl,8,out-proftpd-chatafl_8.tar.gz,1461,1461,11892,5493,29,275,1774411212,1774498920
proftpd,chatafl,9,out-proftpd-chatafl_9.tar.gz,1459,1459,12081,5549,28,248,1774411350,1774498922
proftpd,chatafl,10,out-proftpd-chatafl_10.tar.gz,1457,1457,11421,5234,28,233,1774620789,1774708218
proftpd,chatafl_opt,1,out-proftpd-chatafl_opt_1.tar.gz,1465,1465,12647,5815,29,308,1773770290,1773858222
proftpd,chatafl_opt,2,out-proftpd-chatafl_opt_2.tar.gz,1465,1465,12008,5492,29,273,1773770274,1773858224
proftpd,chatafl_opt,3,out-proftpd-chatafl_opt_3.tar.gz,1467,1467,11564,5309,28,285,1773770194,1773858223
proftpd,chatafl_opt,4,out-proftpd-chatafl_opt_4.tar.gz,1465,1465,12647,5815,29,308,1773770290,1773858222
proftpd,chatafl_opt,5,out-proftpd-chatafl_opt_5.tar.gz,1465,1465,12008,5492,29,273,1773770274,1773858224
proftpd,chatafl_opt,6,out-proftpd-chatafl_opt_6.tar.gz,1465,1465,12260,5661,29,284,1773780118,1773868069
proftpd,chatafl_opt,7,out-proftpd-chatafl_opt_7.tar.gz,1467,1467,11647,5333,29,288,1773780039,1773868070
proftpd,chatafl_opt,8,out-proftpd-chatafl_opt_8.tar.gz,1466,1466,12335,5680,28,275,1773780077,1773868070
proftpd,chatafl_opt,9,out-proftpd-chatafl_opt_9.tar.gz,1477,1477,12286,5655,27,267,1774282693,1774371314
proftpd,chatafl_opt,10,out-proftpd-chatafl_opt_10.tar.gz,1477,1477,12077,5554,28,263,1774282663,1774371314
