time,subject,fuzzer,run,cov_type,cov
1771849297,pure-ftpd,chatafl,1,l_per,13.5
1771849297,pure-ftpd,chatafl,1,l_abs,875
1771849297,pure-ftpd,chatafl,1,b_per,8.6
1771849297,pure-ftpd,chatafl,1,b_abs,406
1771849297,pure-ftpd,chatafl,1,l_per,15.3
1771849297,pure-ftpd,chatafl,1,l_abs,991
1771849297,pure-ftpd,chatafl,1,b_per,10.2
1771849297,pure-ftpd,chatafl,1,b_abs,480
1771849297,pure-ftpd,chatafl,1,l_per,17.2
1771849297,pure-ftpd,chatafl,1,l_abs,1113
1771849297,pure-ftpd,chatafl,1,b_per,11.6
1771849297,pure-ftpd,chatafl,1,b_abs,544
1771849298,pure-ftpd,chatafl,1,l_per,18.0
1771849298,pure-ftpd,chatafl,1,l_abs,1164
1771849298,pure-ftpd,chatafl,1,b_per,12.2
1771849298,pure-ftpd,chatafl,1,b_abs,575
1771849298,pure-ftpd,chatafl,1,l_per,18.6
1771849298,pure-ftpd,chatafl,1,l_abs,1205
1771849298,pure-ftpd,chatafl,1,b_per,12.6
1771849298,pure-ftpd,chatafl,1,b_abs,591
1771849299,pure-ftpd,chatafl,1,l_per,22.5
1771849299,pure-ftpd,chatafl,1,l_abs,1460
1771849299,pure-ftpd,chatafl,1,b_per,15.6
1771849299,pure-ftpd,chatafl,1,b_abs,734
1771849299,pure-ftpd,chatafl,1,l_per,22.6
1771849299,pure-ftpd,chatafl,1,l_abs,1466
1771849299,pure-ftpd,chatafl,1,b_per,15.7
1771849299,pure-ftpd,chatafl,1,b_abs,738
1771849300,pure-ftpd,chatafl,1,l_per,22.8
1771849300,pure-ftpd,chatafl,1,l_abs,1479
1771849300,pure-ftpd,chatafl,1,b_per,15.7
1771849300,pure-ftpd,chatafl,1,b_abs,741
1771849300,pure-ftpd,chatafl,1,l_per,22.8
1771849300,pure-ftpd,chatafl,1,l_abs,1479
1771849300,pure-ftpd,chatafl,1,b_per,15.7
1771849300,pure-ftpd,chatafl,1,b_abs,741
1771849300,pure-ftpd,chatafl,1,l_per,22.8
1771849300,pure-ftpd,chatafl,1,l_abs,1479
1771849300,pure-ftpd,chatafl,1,b_per,15.7
1771849300,pure-ftpd,chatafl,1,b_abs,741
1771849301,pure-ftpd,chatafl,1,l_per,22.8
1771849301,pure-ftpd,chatafl,1,l_abs,1479
1771849301,pure-ftpd,chatafl,1,b_per,15.7
1771849301,pure-ftpd,chatafl,1,b_abs,741
1771849302,pure-ftpd,chatafl,1,l_per,23.2
1771849302,pure-ftpd,chatafl,1,l_abs,1504
1771849302,pure-ftpd,chatafl,1,b_per,15.8
1771849302,pure-ftpd,chatafl,1,b_abs,745
1771849302,pure-ftpd,chatafl,1,l_per,23.2
1771849302,pure-ftpd,chatafl,1,l_abs,1507
1771849302,pure-ftpd,chatafl,1,b_per,15.9
1771849302,pure-ftpd,chatafl,1,b_abs,747
1771849302,pure-ftpd,chatafl,1,l_per,23.2
1771849302,pure-ftpd,chatafl,1,l_abs,1508
1771849302,pure-ftpd,chatafl,1,b_per,15.9
1771849302,pure-ftpd,chatafl,1,b_abs,748
1771849303,pure-ftpd,chatafl,1,l_per,23.4
1771849303,pure-ftpd,chatafl,1,l_abs,1516
1771849303,pure-ftpd,chatafl,1,b_per,16.0
1771849303,pure-ftpd,chatafl,1,b_abs,752
1771849305,pure-ftpd,chatafl,1,l_per,23.4
1771849305,pure-ftpd,chatafl,1,l_abs,1516
1771849305,pure-ftpd,chatafl,1,b_per,16.0
1771849305,pure-ftpd,chatafl,1,b_abs,752
1771849305,pure-ftpd,chatafl,1,l_per,23.4
1771849305,pure-ftpd,chatafl,1,l_abs,1517
1771849305,pure-ftpd,chatafl,1,b_per,16.0
1771849305,pure-ftpd,chatafl,1,b_abs,753
1771849309,pure-ftpd,chatafl,1,l_per,23.4
1771849309,pure-ftpd,chatafl,1,l_abs,1517
1771849309,pure-ftpd,chatafl,1,b_per,16.0
1771849309,pure-ftpd,chatafl,1,b_abs,753
1771849311,pure-ftpd,chatafl,1,l_per,23.4
1771849311,pure-ftpd,chatafl,1,l_abs,1519
1771849311,pure-ftpd,chatafl,1,b_per,16.0
1771849311,pure-ftpd,chatafl,1,b_abs,754
1771849311,pure-ftpd,chatafl,1,l_per,23.4
1771849311,pure-ftpd,chatafl,1,l_abs,1519
1771849311,pure-ftpd,chatafl,1,b_per,16.0
1771849311,pure-ftpd,chatafl,1,b_abs,754
1771849314,pure-ftpd,chatafl,1,l_per,23.7
1771849314,pure-ftpd,chatafl,1,l_abs,1539
1771849314,pure-ftpd,chatafl,1,b_per,16.2
1771849314,pure-ftpd,chatafl,1,b_abs,763
1771849316,pure-ftpd,chatafl,1,l_per,23.7
1771849316,pure-ftpd,chatafl,1,l_abs,1541
1771849316,pure-ftpd,chatafl,1,b_per,16.3
1771849316,pure-ftpd,chatafl,1,b_abs,765
1771849317,pure-ftpd,chatafl,1,l_per,23.7
1771849317,pure-ftpd,chatafl,1,l_abs,1541
1771849317,pure-ftpd,chatafl,1,b_per,16.3
1771849317,pure-ftpd,chatafl,1,b_abs,765
1771849317,pure-ftpd,chatafl,1,l_per,23.8
1771849317,pure-ftpd,chatafl,1,l_abs,1542
1771849317,pure-ftpd,chatafl,1,b_per,16.3
1771849317,pure-ftpd,chatafl,1,b_abs,766
1771849318,pure-ftpd,chatafl,1,l_per,23.8
1771849318,pure-ftpd,chatafl,1,l_abs,1542
1771849318,pure-ftpd,chatafl,1,b_per,16.3
1771849318,pure-ftpd,chatafl,1,b_abs,766
1771849318,pure-ftpd,chatafl,1,l_per,23.8
1771849318,pure-ftpd,chatafl,1,l_abs,1542
1771849318,pure-ftpd,chatafl,1,b_per,16.3
1771849318,pure-ftpd,chatafl,1,b_abs,766
1771849319,pure-ftpd,chatafl,1,l_per,23.8
1771849319,pure-ftpd,chatafl,1,l_abs,1542
1771849319,pure-ftpd,chatafl,1,b_per,16.3
1771849319,pure-ftpd,chatafl,1,b_abs,766
1771849319,pure-ftpd,chatafl,1,l_per,24.2
1771849319,pure-ftpd,chatafl,1,l_abs,1572
1771849319,pure-ftpd,chatafl,1,b_per,16.6
1771849319,pure-ftpd,chatafl,1,b_abs,781
1771849320,pure-ftpd,chatafl,1,l_per,24.4
1771849320,pure-ftpd,chatafl,1,l_abs,1583
1771849320,pure-ftpd,chatafl,1,b_per,16.7
1771849320,pure-ftpd,chatafl,1,b_abs,787
1771849320,pure-ftpd,chatafl,1,l_per,24.6
1771849320,pure-ftpd,chatafl,1,l_abs,1594
1771849320,pure-ftpd,chatafl,1,b_per,16.9
1771849320,pure-ftpd,chatafl,1,b_abs,795
1771849321,pure-ftpd,chatafl,1,l_per,24.6
1771849321,pure-ftpd,chatafl,1,l_abs,1594
1771849321,pure-ftpd,chatafl,1,b_per,16.9
1771849321,pure-ftpd,chatafl,1,b_abs,795
1771849321,pure-ftpd,chatafl,1,l_per,24.7
1771849321,pure-ftpd,chatafl,1,l_abs,1604
1771849321,pure-ftpd,chatafl,1,b_per,17.0
1771849321,pure-ftpd,chatafl,1,b_abs,802
1771849324,pure-ftpd,chatafl,1,l_per,24.7
1771849324,pure-ftpd,chatafl,1,l_abs,1604
1771849324,pure-ftpd,chatafl,1,b_per,17.0
1771849324,pure-ftpd,chatafl,1,b_abs,802
1771849324,pure-ftpd,chatafl,1,l_per,24.7
1771849324,pure-ftpd,chatafl,1,l_abs,1606
1771849324,pure-ftpd,chatafl,1,b_per,17.1
1771849324,pure-ftpd,chatafl,1,b_abs,804
1771849325,pure-ftpd,chatafl,1,l_per,24.7
1771849325,pure-ftpd,chatafl,1,l_abs,1606
1771849325,pure-ftpd,chatafl,1,b_per,17.1
1771849325,pure-ftpd,chatafl,1,b_abs,804
1771849325,pure-ftpd,chatafl,1,l_per,25.2
1771849325,pure-ftpd,chatafl,1,l_abs,1633
1771849325,pure-ftpd,chatafl,1,b_per,17.6
1771849325,pure-ftpd,chatafl,1,b_abs,826
1771849327,pure-ftpd,chatafl,1,l_per,25.2
1771849327,pure-ftpd,chatafl,1,l_abs,1633
1771849327,pure-ftpd,chatafl,1,b_per,17.6
1771849327,pure-ftpd,chatafl,1,b_abs,826
1771849328,pure-ftpd,chatafl,1,l_per,25.2
1771849328,pure-ftpd,chatafl,1,l_abs,1633
1771849328,pure-ftpd,chatafl,1,b_per,17.6
1771849328,pure-ftpd,chatafl,1,b_abs,826
1771849330,pure-ftpd,chatafl,1,l_per,25.2
1771849330,pure-ftpd,chatafl,1,l_abs,1633
1771849330,pure-ftpd,chatafl,1,b_per,17.6
1771849330,pure-ftpd,chatafl,1,b_abs,826
1771849331,pure-ftpd,chatafl,1,l_per,25.2
1771849331,pure-ftpd,chatafl,1,l_abs,1633
1771849331,pure-ftpd,chatafl,1,b_per,17.6
1771849331,pure-ftpd,chatafl,1,b_abs,826
1771849331,pure-ftpd,chatafl,1,l_per,25.2
1771849331,pure-ftpd,chatafl,1,l_abs,1633
1771849331,pure-ftpd,chatafl,1,b_per,17.6
1771849331,pure-ftpd,chatafl,1,b_abs,826
1771849331,pure-ftpd,chatafl,1,l_per,25.2
1771849331,pure-ftpd,chatafl,1,l_abs,1633
1771849331,pure-ftpd,chatafl,1,b_per,17.6
1771849331,pure-ftpd,chatafl,1,b_abs,826
1771849332,pure-ftpd,chatafl,1,l_per,25.2
1771849332,pure-ftpd,chatafl,1,l_abs,1633
1771849332,pure-ftpd,chatafl,1,b_per,17.6
1771849332,pure-ftpd,chatafl,1,b_abs,826
1771849332,pure-ftpd,chatafl,1,l_per,25.2
1771849332,pure-ftpd,chatafl,1,l_abs,1634
1771849332,pure-ftpd,chatafl,1,b_per,17.6
1771849332,pure-ftpd,chatafl,1,b_abs,827
1771849333,pure-ftpd,chatafl,1,l_per,25.2
1771849333,pure-ftpd,chatafl,1,l_abs,1634
1771849333,pure-ftpd,chatafl,1,b_per,17.6
1771849333,pure-ftpd,chatafl,1,b_abs,827
1771849333,pure-ftpd,chatafl,1,l_per,25.2
1771849333,pure-ftpd,chatafl,1,l_abs,1636
1771849333,pure-ftpd,chatafl,1,b_per,17.6
1771849333,pure-ftpd,chatafl,1,b_abs,828
1771849334,pure-ftpd,chatafl,1,l_per,25.2
1771849334,pure-ftpd,chatafl,1,l_abs,1636
1771849334,pure-ftpd,chatafl,1,b_per,17.6
1771849334,pure-ftpd,chatafl,1,b_abs,828
1771849334,pure-ftpd,chatafl,1,l_per,25.4
1771849334,pure-ftpd,chatafl,1,l_abs,1646
1771849334,pure-ftpd,chatafl,1,b_per,17.7
1771849334,pure-ftpd,chatafl,1,b_abs,835
1771849335,pure-ftpd,chatafl,1,l_per,25.4
1771849335,pure-ftpd,chatafl,1,l_abs,1646
1771849335,pure-ftpd,chatafl,1,b_per,17.7
1771849335,pure-ftpd,chatafl,1,b_abs,835
1771849335,pure-ftpd,chatafl,1,l_per,25.4
1771849335,pure-ftpd,chatafl,1,l_abs,1646
1771849335,pure-ftpd,chatafl,1,b_per,17.7
1771849335,pure-ftpd,chatafl,1,b_abs,835
1771849336,pure-ftpd,chatafl,1,l_per,25.4
1771849336,pure-ftpd,chatafl,1,l_abs,1646
1771849336,pure-ftpd,chatafl,1,b_per,17.7
1771849336,pure-ftpd,chatafl,1,b_abs,835
1771849336,pure-ftpd,chatafl,1,l_per,25.4
1771849336,pure-ftpd,chatafl,1,l_abs,1646
1771849336,pure-ftpd,chatafl,1,b_per,17.7
1771849336,pure-ftpd,chatafl,1,b_abs,835
1771849337,pure-ftpd,chatafl,1,l_per,25.4
1771849337,pure-ftpd,chatafl,1,l_abs,1646
1771849337,pure-ftpd,chatafl,1,b_per,17.7
1771849337,pure-ftpd,chatafl,1,b_abs,835
1771849337,pure-ftpd,chatafl,1,l_per,25.4
