subject,fuzzer,data_type,time,data
pure-ftpd,aflnet,nodes,0,0.0
pure-ftpd,aflnet,nodes,1,11.0
pure-ftpd,aflnet,nodes,61,23.0
pure-ftpd,aflnet,edges,0,0.0
pure-ftpd,aflnet,edges,1,17.0
pure-ftpd,aflnet,edges,61,135.0
pure-ftpd,chatafl,nodes,0,0.0
pure-ftpd,chatafl,nodes,1,18.0
pure-ftpd,chatafl,nodes,61,26.0
pure-ftpd,chatafl,edges,0,0.0
pure-ftpd,chatafl,edges,1,42.0
pure-ftpd,chatafl,edges,61,163.0
pure-ftpd,chatafl_opt,nodes,0,0.0
pure-ftpd,chatafl_opt,nodes,1,24.0
pure-ftpd,chatafl_opt,nodes,61,31.0
pure-ftpd,chatafl_opt,edges,0,0.0
pure-ftpd,chatafl_opt,edges,1,129.0
pure-ftpd,chatafl_opt,edges,61,239.0
