time,subject,fuzzer,run,state_type,state
1772620259,pure-ftpd,aflnet,1,nodes,7
1772620259,pure-ftpd,aflnet,1,edges,8
1772620264,pure-ftpd,aflnet,1,nodes,7
1772620264,pure-ftpd,aflnet,1,edges,8
1772620269,pure-ftpd,aflnet,1,nodes,7
1772620269,pure-ftpd,aflnet,1,edges,10
1772620274,pure-ftpd,aflnet,1,nodes,7
1772620274,pure-ftpd,aflnet,1,edges,10
1772620279,pure-ftpd,aflnet,1,nodes,7
1772620279,pure-ftpd,aflnet,1,edges,10
1772620284,pure-ftpd,aflnet,1,nodes,7
1772620284,pure-ftpd,aflnet,1,edges,10
1772620290,pure-ftpd,aflnet,1,nodes,7
1772620290,pure-ftpd,aflnet,1,edges,10
1772620295,pure-ftpd,aflnet,1,nodes,7
1772620295,pure-ftpd,aflnet,1,edges,10
1772620305,pure-ftpd,aflnet,1,nodes,8
1772620305,pure-ftpd,aflnet,1,edges,11
1772620310,pure-ftpd,aflnet,1,nodes,8
1772620310,pure-ftpd,aflnet,1,edges,11
1772620320,pure-ftpd,aflnet,1,nodes,8
1772620320,pure-ftpd,aflnet,1,edges,11
1772620325,pure-ftpd,aflnet,1,nodes,8
1772620325,pure-ftpd,aflnet,1,edges,11
1772620336,pure-ftpd,aflnet,1,nodes,8
1772620336,pure-ftpd,aflnet,1,edges,11
1772620351,pure-ftpd,aflnet,1,nodes,8
1772620351,pure-ftpd,aflnet,1,edges,11
1772620356,pure-ftpd,aflnet,1,nodes,8
1772620356,pure-ftpd,aflnet,1,edges,11
1772620366,pure-ftpd,aflnet,1,nodes,8
1772620366,pure-ftpd,aflnet,1,edges,11
1772620377,pure-ftpd,aflnet,1,nodes,8
1772620377,pure-ftpd,aflnet,1,edges,11
1772620397,pure-ftpd,aflnet,1,nodes,8
1772620397,pure-ftpd,aflnet,1,edges,11
1772620418,pure-ftpd,aflnet,1,nodes,8
1772620418,pure-ftpd,aflnet,1,edges,11
1772620423,pure-ftpd,aflnet,1,nodes,8
1772620423,pure-ftpd,aflnet,1,edges,11
1772620428,pure-ftpd,aflnet,1,nodes,8
1772620428,pure-ftpd,aflnet,1,edges,13
1772620433,pure-ftpd,aflnet,1,nodes,9
1772620433,pure-ftpd,aflnet,1,edges,15
1772620438,pure-ftpd,aflnet,1,nodes,10
