time,subject,fuzzer,run,cov_type,cov
1772685035,pure-ftpd,aflnet,1,l_per,12.9
1772685035,pure-ftpd,aflnet,1,l_abs,839
1772685035,pure-ftpd,aflnet,1,b_per,8.0
1772685035,pure-ftpd,aflnet,1,b_abs,375
1772685035,pure-ftpd,aflnet,1,l_per,14.0
1772685035,pure-ftpd,aflnet,1,l_abs,909
1772685035,pure-ftpd,aflnet,1,b_per,9.1
1772685035,pure-ftpd,aflnet,1,b_abs,429
1772685037,pure-ftpd,aflnet,1,l_per,16.6
1772685037,pure-ftpd,aflnet,1,l_abs,1075
1772685037,pure-ftpd,aflnet,1,b_per,10.9
1772685037,pure-ftpd,aflnet,1,b_abs,513
1772685037,pure-ftpd,aflnet,1,l_per,16.7
1772685037,pure-ftpd,aflnet,1,l_abs,1082
1772685037,pure-ftpd,aflnet,1,b_per,11.0
1772685037,pure-ftpd,aflnet,1,b_abs,519
1772685131,pure-ftpd,aflnet,1,l_per,17.1
1772685131,pure-ftpd,aflnet,1,l_abs,1111
1772685131,pure-ftpd,aflnet,1,b_per,11.4
1772685131,pure-ftpd,aflnet,1,b_abs,537
1772685376,pure-ftpd,aflnet,1,l_per,17.5
1772685376,pure-ftpd,aflnet,1,l_abs,1134
1772685376,pure-ftpd,aflnet,1,b_per,11.6
1772685376,pure-ftpd,aflnet,1,b_abs,546
1772685615,pure-ftpd,aflnet,1,l_per,17.8
1772685615,pure-ftpd,aflnet,1,l_abs,1152
1772685615,pure-ftpd,aflnet,1,b_per,11.8
1772685615,pure-ftpd,aflnet,1,b_abs,557
1772686120,pure-ftpd,aflnet,1,l_per,19.8
1772686120,pure-ftpd,aflnet,1,l_abs,1285
1772686120,pure-ftpd,aflnet,1,b_per,13.4
1772686120,pure-ftpd,aflnet,1,b_abs,631
1772686623,pure-ftpd,aflnet,1,l_per,20.5
1772686623,pure-ftpd,aflnet,1,l_abs,1330
1772686623,pure-ftpd,aflnet,1,b_per,14.0
1772686623,pure-ftpd,aflnet,1,b_abs,659
1772687897,pure-ftpd,aflnet,1,l_per,26.0
1772687897,pure-ftpd,aflnet,1,l_abs,1688
1772687897,pure-ftpd,aflnet,1,b_per,18.1
1772687897,pure-ftpd,aflnet,1,b_abs,853
1772689129,pure-ftpd,aflnet,1,l_per,26.8
