fuzzer,run,runtime_min,llm_calls,prompt_tokens,completion_tokens,dedup_hits,cost_usd,prompt_per_24h,compl_per_24h,cost_per_24h,token_source
chatafl,1,1462,212,27755,75020,0,0.049175,27337,73891,0.048435,exact
chatafl,2,1464,221,32680,95884,0,0.062432,32144,94312,0.061409,exact
chatafl,3,1463,208,26250,74098,0,0.048396,25837,72933,0.047635,exact
chatafl,4,1460,231,32678,111447,0,0.071770,32230,109920,0.070787,exact
chatafl,5,1460,242,42382,131956,0,0.085531,41801,130148,0.084359,exact
chatafl,6,1460,228,36892,110122,0,0.071607,36387,108613,0.070626,exact
chatafl,7,1462,244,37689,136194,0,0.087370,37122,134145,0.086055,exact
chatafl,8,1458,222,35103,107053,0,0.069497,34670,105731,0.068639,exact
chatafl,9,1459,229,33847,113462,0,0.073154,33406,111984,0.072202,exact
chatafl_opt,1,1476,231,141816,22306,0,0.034656,138357,21762,0.033811,exact
chatafl_opt,2,1476,227,137299,21631,0,0.033573,133950,21103,0.032755,exact
chatafl_opt,3,1476,221,127654,21362,0,0.031965,124540,20841,0.031186,exact
chatafl_opt,4,1467,232,141016,21551,0,0.034083,138421,21154,0.033456,exact
chatafl_opt,5,1467,243,164856,23133,0,0.038608,161822,22707,0.037898,exact
chatafl_opt,6,1467,229,142288,21350,0,0.034153,139669,20957,0.033525,exact
chatafl_opt,7,1476,239,154773,23019,0,0.037027,150998,22458,0.036124,exact
chatafl_opt,8,1476,227,138790,21661,0,0.033815,135405,21133,0.032990,exact
chatafl_opt,9,1476,231,140337,22854,0,0.034763,136914,22297,0.033915,exact
