subject,fuzzer,data_type,time,data
pure-ftpd,aflnet,nodes,0,0.0
pure-ftpd,aflnet,nodes,1,8.222222222222221
pure-ftpd,aflnet,nodes,61,20.666666666666668
pure-ftpd,aflnet,nodes,121,21.88888888888889
pure-ftpd,aflnet,nodes,181,23.0
pure-ftpd,aflnet,nodes,241,23.11111111111111
pure-ftpd,aflnet,nodes,301,24.11111111111111
pure-ftpd,aflnet,nodes,361,24.444444444444443
pure-ftpd,aflnet,nodes,421,24.555555555555557
pure-ftpd,aflnet,nodes,481,24.666666666666668
pure-ftpd,aflnet,nodes,541,25.11111111111111
pure-ftpd,aflnet,nodes,601,25.22222222222222
pure-ftpd,aflnet,nodes,661,25.555555555555557
pure-ftpd,aflnet,nodes,721,25.77777777777778
pure-ftpd,aflnet,nodes,781,25.88888888888889
pure-ftpd,aflnet,nodes,841,26.11111111111111
pure-ftpd,aflnet,nodes,901,26.555555555555557
pure-ftpd,aflnet,nodes,961,26.666666666666668
pure-ftpd,aflnet,nodes,1021,26.77777777777778
pure-ftpd,aflnet,nodes,1081,26.77777777777778
pure-ftpd,aflnet,nodes,1141,26.88888888888889
pure-ftpd,aflnet,nodes,1201,27.0
pure-ftpd,aflnet,nodes,1261,27.0
pure-ftpd,aflnet,nodes,1321,27.0
pure-ftpd,aflnet,nodes,1381,27.11111111111111
pure-ftpd,aflnet,nodes,1441,27.11111111111111
pure-ftpd,aflnet,edges,0,0.0
pure-ftpd,aflnet,edges,1,12.777777777777779
pure-ftpd,aflnet,edges,61,99.44444444444444
pure-ftpd,aflnet,edges,121,117.22222222222223
pure-ftpd,aflnet,edges,181,132.44444444444446
pure-ftpd,aflnet,edges,241,139.0
pure-ftpd,aflnet,edges,301,148.88888888888889
pure-ftpd,aflnet,edges,361,155.66666666666666
pure-ftpd,aflnet,edges,421,160.33333333333334
pure-ftpd,aflnet,edges,481,166.22222222222223
pure-ftpd,aflnet,edges,541,175.22222222222223
pure-ftpd,aflnet,edges,601,179.88888888888889
pure-ftpd,aflnet,edges,661,185.11111111111111
pure-ftpd,aflnet,edges,721,187.88888888888889
pure-ftpd,aflnet,edges,781,191.11111111111111
pure-ftpd,aflnet,edges,841,194.33333333333334
pure-ftpd,aflnet,edges,901,197.66666666666666
pure-ftpd,aflnet,edges,961,199.77777777777777
pure-ftpd,aflnet,edges,1021,201.77777777777777
pure-ftpd,aflnet,edges,1081,203.11111111111111
pure-ftpd,aflnet,edges,1141,204.33333333333334
pure-ftpd,aflnet,edges,1201,206.33333333333334
pure-ftpd,aflnet,edges,1261,208.33333333333334
pure-ftpd,aflnet,edges,1321,210.22222222222223
pure-ftpd,aflnet,edges,1381,211.55555555555554
pure-ftpd,aflnet,edges,1441,212.77777777777777
pure-ftpd,chatafl,nodes,0,0.0
pure-ftpd,chatafl,nodes,1,18.22222222222222
pure-ftpd,chatafl,nodes,61,25.88888888888889
pure-ftpd,chatafl,nodes,121,27.0
pure-ftpd,chatafl,nodes,181,27.0
pure-ftpd,chatafl,nodes,241,27.555555555555557
pure-ftpd,chatafl,nodes,301,27.88888888888889
pure-ftpd,chatafl,nodes,361,27.88888888888889
pure-ftpd,chatafl,nodes,421,27.88888888888889
pure-ftpd,chatafl,nodes,481,28.11111111111111
pure-ftpd,chatafl,nodes,541,28.11111111111111
