time,subject,fuzzer,run,state_type,state
1773673840,pure-ftpd,aflnet,1,nodes,7
1773673840,pure-ftpd,aflnet,1,edges,9
1773673846,pure-ftpd,aflnet,1,nodes,7
1773673846,pure-ftpd,aflnet,1,edges,10
1773673851,pure-ftpd,aflnet,1,nodes,7
1773673851,pure-ftpd,aflnet,1,edges,10
1773673856,pure-ftpd,aflnet,1,nodes,7
1773673856,pure-ftpd,aflnet,1,edges,10
1773673862,pure-ftpd,aflnet,1,nodes,7
1773673862,pure-ftpd,aflnet,1,edges,10
1773673881,pure-ftpd,aflnet,1,nodes,7
1773673881,pure-ftpd,aflnet,1,edges,10
1773673886,pure-ftpd,aflnet,1,nodes,7
1773673886,pure-ftpd,aflnet,1,edges,10
1773673891,pure-ftpd,aflnet,1,nodes,7
1773673891,pure-ftpd,aflnet,1,edges,10
1773673904,pure-ftpd,aflnet,1,nodes,7
1773673904,pure-ftpd,aflnet,1,edges,10
1773673914,pure-ftpd,aflnet,1,nodes,7
1773673914,pure-ftpd,aflnet,1,edges,10
1773673919,pure-ftpd,aflnet,1,nodes,8
1773673919,pure-ftpd,aflnet,1,edges,11
1773673924,pure-ftpd,aflnet,1,nodes,8
1773673924,pure-ftpd,aflnet,1,edges,11
1773673929,pure-ftpd,aflnet,1,nodes,8
1773673929,pure-ftpd,aflnet,1,edges,11
1773673935,pure-ftpd,aflnet,1,nodes,8
1773673935,pure-ftpd,aflnet,1,edges,11
1773673940,pure-ftpd,aflnet,1,nodes,8
1773673940,pure-ftpd,aflnet,1,edges,11
1773673962,pure-ftpd,aflnet,1,nodes,8
1773673962,pure-ftpd,aflnet,1,edges,11
1773673967,pure-ftpd,aflnet,1,nodes,9
1773673967,pure-ftpd,aflnet,1,edges,13
1773673983,pure-ftpd,aflnet,1,nodes,9
1773673983,pure-ftpd,aflnet,1,edges,13
1773673988,pure-ftpd,aflnet,1,nodes,9
1773673988,pure-ftpd,aflnet,1,edges,13
1773673993,pure-ftpd,aflnet,1,nodes,9
1773673993,pure-ftpd,aflnet,1,edges,13
1773674014,pure-ftpd,aflnet,1,nodes,9
1773674014,pure-ftpd,aflnet,1,edges,13
1773674024,pure-ftpd,aflnet,1,nodes,9
1773674024,pure-ftpd,aflnet,1,edges,13
1773674034,pure-ftpd,aflnet,1,nodes,9
1773674034,pure-ftpd,aflnet,1,edges,13
1773674071,pure-ftpd,aflnet,1,nodes,9
1773674071,pure-ftpd,aflnet,1,edges,13
1773674088,pure-ftpd,aflnet,1,nodes,9
1773674088,pure-ftpd,aflnet,1,edges,13
1773674095,pure-ftpd,aflnet,1,nodes,9
1773674095,pure-ftpd,aflnet,1,edges,13
1773674113,pure-ftpd,aflnet,1,nodes,10
1773674113,pure-ftpd,aflnet,1,edges,16
1773674120,pure-ftpd,aflnet,1,nodes,10
1773674120,pure-ftpd,aflnet,1,edges,16
1773674127,pure-ftpd,aflnet,1,nodes,12
1773674127,pure-ftpd,aflnet,1,edges,21
1773674146,pure-ftpd,aflnet,1,nodes,13
1773674146,pure-ftpd,aflnet,1,edges,25
1773674153,pure-ftpd,aflnet,1,nodes,13
1773674153,pure-ftpd,aflnet,1,edges,26
1773674181,pure-ftpd,aflnet,1,nodes,13
1773674181,pure-ftpd,aflnet,1,edges,26
1773674202,pure-ftpd,aflnet,1,nodes,13
1773674202,pure-ftpd,aflnet,1,edges,27
1773674248,pure-ftpd,aflnet,1,nodes,13
1773674248,pure-ftpd,aflnet,1,edges,27
1773674262,pure-ftpd,aflnet,1,nodes,13
1773674262,pure-ftpd,aflnet,1,edges,27
1773674300,pure-ftpd,aflnet,1,nodes,14
1773674300,pure-ftpd,aflnet,1,edges,29
1773674319,pure-ftpd,aflnet,1,nodes,14
1773674319,pure-ftpd,aflnet,1,edges,30
1773674326,pure-ftpd,aflnet,1,nodes,14
1773674326,pure-ftpd,aflnet,1,edges,30
1773674372,pure-ftpd,aflnet,1,nodes,14
1773674372,pure-ftpd,aflnet,1,edges,32
1773674530,pure-ftpd,aflnet,1,nodes,14
1773674530,pure-ftpd,aflnet,1,edges,32
1773674580,pure-ftpd,aflnet,1,nodes,14
1773674580,pure-ftpd,aflnet,1,edges,32
1773674585,pure-ftpd,aflnet,1,nodes,14
1773674585,pure-ftpd,aflnet,1,edges,35
1773674590,pure-ftpd,aflnet,1,nodes,14
1773674590,pure-ftpd,aflnet,1,edges,37
1773674598,pure-ftpd,aflnet,1,nodes,14
1773674598,pure-ftpd,aflnet,1,edges,38
1773674603,pure-ftpd,aflnet,1,nodes,14
1773674603,pure-ftpd,aflnet,1,edges,39
1773674608,pure-ftpd,aflnet,1,nodes,14
1773674608,pure-ftpd,aflnet,1,edges,39
1773674613,pure-ftpd,aflnet,1,nodes,14
1773674613,pure-ftpd,aflnet,1,edges,39
1773674618,pure-ftpd,aflnet,1,nodes,14
1773674618,pure-ftpd,aflnet,1,edges,39
1773674623,pure-ftpd,aflnet,1,nodes,14
1773674623,pure-ftpd,aflnet,1,edges,39
1773674631,pure-ftpd,aflnet,1,nodes,14
1773674631,pure-ftpd,aflnet,1,edges,39
1773674636,pure-ftpd,aflnet,1,nodes,14
1773674636,pure-ftpd,aflnet,1,edges,39
1773674641,pure-ftpd,aflnet,1,nodes,14
1773674641,pure-ftpd,aflnet,1,edges,39
1773674646,pure-ftpd,aflnet,1,nodes,14
1773674646,pure-ftpd,aflnet,1,edges,39
1773674666,pure-ftpd,aflnet,1,nodes,14
1773674666,pure-ftpd,aflnet,1,edges,39
1773674677,pure-ftpd,aflnet,1,nodes,14
1773674677,pure-ftpd,aflnet,1,edges,39
1773674682,pure-ftpd,aflnet,1,nodes,14
1773674682,pure-ftpd,aflnet,1,edges,39
1773674687,pure-ftpd,aflnet,1,nodes,14
1773674687,pure-ftpd,aflnet,1,edges,39
1773674761,pure-ftpd,aflnet,1,nodes,14
1773674761,pure-ftpd,aflnet,1,edges,39
1773674766,pure-ftpd,aflnet,1,nodes,14
1773674766,pure-ftpd,aflnet,1,edges,39
1773674776,pure-ftpd,aflnet,1,nodes,14
1773674776,pure-ftpd,aflnet,1,edges,39
1773674791,pure-ftpd,aflnet,1,nodes,14
1773674791,pure-ftpd,aflnet,1,edges,39
1773674817,pure-ftpd,aflnet,1,nodes,14
1773674817,pure-ftpd,aflnet,1,edges,39
1773674832,pure-ftpd,aflnet,1,nodes,14
1773674832,pure-ftpd,aflnet,1,edges,39
1773674837,pure-ftpd,aflnet,1,nodes,14
1773674837,pure-ftpd,aflnet,1,edges,39
1773674843,pure-ftpd,aflnet,1,nodes,14
1773674843,pure-ftpd,aflnet,1,edges,39
1773674848,pure-ftpd,aflnet,1,nodes,14
1773674848,pure-ftpd,aflnet,1,edges,39
1773674863,pure-ftpd,aflnet,1,nodes,14
1773674863,pure-ftpd,aflnet,1,edges,39
1773674876,pure-ftpd,aflnet,1,nodes,15
1773674876,pure-ftpd,aflnet,1,edges,46
1773674901,pure-ftpd,aflnet,1,nodes,15
1773674901,pure-ftpd,aflnet,1,edges,47
1773674906,pure-ftpd,aflnet,1,nodes,15
1773674906,pure-ftpd,aflnet,1,edges,47
1773674919,pure-ftpd,aflnet,1,nodes,15
1773674919,pure-ftpd,aflnet,1,edges,47
1773674983,pure-ftpd,aflnet,1,nodes,15
1773674983,pure-ftpd,aflnet,1,edges,49
1773674998,pure-ftpd,aflnet,1,nodes,15
1773674998,pure-ftpd,aflnet,1,edges,50
1773675053,pure-ftpd,aflnet,1,nodes,15
1773675053,pure-ftpd,aflnet,1,edges,50
1773675111,pure-ftpd,aflnet,1,nodes,15
1773675111,pure-ftpd,aflnet,1,edges,50
1773675154,pure-ftpd,aflnet,1,nodes,15
1773675154,pure-ftpd,aflnet,1,edges,51
1773675166,pure-ftpd,aflnet,1,nodes,15
1773675166,pure-ftpd,aflnet,1,edges,51
1773675219,pure-ftpd,aflnet,1,nodes,15
1773675219,pure-ftpd,aflnet,1,edges,52
1773675260,pure-ftpd,aflnet,1,nodes,15
1773675260,pure-ftpd,aflnet,1,edges,52
1773675294,pure-ftpd,aflnet,1,nodes,15
1773675294,pure-ftpd,aflnet,1,edges,52
1773675308,pure-ftpd,aflnet,1,nodes,15
1773675308,pure-ftpd,aflnet,1,edges,52
1773675372,pure-ftpd,aflnet,1,nodes,15
1773675372,pure-ftpd,aflnet,1,edges,52
1773675392,pure-ftpd,aflnet,1,nodes,15
1773675392,pure-ftpd,aflnet,1,edges,54
1773675459,pure-ftpd,aflnet,1,nodes,15
1773675459,pure-ftpd,aflnet,1,edges,54
1773675507,pure-ftpd,aflnet,1,nodes,15
1773675507,pure-ftpd,aflnet,1,edges,54
1773675540,pure-ftpd,aflnet,1,nodes,15
1773675540,pure-ftpd,aflnet,1,edges,54
1773675582,pure-ftpd,aflnet,1,nodes,15
1773675582,pure-ftpd,aflnet,1,edges,54
1773675606,pure-ftpd,aflnet,1,nodes,15
1773675606,pure-ftpd,aflnet,1,edges,54
1773675614,pure-ftpd,aflnet,1,nodes,15
1773675614,pure-ftpd,aflnet,1,edges,54
1773675643,pure-ftpd,aflnet,1,nodes,15
1773675643,pure-ftpd,aflnet,1,edges,54
1773675674,pure-ftpd,aflnet,1,nodes,15
1773675674,pure-ftpd,aflnet,1,edges,54
1773675715,pure-ftpd,aflnet,1,nodes,15
1773675715,pure-ftpd,aflnet,1,edges,54
1773675744,pure-ftpd,aflnet,1,nodes,15
1773675744,pure-ftpd,aflnet,1,edges,55
1773675765,pure-ftpd,aflnet,1,nodes,15
1773675765,pure-ftpd,aflnet,1,edges,55
1773675770,pure-ftpd,aflnet,1,nodes,15
1773675770,pure-ftpd,aflnet,1,edges,55
1773675857,pure-ftpd,aflnet,1,nodes,15
1773675857,pure-ftpd,aflnet,1,edges,55
1773675889,pure-ftpd,aflnet,1,nodes,15
1773675889,pure-ftpd,aflnet,1,edges,55
1773675920,pure-ftpd,aflnet,1,nodes,15
1773675920,pure-ftpd,aflnet,1,edges,55
1773675935,pure-ftpd,aflnet,1,nodes,15
1773675935,pure-ftpd,aflnet,1,edges,55
1773675940,pure-ftpd,aflnet,1,nodes,15
1773675940,pure-ftpd,aflnet,1,edges,56
1773675955,pure-ftpd,aflnet,1,nodes,15
1773675955,pure-ftpd,aflnet,1,edges,56
1773675961,pure-ftpd,aflnet,1,nodes,15
1773675961,pure-ftpd,aflnet,1,edges,56
1773675971,pure-ftpd,aflnet,1,nodes,15
1773675971,pure-ftpd,aflnet,1,edges,56
1773675981,pure-ftpd,aflnet,1,nodes,15
1773675981,pure-ftpd,aflnet,1,edges,56
1773675986,pure-ftpd,aflnet,1,nodes,15
1773675986,pure-ftpd,aflnet,1,edges,56
1773675997,pure-ftpd,aflnet,1,nodes,15
1773675997,pure-ftpd,aflnet,1,edges,56
1773676022,pure-ftpd,aflnet,1,nodes,15
1773676022,pure-ftpd,aflnet,1,edges,56
1773676064,pure-ftpd,aflnet,1,nodes,15
1773676064,pure-ftpd,aflnet,1,edges,56
1773676083,pure-ftpd,aflnet,1,nodes,15
1773676083,pure-ftpd,aflnet,1,edges,56
1773676116,pure-ftpd,aflnet,1,nodes,15
1773676116,pure-ftpd,aflnet,1,edges,56
1773676148,pure-ftpd,aflnet,1,nodes,15
1773676148,pure-ftpd,aflnet,1,edges,56
1773676245,pure-ftpd,aflnet,1,nodes,15
1773676245,pure-ftpd,aflnet,1,edges,56
1773676403,pure-ftpd,aflnet,1,nodes,15
1773676403,pure-ftpd,aflnet,1,edges,56
1773676433,pure-ftpd,aflnet,1,nodes,15
1773676433,pure-ftpd,aflnet,1,edges,56
1773676504,pure-ftpd,aflnet,1,nodes,15
1773676504,pure-ftpd,aflnet,1,edges,56
1773676560,pure-ftpd,aflnet,1,nodes,15
1773676560,pure-ftpd,aflnet,1,edges,56
1773676673,pure-ftpd,aflnet,1,nodes,15
1773676673,pure-ftpd,aflnet,1,edges,56
1773676808,pure-ftpd,aflnet,1,nodes,15
1773676808,pure-ftpd,aflnet,1,edges,56
1773676978,pure-ftpd,aflnet,1,nodes,15
1773676978,pure-ftpd,aflnet,1,edges,56
1773677033,pure-ftpd,aflnet,1,nodes,15
1773677033,pure-ftpd,aflnet,1,edges,56
1773677038,pure-ftpd,aflnet,1,nodes,15
1773677038,pure-ftpd,aflnet,1,edges,58
1773677146,pure-ftpd,aflnet,1,nodes,15
1773677146,pure-ftpd,aflnet,1,edges,58
1773677172,pure-ftpd,aflnet,1,nodes,15
1773677172,pure-ftpd,aflnet,1,edges,58
1773677215,pure-ftpd,aflnet,1,nodes,15
1773677215,pure-ftpd,aflnet,1,edges,58
1773677236,pure-ftpd,aflnet,1,nodes,15
1773677236,pure-ftpd,aflnet,1,edges,58
1773677246,pure-ftpd,aflnet,1,nodes,18
1773677246,pure-ftpd,aflnet,1,edges,65
1773677253,pure-ftpd,aflnet,1,nodes,18
1773677253,pure-ftpd,aflnet,1,edges,69
1773677259,pure-ftpd,aflnet,1,nodes,18
1773677259,pure-ftpd,aflnet,1,edges,71
1773677267,pure-ftpd,aflnet,1,nodes,18
1773677267,pure-ftpd,aflnet,1,edges,73
1773677274,pure-ftpd,aflnet,1,nodes,18
1773677274,pure-ftpd,aflnet,1,edges,74
1773677288,pure-ftpd,aflnet,1,nodes,18
1773677288,pure-ftpd,aflnet,1,edges,75
1773677294,pure-ftpd,aflnet,1,nodes,18
1773677294,pure-ftpd,aflnet,1,edges,75
1773677299,pure-ftpd,aflnet,1,nodes,18
1773677299,pure-ftpd,aflnet,1,edges,75
1773677305,pure-ftpd,aflnet,1,nodes,18
1773677305,pure-ftpd,aflnet,1,edges,75
1773677316,pure-ftpd,aflnet,1,nodes,18
1773677316,pure-ftpd,aflnet,1,edges,75
1773677322,pure-ftpd,aflnet,1,nodes,18
1773677322,pure-ftpd,aflnet,1,edges,75
1773677327,pure-ftpd,aflnet,1,nodes,18
1773677327,pure-ftpd,aflnet,1,edges,76
1773677388,pure-ftpd,aflnet,1,nodes,18
1773677388,pure-ftpd,aflnet,1,edges,77
1773677394,pure-ftpd,aflnet,1,nodes,18
1773677394,pure-ftpd,aflnet,1,edges,79
1773677399,pure-ftpd,aflnet,1,nodes,18
1773677399,pure-ftpd,aflnet,1,edges,79
1773677453,pure-ftpd,aflnet,1,nodes,18
1773677453,pure-ftpd,aflnet,1,edges,79
1773677458,pure-ftpd,aflnet,1,nodes,18
1773677458,pure-ftpd,aflnet,1,edges,79
1773677464,pure-ftpd,aflnet,1,nodes,18
1773677464,pure-ftpd,aflnet,1,edges,81
1773677560,pure-ftpd,aflnet,1,nodes,18
1773677560,pure-ftpd,aflnet,1,edges,82
1773677585,pure-ftpd,aflnet,1,nodes,18
1773677585,pure-ftpd,aflnet,1,edges,83
1773677690,pure-ftpd,aflnet,1,nodes,19
1773677690,pure-ftpd,aflnet,1,edges,85
1773677695,pure-ftpd,aflnet,1,nodes,19
1773677695,pure-ftpd,aflnet,1,edges,87
1773677709,pure-ftpd,aflnet,1,nodes,19
1773677709,pure-ftpd,aflnet,1,edges,87
1773677714,pure-ftpd,aflnet,1,nodes,19
1773677714,pure-ftpd,aflnet,1,edges,87
1773677736,pure-ftpd,aflnet,1,nodes,19
1773677736,pure-ftpd,aflnet,1,edges,87
1773677741,pure-ftpd,aflnet,1,nodes,19
1773677741,pure-ftpd,aflnet,1,edges,88
1773677753,pure-ftpd,aflnet,1,nodes,19
1773677753,pure-ftpd,aflnet,1,edges,89
1773677758,pure-ftpd,aflnet,1,nodes,19
1773677758,pure-ftpd,aflnet,1,edges,89
1773677766,pure-ftpd,aflnet,1,nodes,19
1773677766,pure-ftpd,aflnet,1,edges,89
1773677771,pure-ftpd,aflnet,1,nodes,19
1773677771,pure-ftpd,aflnet,1,edges,89
1773677776,pure-ftpd,aflnet,1,nodes,19
1773677776,pure-ftpd,aflnet,1,edges,89
1773677789,pure-ftpd,aflnet,1,nodes,20
1773677789,pure-ftpd,aflnet,1,edges,95
1773677809,pure-ftpd,aflnet,1,nodes,20
1773677809,pure-ftpd,aflnet,1,edges,95
1773678048,pure-ftpd,aflnet,1,nodes,20
1773678048,pure-ftpd,aflnet,1,edges,96
1773678224,pure-ftpd,aflnet,1,nodes,20
1773678224,pure-ftpd,aflnet,1,edges,96
1773678240,pure-ftpd,aflnet,1,nodes,20
1773678240,pure-ftpd,aflnet,1,edges,96
1773678260,pure-ftpd,aflnet,1,nodes,20
1773678260,pure-ftpd,aflnet,1,edges,96
1773678286,pure-ftpd,aflnet,1,nodes,20
1773678286,pure-ftpd,aflnet,1,edges,96
1773678291,pure-ftpd,aflnet,1,nodes,20
1773678291,pure-ftpd,aflnet,1,edges,96
1773678302,pure-ftpd,aflnet,1,nodes,20
1773678302,pure-ftpd,aflnet,1,edges,96
1773678307,pure-ftpd,aflnet,1,nodes,20
1773678307,pure-ftpd,aflnet,1,edges,96
1773678312,pure-ftpd,aflnet,1,nodes,20
1773678312,pure-ftpd,aflnet,1,edges,96
1773678317,pure-ftpd,aflnet,1,nodes,20
1773678317,pure-ftpd,aflnet,1,edges,96
1773678322,pure-ftpd,aflnet,1,nodes,20
1773678322,pure-ftpd,aflnet,1,edges,96
1773678358,pure-ftpd,aflnet,1,nodes,20
1773678358,pure-ftpd,aflnet,1,edges,96
1773678378,pure-ftpd,aflnet,1,nodes,20
1773678378,pure-ftpd,aflnet,1,edges,96
1773678399,pure-ftpd,aflnet,1,nodes,20
1773678399,pure-ftpd,aflnet,1,edges,96
1773678439,pure-ftpd,aflnet,1,nodes,20
1773678439,pure-ftpd,aflnet,1,edges,96
1773678479,pure-ftpd,aflnet,1,nodes,20
1773678479,pure-ftpd,aflnet,1,edges,96
1773678719,pure-ftpd,aflnet,1,nodes,20
1773678719,pure-ftpd,aflnet,1,edges,96
1773678735,pure-ftpd,aflnet,1,nodes,20
1773678735,pure-ftpd,aflnet,1,edges,96
1773678791,pure-ftpd,aflnet,1,nodes,20
1773678791,pure-ftpd,aflnet,1,edges,96
1773678868,pure-ftpd,aflnet,1,nodes,20
1773678868,pure-ftpd,aflnet,1,edges,96
1773678894,pure-ftpd,aflnet,1,nodes,20
1773678894,pure-ftpd,aflnet,1,edges,96
1773678924,pure-ftpd,aflnet,1,nodes,20
